,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
OG Anunoby,36:13,3,12,.250,0,6,.000,5,5,1.000,0,3,3,4,1,0,0,3,11,0
Scottie Barnes,36:02,12,18,.667,3,6,.500,4,8,.500,4,6,10,10,2,1,5,1,31,+1
Pascal Siakam,33:25,11,15,.733,0,1,.000,3,4,.750,1,4,5,4,1,0,1,2,25,-9
Dennis Schröder,29:56,3,10,.300,0,4,.000,1,1,1.000,0,1,1,5,1,0,2,4,7,-9
Jakob Poeltl,26:16,4,4,1.000,0,0,,0,0,,4,4,8,1,0,0,0,2,8,-7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Precious Achiuwa,21:37,7,10,.700,3,4,.750,0,0,,4,6,10,1,0,0,4,4,17,+4
Gary Trent Jr.,20:02,0,7,.000,0,3,.000,0,0,,0,2,2,2,0,0,0,0,0,-7
Malachi Flynn,17:25,3,7,.429,0,4,.000,2,2,1.000,0,0,0,4,2,0,1,1,8,+8
Chris Boucher,13:21,4,9,.444,0,3,.000,1,1,1.000,1,2,3,0,0,1,1,4,9,+11
Otto Porter Jr.,5:43,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,-7
Jalen McDaniels,Did Not Play
Garrett Temple,Did Not Play
Thaddeus Young,Did Not Play
Team Totals,240,47,93,.505,6,32,.188,16,21,.762,14,28,42,32,7,2,14,21,116,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
OG Anunoby,9:49,2,4,.500,0,1,.000,2,2,1.000,0,1,1,1,0,0,0,0,6,-9
Scottie Barnes,7:29,2,4,.500,0,2,.000,0,0,,0,2,2,1,1,0,2,0,4,-10
Pascal Siakam,9:45,1,3,.333,0,1,.000,0,0,,0,0,0,1,1,0,1,0,2,-9
Dennis Schröder,8:56,0,3,.000,0,2,.000,0,0,,0,0,0,1,0,0,1,1,0,-11
Jakob Poeltl,7:54,3,3,1.000,0,0,,0,0,,3,1,4,1,0,0,0,0,6,-11
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Precious Achiuwa,4:06,2,2,1.000,0,0,,0,0,,2,1,3,1,0,0,2,2,4,-2
Gary Trent Jr.,6:46,0,4,.000,0,1,.000,0,0,,0,2,2,0,0,0,0,0,0,-7
Malachi Flynn,3:04,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,1,0,-2
Chris Boucher, 
Otto Porter Jr.,2:11,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,-4
Jalen McDaniels,Did Not Play
Garrett Temple,Did Not Play
Thaddeus Young,Did Not Play
Team Totals,60,10,24,.417,0,8,.000,2,2,1.000,5,7,12,7,3,0,6,4,22,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
OG Anunoby,8:28,0,3,.000,0,2,.000,0,0,,0,0,0,1,1,0,0,1,0,+4
Scottie Barnes,8:06,0,1,.000,0,0,,1,3,.333,1,1,2,5,0,0,1,0,1,+1
Pascal Siakam,7:17,6,7,.857,0,0,,2,2,1.000,1,2,3,0,0,0,0,1,14,+3
Dennis Schröder,8:28,1,3,.333,0,1,.000,0,0,,0,0,0,3,1,0,1,0,2,+4
Jakob Poeltl,7:19,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,2,2,+3
