,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Rudy Gobert,35:48,6,9,.667,0,0,,4,4,1.000,9,11,20,1,1,6,2,4,16,+25
Nickeil Alexander-Walker,34:12,4,9,.444,4,8,.500,2,2,1.000,2,0,2,2,0,1,2,2,14,+23
Mike Conley,32:26,6,11,.545,2,3,.667,5,5,1.000,0,4,4,7,0,0,2,1,19,+25
Karl-Anthony Towns,29:25,7,14,.500,2,4,.500,8,9,.889,2,5,7,5,1,0,1,4,24,+17
Anthony Edwards,3:43,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Troy Brown Jr.,30:06,8,10,.800,4,6,.667,0,0,,1,3,4,4,1,0,1,2,20,+18
Naz Reid,23:30,5,12,.417,0,5,.000,0,0,,0,9,9,2,1,1,1,2,10,+7
Kyle Anderson,22:06,2,11,.182,0,6,.000,3,4,.750,1,5,6,5,0,0,2,0,7,-3
Shake Milton,21:48,6,9,.667,3,5,.600,2,2,1.000,0,2,2,1,0,0,2,1,17,+9
Luka Garza,3:28,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,1,0,+1
Wendell Moore Jr.,3:28,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,+1
Jordan McLaughlin,Did Not Play
Team Totals,240,44,88,.500,15,38,.395,24,26,.923,15,39,54,30,4,8,13,17,127,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Rudy Gobert,11:02,4,6,.667,0,0,,0,0,,4,2,6,0,0,2,1,1,8,+3
Nickeil Alexander-Walker,9:24,1,3,.333,1,3,.333,0,0,,1,0,1,0,0,0,1,1,3,+2
Mike Conley,7:12,0,1,.000,0,0,,0,0,,0,1,1,2,0,0,0,0,0,-1
Karl-Anthony Towns,8:10,3,5,.600,2,4,.500,0,0,,0,1,1,2,1,0,0,2,8,-2
Anthony Edwards,3:43,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Troy Brown Jr.,8:17,1,2,.500,0,1,.000,0,0,,0,0,0,1,0,0,0,1,2,+5
Naz Reid,4:48,3,5,.600,0,2,.000,0,0,,0,3,3,0,0,0,0,0,6,+3
Kyle Anderson,4:48,0,1,.000,0,0,,1,2,.500,0,1,1,3,0,0,0,0,1,+3
Shake Milton,2:36,2,2,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,1,0,5,0
Luka Garza, 
Wendell Moore Jr., 
Jordan McLaughlin,Did Not Play
Team Totals,60,14,26,.538,4,11,.364,1,2,.500,5,8,13,9,1,2,3,5,33,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Rudy Gobert,7:30,1,1,1.000,0,0,,0,0,,1,2,3,1,0,1,0,0,2,+3
Nickeil Alexander-Walker,7:45,1,3,.333,1,2,.500,0,0,,0,0,0,0,0,0,0,1,3,+1
Mike Conley,9:02,1,3,.333,0,1,.000,5,5,1.000,0,2,2,0,0,0,0,0,7,+7
Karl-Anthony Towns,5:49,1,4,.250,0,0,,4,4,1.000,1,3,4,1,0,0,0,0,6,+4
Anthony Edwards, 
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Troy Brown Jr.,4:38,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,1,0,-3
Naz Reid,10:20,1,5,.200,0,2,.000,0,0,,0,2,2,1,0,1,1,1,2,+2
Kyle Anderson,7:34,0,5,.000,0,4,.000,2,2,1.000,1,2,3,1,0,0,1,0,2,-5
Shake Milton,7:22,1,1,1.000,1,1,1.000,2,2,1.000,0,0,0,0,0,0,0,0,5,+6
Luka Garza, 
Wendell Moore Jr., 
Jordan McLaughlin,Did Not Play
Team Totals,60,6,22,.273,2,10,.200,13,13,1.000,3,12,15,5,0,2,2,3,27,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Rudy Gobert,18:32,5,7,.714,0,0,,0,0,,5,4,9,1,0,3,1,1,10,+6
Nickeil Alexander-Walker,17:09,2,6,.333,2,5,.400,0,0,,1,0,1,0,0,0,1,2,6,+3
Mike Conley,16:14,1,4,.250,0,1,.000,5,5,1.000,0,3,3,2,0,0,0,0,7,+6
Karl-Anthony Towns,13:59,4,9,.444,2,4,.500,4,4,1.000,1,4,5,3,1,0,0,2,14,+2
Anthony Edwards,3:43,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Troy Brown Jr.,12:55,1,2,.500,0,1,.000,0,0,,0,1,1,2,0,0,0,2,2,+2
Naz Reid,15:08,4,10,.400,0,4,.000,0,0,,0,5,5,1,0,1,1,1,8,+5
Kyle Anderson,12:22,0,6,.000,0,4,.000,3,4,.750,1,3,4,4,0,0,1,0,3,-2
Shake Milton,9:58,3,3,1.000,2,2,1.000,2,2,1.000,0,0,0,0,0,0,1,0,10,+6
Luka Garza, 
Wendell Moore Jr., 
Jordan McLaughlin,Did Not Play
Team Totals,120,20,48,.417,6,21,.286,14,15,.933,8,20,28,14,1,4,5,8,60,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Rudy Gobert,8:44,0,0,,0,0,,2,2,1.000,1,5,6,0,1,2,1,2,2,+15
Nickeil Alexander-Walker,12:00,1,1,1.000,1,1,1.000,2,2,1.000,1,0,1,2,0,1,0,0,5,+14
Mike Conley,7:40,3,4,.750,1,1,1.000,0,0,,0,0,0,2,0,0,1,0,7,+15
Karl-Anthony Towns,10:23,3,5,.600,0,0,,4,5,.800,1,1,2,1,0,0,0,1,10,+9
Anthony Edwards, 
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Troy Brown Jr.,7:07,4,5,.800,3,4,.750,0,0,,0,0,0,2,1,0,0,0,11,+10
Naz Reid,4:53,0,1,.000,0,1,.000,0,0,,0,4,4,1,0,0,0,1,0,+4
Kyle Anderson,4:20,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-1
Shake Milton,4:53,1,2,.500,1,2,.500,0,0,,0,1,1,0,0,0,1,1,3,+4
Luka Garza, 
Wendell Moore Jr., 
Jordan McLaughlin,Did Not Play
Team Totals,60,12,20,.600,6,10,.600,8,9,.889,3,11,14,8,2,3,3,5,38,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Rudy Gobert,8:32,1,2,.500,0,0,,2,2,1.000,3,2,5,0,0,1,0,1,4,+4
Nickeil Alexander-Walker,5:03,1,2,.500,1,2,.500,0,0,,0,0,0,0,0,0,1,0,3,+6
Mike Conley,8:32,2,3,.667,1,1,1.000,0,0,,0,1,1,3,0,0,1,1,5,+4
Karl-Anthony Towns,5:03,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,1,0,+6
Anthony Edwards, 
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Troy Brown Jr.,10:04,3,3,1.000,1,1,1.000,0,0,,1,2,3,0,0,0,1,0,7,+6
Naz Reid,3:29,1,1,1.000,0,0,,0,0,,0,0,0,0,1,0,0,0,2,-2
Kyle Anderson,5:24,2,3,.667,0,1,.000,0,0,,0,2,2,1,0,0,1,0,4,0
Shake Milton,6:57,2,4,.500,0,1,.000,0,0,,0,1,1,1,0,0,0,0,4,-1
Luka Garza,3:28,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,1,0,+1
Wendell Moore Jr.,3:28,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,+1
Jordan McLaughlin,Did Not Play
Team Totals,60,12,20,.600,3,7,.429,2,2,1.000,4,8,12,8,1,1,5,4,29,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Rudy Gobert,17:16,1,2,.500,0,0,,4,4,1.000,4,7,11,0,1,3,1,3,6,+19
Nickeil Alexander-Walker,17:03,2,3,.667,2,3,.667,2,2,1.000,1,0,1,2,0,1,1,0,8,+20
Mike Conley,16:12,5,7,.714,2,2,1.000,0,0,,0,1,1,5,0,0,2,1,12,+19
Karl-Anthony Towns,15:26,3,5,.600,0,0,,4,5,.800,1,1,2,2,0,0,1,2,10,+15
Anthony Edwards, 
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Troy Brown Jr.,17:11,7,8,.875,4,5,.800,0,0,,1,2,3,2,1,0,1,0,18,+16
Naz Reid,8:22,1,2,.500,0,1,.000,0,0,,0,4,4,1,1,0,0,1,2,+2
Kyle Anderson,9:44,2,5,.400,0,2,.000,0,0,,0,2,2,1,0,0,1,0,4,-1
Shake Milton,11:50,3,6,.500,1,3,.333,0,0,,0,2,2,1,0,0,1,1,7,+3
Luka Garza,3:28,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,1,0,+1
