,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Donovan Mitchell,36:05,9,17,.529,3,8,.375,6,8,.750,1,12,13,6,1,0,5,1,27,+15
Max Strus,33:56,4,17,.235,2,11,.182,1,1,1.000,2,5,7,1,1,0,0,3,11,+18
Darius Garland,26:01,6,11,.545,1,4,.250,5,7,.714,0,2,2,6,4,0,2,4,18,+20
Jarrett Allen,25:26,3,9,.333,0,0,,0,2,.000,2,7,9,1,1,0,0,2,6,-2
Dean Wade,24:55,2,5,.400,1,4,.250,0,0,,3,3,6,0,3,0,1,1,5,+23
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Craig Porter Jr.,22:33,3,7,.429,0,0,,2,4,.500,0,3,3,4,2,1,0,0,8,+7
Isaac Okoro,21:39,3,4,.750,1,2,.500,2,2,1.000,0,1,1,0,1,1,1,2,9,-12
Georges Niang,20:12,5,9,.556,3,4,.750,0,0,,1,2,3,2,0,0,2,1,13,-10
Tristan Thompson,16:22,2,3,.667,0,0,,1,2,.500,2,1,3,0,0,0,1,0,5,+21
Sam Merrill,10:01,3,5,.600,3,5,.600,0,0,,1,2,3,1,0,0,0,2,9,-8
Damian Jones,2:50,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,1,0,-12
Isaiah Mobley,Did Not Play
Team Totals,240,40,87,.460,14,38,.368,17,26,.654,12,39,51,21,13,2,13,17,111,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Donovan Mitchell,8:33,1,5,.200,0,2,.000,0,0,,0,2,2,0,0,0,1,0,2,-6
Max Strus,9:10,0,4,.000,0,3,.000,0,0,,0,3,3,0,1,0,0,0,0,+4
Darius Garland,5:21,1,2,.500,0,0,,2,3,.667,0,0,0,1,1,0,0,3,4,+2
Jarrett Allen,7:46,1,4,.250,0,0,,0,0,,2,1,3,1,0,0,0,0,2,-1
Dean Wade,4:53,0,0,,0,0,,0,0,,0,2,2,0,1,0,0,0,0,0
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Craig Porter Jr.,3:27,1,2,.500,0,0,,0,0,,0,0,0,0,1,0,0,0,2,-2
Isaac Okoro,7:11,2,3,.667,0,1,.000,0,0,,0,1,1,0,0,0,1,1,4,-10
Georges Niang,4:13,0,2,.000,0,0,,0,0,,1,0,1,1,0,0,2,0,0,-7
Tristan Thompson, 
Sam Merrill,6:34,1,3,.333,1,3,.333,0,0,,1,1,2,1,0,0,0,2,3,-8
Damian Jones,2:50,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,1,0,-12
Isaiah Mobley,Did Not Play
Team Totals,60,7,25,.280,1,9,.111,2,3,.667,4,11,15,4,4,0,5,7,17,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Donovan Mitchell,10:58,3,4,.750,0,1,.000,0,0,,1,5,6,4,0,0,1,0,6,+10
Max Strus,9:00,3,8,.375,1,4,.250,1,1,1.000,1,0,1,0,0,0,0,0,8,+8
Darius Garland,0:20,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,0
Jarrett Allen,1:05,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-8
Dean Wade,6:36,2,3,.667,1,2,.500,0,0,,1,0,1,0,1,0,0,0,5,+14
