,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Coby White,39:07,9,15,.600,5,7,.714,1,1,1.000,0,4,4,6,1,0,3,0,24,+18
DeMar DeRozan,38:38,7,24,.292,0,2,.000,6,10,.600,1,5,6,10,3,0,2,2,20,+13
Nikola Vučević,36:00,9,22,.409,0,2,.000,3,3,1.000,10,6,16,2,0,1,0,2,21,+15
Patrick Williams,34:23,8,11,.727,2,3,.667,2,4,.500,1,5,6,3,1,1,0,3,20,+20
Alex Caruso,18:25,2,5,.400,0,2,.000,0,0,,1,2,3,2,1,0,2,2,4,-3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Ayo Dosunmu,26:02,2,5,.400,0,2,.000,0,0,,0,3,3,3,1,0,0,1,4,-2
Torrey Craig,22:36,5,8,.625,5,7,.714,1,2,.500,4,4,8,0,2,0,0,3,16,+1
Andre Drummond,12:00,3,7,.429,0,0,,1,4,.250,6,2,8,0,0,0,0,2,7,-6
Jevon Carter,8:37,1,4,.250,1,3,.333,0,0,,0,0,0,1,0,0,0,2,3,-7
Julian Phillips,4:12,1,1,1.000,0,0,,0,0,,1,1,2,0,0,0,0,2,2,-4
Terry Taylor,Did Not Play
Dalen Terry,Did Not Play
Team Totals,240,47,102,.461,13,28,.464,14,24,.583,24,32,56,27,9,2,7,19,121,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Coby White,8:20,2,3,.667,2,3,.667,0,0,,0,0,0,0,1,0,0,0,6,-4
DeMar DeRozan,7:48,1,5,.200,0,1,.000,0,1,.000,0,1,1,3,1,0,1,1,2,-5
Nikola Vučević,9:12,1,4,.250,0,0,,2,2,1.000,3,1,4,1,0,0,0,1,4,-4
Patrick Williams,6:49,2,3,.667,0,0,,1,2,.500,0,2,2,1,1,0,0,0,5,-2
Alex Caruso,5:04,0,3,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,0,0,-7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Ayo Dosunmu,7:55,1,4,.250,0,2,.000,0,0,,0,1,1,2,1,0,0,1,2,-5
Torrey Craig,4:11,0,2,.000,0,1,.000,0,0,,1,1,2,0,0,0,0,0,0,-4
Andre Drummond,2:48,0,2,.000,0,0,,0,0,,1,1,2,0,0,0,0,0,0,-5
Jevon Carter,3:40,1,4,.250,1,3,.333,0,0,,0,0,0,0,0,0,0,1,3,-5
Julian Phillips,4:11,1,1,1.000,0,0,,0,0,,1,1,2,0,0,0,0,2,2,-4
Terry Taylor,Did Not Play
Dalen Terry,Did Not Play
Team Totals,60,9,31,.290,3,12,.250,3,5,.600,6,8,14,7,4,0,1,6,24,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Coby White,9:59,1,3,.333,0,1,.000,1,1,1.000,0,1,1,2,0,0,2,0,3,+1
DeMar DeRozan,8:52,0,5,.000,0,0,,3,4,.750,0,0,0,1,0,0,1,0,3,+1
Nikola Vučević,9:05,5,7,.714,0,1,.000,0,0,,2,1,3,0,0,0,0,0,10,-4
Patrick Williams,10:15,3,4,.750,1,1,1.000,1,2,.500,1,1,2,0,0,0,0,1,8,-1
Alex Caruso,7:24,0,0,,0,0,,0,0,,0,1,1,2,0,0,1,1,0,0
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
