,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bruce Brown,37:16,4,11,.364,0,4,.000,3,4,.750,3,6,9,0,2,0,1,3,11,+8
Tyrese Haliburton,32:50,5,12,.417,3,6,.500,1,1,1.000,0,5,5,16,1,2,7,2,14,+8
Myles Turner,30:44,10,15,.667,0,2,.000,3,6,.500,3,5,8,1,1,3,2,2,23,+12
Buddy Hield,30:41,6,9,.667,4,7,.571,0,0,,0,3,3,2,1,0,0,1,16,+2
Obi Toppin,12:09,3,5,.600,0,2,.000,0,0,,0,3,3,0,0,0,2,1,6,0
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bennedict Mathurin,37:19,10,17,.588,3,5,.600,7,8,.875,3,4,7,8,2,0,2,3,30,+8
Aaron Nesmith,26:34,5,7,.714,3,4,.750,0,0,,0,1,1,1,0,0,2,3,13,+6
Isaiah Jackson,17:16,5,6,.833,0,0,,0,0,,2,3,5,0,0,0,0,3,10,-4
T.J. McConnell,15:10,4,10,.400,0,1,.000,0,0,,0,2,2,5,1,0,2,2,8,0
Jordan Nwora,Did Not Play
Ben Sheppard,Did Not Play
Oscar Tshiebwe,Did Not Play
Jarace Walker,Did Not Play
Team Totals,240,52,92,.565,13,31,.419,14,19,.737,11,32,43,33,8,5,18,20,131,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bruce Brown,8:59,1,2,.500,0,1,.000,0,0,,0,1,1,0,1,0,1,0,2,+1
Tyrese Haliburton,8:37,1,2,.500,1,2,.500,0,0,,0,2,2,8,0,1,3,0,3,+1
Myles Turner,6:42,4,4,1.000,0,0,,0,1,.000,1,2,3,0,0,1,1,0,8,+2
Buddy Hield,8:42,2,3,.667,1,2,.500,0,0,,0,0,0,0,0,0,0,0,5,-1
Obi Toppin,7:10,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,1,1,2,+3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bennedict Mathurin,6:18,1,3,.333,1,2,.500,0,0,,0,1,1,3,1,0,0,1,3,-6
Aaron Nesmith,4:50,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-6
Isaiah Jackson,5:18,3,3,1.000,0,0,,0,0,,1,1,2,0,0,0,0,1,6,-5
T.J. McConnell,3:23,2,3,.667,0,1,.000,0,0,,0,1,1,0,0,0,1,1,4,-4
Jordan Nwora,Did Not Play
Ben Sheppard,Did Not Play
Oscar Tshiebwe,Did Not Play
Jarace Walker,Did Not Play
Team Totals,60,15,21,.714,3,8,.375,0,1,.000,2,9,11,11,2,2,8,5,33,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bruce Brown,10:13,2,5,.400,0,1,.000,2,2,1.000,3,1,4,0,1,0,0,0,6,+3
Tyrese Haliburton,6:42,1,4,.250,1,2,.500,0,0,,0,0,0,0,1,0,0,0,3,+1
Myles Turner,7:47,0,2,.000,0,1,.000,0,0,,1,1,2,1,1,1,0,1,0,+4
Buddy Hield,6:01,2,3,.667,2,3,.667,0,0,,0,1,1,0,0,0,0,1,6,+4
Obi Toppin, 
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bennedict Mathurin,12:00,6,8,.750,1,2,.500,0,0,,0,1,1,1,1,0,1,1,13,+8
Aaron Nesmith,7:46,1,3,.333,1,2,.500,0,0,,0,0,0,0,0,0,0,1,3,+9
Isaiah Jackson,4:13,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+4
T.J. McConnell,5:18,1,2,.500,0,0,,0,0,,0,1,1,4,1,0,1,1,2,+7
Jordan Nwora,Did Not Play
Ben Sheppard,Did Not Play
Oscar Tshiebwe,Did Not Play
Jarace Walker,Did Not Play
Team Totals,60,13,27,.481,5,11,.455,2,2,1.000,4,5,9,6,5,1,2,5,33,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bruce Brown,19:12,3,7,.429,0,2,.000,2,2,1.000,3,2,5,0,2,0,1,0,8,+4
Tyrese Haliburton,15:19,2,6,.333,2,4,.500,0,0,,0,2,2,8,1,1,3,0,6,+2
Myles Turner,14:29,4,6,.667,0,1,.000,0,1,.000,2,3,5,1,1,2,1,1,8,+6
Buddy Hield,14:43,4,6,.667,3,5,.600,0,0,,0,1,1,0,0,0,0,1,11,+3
Obi Toppin,7:10,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,1,1,2,+3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bennedict Mathurin,18:18,7,11,.636,2,4,.500,0,0,,0,2,2,4,2,0,1,2,16,+2
Aaron Nesmith,12:36,1,3,.333,1,2,.500,0,0,,0,0,0,0,0,0,1,2,3,+3
Isaiah Jackson,9:31,3,3,1.000,0,0,,0,0,,1,1,2,0,0,0,0,1,6,-1
T.J. McConnell,8:41,3,5,.600,0,1,.000,0,0,,0,2,2,4,1,0,2,2,6,+3
Jordan Nwora,Did Not Play
Ben Sheppard,Did Not Play
Oscar Tshiebwe,Did Not Play
Jarace Walker,Did Not Play
Team Totals,120,28,48,.583,8,19,.421,2,3,.667,6,14,20,17,7,3,10,10,66,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bruce Brown,9:22,1,2,.500,0,1,.000,0,0,,0,2,2,0,0,0,0,3,2,+1
Tyrese Haliburton,8:49,0,2,.000,0,1,.000,0,0,,0,2,2,7,0,1,3,0,0,+3
Myles Turner,7:33,3,4,.750,0,1,.000,0,0,,1,0,1,0,0,0,0,0,6,+3
Buddy Hield,7:37,1,1,1.000,1,1,1.000,0,0,,0,1,1,2,0,0,0,0,3,-4
