,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Keldon Johnson,36:38,3,14,.214,0,9,.000,6,6,1.000,2,5,7,2,4,0,3,1,12,-18
Jeremy Sochan,35:20,3,11,.273,1,5,.200,0,0,,2,4,6,2,1,0,2,2,7,-8
Malaki Branham,34:02,6,13,.462,0,3,.000,1,1,1.000,0,6,6,7,1,0,3,0,13,-10
Victor Wembanyama,33:00,7,15,.467,1,6,.167,0,1,.000,2,16,18,3,0,5,5,3,15,-12
Devin Vassell,31:15,5,16,.313,1,9,.111,3,5,.600,3,3,6,2,0,0,0,1,14,+1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tre Jones,16:29,0,1,.000,0,1,.000,3,5,.600,0,0,0,2,2,0,0,1,3,-4
Doug McDermott,14:59,2,5,.400,2,5,.400,0,0,,0,0,0,1,1,0,0,0,6,-2
Zach Collins,13:38,1,4,.250,0,0,,0,0,,0,4,4,0,0,0,2,3,2,+3
Cedi Osman,12:40,4,7,.571,0,2,.000,2,4,.500,0,2,2,1,0,0,2,1,10,-3
Julian Champagnie,8:12,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,1,0,-2
Sandro Mamukelashvili,3:47,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,0
Devonte' Graham,Did Not Play
Blake Wesley,Did Not Play
Team Totals,240,31,87,.356,5,41,.122,15,22,.682,9,42,51,20,9,5,17,14,82,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Keldon Johnson,9:10,0,3,.000,0,3,.000,0,0,,0,1,1,1,1,0,2,1,0,-3
Jeremy Sochan,7:47,1,3,.333,0,1,.000,0,0,,0,2,2,1,0,0,0,0,2,+1
Malaki Branham,7:53,2,2,1.000,0,0,,1,1,1.000,0,2,2,2,0,0,0,0,5,+1
Victor Wembanyama,7:47,2,5,.400,1,4,.250,0,0,,0,5,5,0,0,2,2,0,5,+1
Devin Vassell,7:47,0,1,.000,0,1,.000,0,0,,0,2,2,1,0,0,0,0,0,+1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tre Jones,4:13,0,1,.000,0,1,.000,1,2,.500,0,0,0,1,0,0,0,0,1,+1
Doug McDermott,2:50,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,+5
Zach Collins,4:13,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,1,2,0,+1
Cedi Osman,4:13,2,4,.500,0,1,.000,1,1,1.000,0,2,2,0,0,0,0,0,5,+1
Julian Champagnie,4:07,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,+1
Sandro Mamukelashvili, 
Devonte' Graham,Did Not Play
Blake Wesley,Did Not Play
Team Totals,60,8,22,.364,2,12,.167,3,4,.750,0,16,16,6,1,2,5,4,21,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Keldon Johnson,11:07,2,5,.400,0,3,.000,4,4,1.000,1,2,3,0,0,0,0,0,8,-3
Jeremy Sochan,10:35,0,1,.000,0,0,,0,0,,2,1,3,1,0,0,0,0,0,-1
Malaki Branham,10:35,3,6,.500,0,2,.000,0,0,,0,1,1,2,0,0,2,0,6,-1
Victor Wembanyama,7:01,1,2,.500,0,0,,0,0,,0,1,1,2,0,3,1,3,2,-4
Devin Vassell,7:24,3,7,.429,1,4,.250,1,2,.500,2,0,2,0,0,0,0,1,8,+2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tre Jones,1:25,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-5
Doug McDermott,4:36,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,-8
Zach Collins,1:12,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-2
Cedi Osman,1:25,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,1,2,-5
Julian Champagnie,0:53,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3
