,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Shaedon Sharpe,40:32,8,17,.471,4,9,.444,7,9,.778,1,2,3,6,1,0,2,2,27,-15
Anfernee Simons,37:50,10,23,.435,5,11,.455,13,13,1.000,0,1,1,4,0,1,3,1,38,-9
Toumani Camara,37:27,3,6,.500,1,3,.333,0,2,.000,0,4,4,4,1,1,1,5,7,-5
Matisse Thybulle,30:35,4,6,.667,3,5,.600,0,0,,0,1,1,0,1,0,0,3,11,-9
Duop Reath,26:23,4,11,.364,2,6,.333,0,0,,2,1,3,4,1,0,1,3,10,0
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Scoot Henderson,29:39,8,16,.500,3,4,.750,0,0,,1,3,4,6,0,2,3,5,19,+11
Jabari Walker,21:46,3,4,.750,1,2,.500,2,2,1.000,3,5,8,1,1,0,1,1,9,+1
Moses Brown,15:47,3,7,.429,0,0,,0,0,,4,8,12,0,0,0,1,1,6,+1
Malcolm Brogdon,Did Not Dress
Skylar Mays,Did Not Play
Kris Murray,Did Not Play
Rayan Rupert,Did Not Play
Team Totals,240,43,90,.478,19,40,.475,22,26,.846,11,25,36,25,5,4,12,21,127,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Shaedon Sharpe,12:00,4,8,.500,1,4,.250,0,0,,0,0,0,1,0,0,1,0,9,-11
Anfernee Simons,8:13,2,4,.500,1,2,.500,3,3,1.000,0,0,0,1,0,0,0,0,8,-14
Toumani Camara,8:49,0,0,,0,0,,0,0,,0,2,2,2,0,0,1,0,0,-9
Matisse Thybulle,7:42,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2,-9
Duop Reath,6:06,1,3,.333,0,1,.000,0,0,,1,0,1,0,0,0,0,0,2,-12
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Scoot Henderson,6:58,3,4,.750,1,1,1.000,0,0,,0,1,1,2,0,1,0,2,7,+1
Jabari Walker,6:58,0,0,,0,0,,2,2,1.000,0,1,1,0,1,0,0,0,2,+1
Moses Brown,3:14,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,-2
Malcolm Brogdon,Did Not Dress
Skylar Mays,Did Not Play
Kris Murray,Did Not Play
Rayan Rupert,Did Not Play
Team Totals,60,12,22,.545,3,9,.333,5,5,1.000,1,4,5,6,1,1,2,2,32,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Shaedon Sharpe,7:03,0,1,.000,0,0,,7,9,.778,0,0,0,0,0,0,1,0,7,+3
Anfernee Simons,7:49,2,5,.400,1,2,.500,3,3,1.000,0,0,0,1,0,1,0,0,8,+11
Toumani Camara,7:03,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+3
Matisse Thybulle,4:57,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,+7
Duop Reath,4:57,1,4,.250,0,2,.000,0,0,,0,0,0,0,0,0,0,1,2,+7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Scoot Henderson,12:00,3,7,.429,1,2,.500,0,0,,1,2,3,1,0,1,2,0,7,+10
Jabari Walker,9:08,2,2,1.000,1,1,1.000,0,0,,3,3,6,1,0,0,1,1,5,+6
Moses Brown,7:03,2,3,.667,0,0,,0,0,,2,5,7,0,0,0,0,0,4,+3
Malcolm Brogdon,Did Not Dress
Skylar Mays,Did Not Play
Kris Murray,Did Not Play
Rayan Rupert,Did Not Play
Team Totals,60,10,22,.455,3,7,.429,10,12,.833,6,10,16,3,0,2,4,3,33,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Shaedon Sharpe,19:03,4,9,.444,1,4,.250,7,9,.778,0,0,0,1,0,0,2,0,16,-8
Anfernee Simons,16:02,4,9,.444,2,4,.500,6,6,1.000,0,0,0,2,0,1,0,0,16,-3
Toumani Camara,15:52,0,0,,0,0,,0,0,,0,2,2,2,0,0,1,0,0,-6
Matisse Thybulle,12:39,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,1,2,-2
Duop Reath,11:03,2,7,.286,0,3,.000,0,0,,1,0,1,0,0,0,0,1,4,-5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Scoot Henderson,18:58,6,11,.545,2,3,.667,0,0,,1,3,4,3,0,2,2,2,14,+11
Jabari Walker,16:06,2,2,1.000,1,1,1.000,2,2,1.000,3,4,7,1,1,0,1,1,7,+7
Moses Brown,10:17,3,4,.750,0,0,,0,0,,2,5,7,0,0,0,0,0,6,+1
Malcolm Brogdon,Did Not Dress
Skylar Mays,Did Not Play
Kris Murray,Did Not Play
Rayan Rupert,Did Not Play
Team Totals,120,22,44,.500,6,16,.375,15,17,.882,7,14,21,9,1,3,6,5,65,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Shaedon Sharpe,12:00,2,5,.400,2,4,.500,0,0,,1,0,1,4,1,0,0,1,6,-5
Anfernee Simons,9:48,3,4,.750,2,2,1.000,0,0,,0,0,0,1,0,0,0,0,8,-7
Toumani Camara,9:35,0,1,.000,0,1,.000,0,0,,0,1,1,2,0,0,0,3,0,0
Matisse Thybulle,12:00,3,4,.750,3,4,.750,0,0,,0,1,1,0,1,0,0,0,9,-5
Duop Reath,9:26,2,4,.500,2,3,.667,0,0,,0,1,1,2,1,0,1,1,6,0
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Scoot Henderson,4:37,2,5,.400,1,1,1.000,0,0,,0,0,0,1,0,0,1,1,5,-3
Jabari Walker,2:34,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-5
Moses Brown, 
Malcolm Brogdon,Did Not Dress
Skylar Mays,Did Not Play
Kris Murray,Did Not Play
Rayan Rupert,Did Not Play
Team Totals,60,12,24,.500,10,16,.625,0,0,,1,3,4,10,3,0,2,6,34,
,Basic Box Score Stats
