,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Keyonte George,32:59,10,17,.588,5,9,.556,5,5,1.000,0,3,3,7,1,0,3,0,30,+5
Simone Fontecchio,23:17,7,11,.636,3,6,.500,2,2,1.000,1,1,2,1,0,4,0,1,19,-13
Ochai Agbaji,21:43,1,4,.250,0,1,.000,0,0,,0,1,1,2,3,1,1,1,2,-19
Jordan Clarkson,21:30,3,13,.231,0,4,.000,2,2,1.000,2,2,4,5,1,1,2,1,8,-25
Kelly Olynyk,20:44,1,5,.200,0,2,.000,0,0,,0,6,6,3,0,0,2,2,2,-19
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Collin Sexton,26:28,7,13,.538,1,4,.250,5,6,.833,2,2,4,2,2,0,0,1,20,-1
Taylor Hendricks,26:17,3,6,.500,1,4,.250,1,1,1.000,0,2,2,2,1,1,0,2,8,+5
Kris Dunn,24:45,2,4,.500,0,1,.000,0,0,,2,4,6,7,1,0,0,2,4,+11
Luka Šamanić,17:20,6,10,.600,1,4,.250,1,1,1.000,0,7,7,1,0,0,2,3,14,+22
Talen Horton-Tucker,15:01,3,7,.429,1,3,.333,4,4,1.000,0,1,1,2,0,1,2,5,11,-19
Omer Yurtseven,9:56,1,2,.500,0,0,,0,0,,2,3,5,0,0,1,3,3,2,-17
Walker Kessler,Did Not Dress
Team Totals,240,44,92,.478,12,38,.316,20,21,.952,9,32,41,32,9,9,15,21,120,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Keyonte George,7:20,1,3,.333,0,1,.000,0,0,,0,0,0,1,0,0,0,0,2,-4
Simone Fontecchio,8:18,4,6,.667,2,3,.667,0,0,,0,0,0,0,0,0,0,1,10,-3
Ochai Agbaji,8:18,1,2,.500,0,1,.000,0,0,,0,0,0,1,2,0,0,1,2,-3
Jordan Clarkson,9:50,0,4,.000,0,3,.000,0,0,,0,2,2,2,1,0,0,0,0,-9
Kelly Olynyk,9:08,0,3,.000,0,2,.000,0,0,,0,2,2,1,0,0,0,0,0,-9
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Collin Sexton,3:42,0,3,.000,0,2,.000,0,0,,1,0,1,0,0,0,0,0,0,-11
Taylor Hendricks,3:42,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-11
Kris Dunn,2:10,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,1,0,-5
Luka Šamanić, 
Talen Horton-Tucker,4:40,2,2,1.000,0,0,,2,2,1.000,0,1,1,0,0,0,0,1,6,-10
Omer Yurtseven,2:52,0,0,,0,0,,0,0,,0,2,2,0,0,1,3,3,0,-5
Walker Kessler,Did Not Dress
Team Totals,60,8,24,.333,2,13,.154,2,2,1.000,2,7,9,5,3,1,3,7,20,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Keyonte George,6:57,4,5,.800,1,2,.500,2,2,1.000,0,2,2,1,0,0,0,0,11,+6
Simone Fontecchio,6:57,1,1,1.000,1,1,1.000,2,2,1.000,1,1,2,1,0,0,0,0,5,+6
Ochai Agbaji,5:23,0,1,.000,0,0,,0,0,,0,0,0,1,0,1,0,0,0,0
Jordan Clarkson,5:23,2,4,.500,0,1,.000,0,0,,0,0,0,1,0,1,1,0,4,0
Kelly Olynyk,8:37,0,1,.000,0,0,,0,0,,0,4,4,1,0,0,2,1,0,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
