,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Mikal Bridges,36:35,6,13,.462,3,5,.600,7,7,1.000,2,3,5,5,0,0,5,1,22,-13
Spencer Dinwiddie,34:01,5,14,.357,2,8,.250,4,5,.800,0,2,2,8,0,0,3,2,16,-19
Cameron Johnson,31:35,6,13,.462,3,4,.750,0,0,,0,4,4,2,1,0,1,0,15,-5
Cam Thomas,30:59,8,21,.381,2,6,.333,2,2,1.000,0,0,0,2,0,0,2,2,20,-15
Nic Claxton,26:00,3,6,.500,0,0,,2,2,1.000,4,6,10,0,0,3,0,2,8,-24
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dorian Finney-Smith,24:41,5,6,.833,3,4,.750,0,0,,0,3,3,1,1,2,0,0,13,-10
Royce O'Neale,19:08,1,3,.333,1,1,1.000,2,2,1.000,1,3,4,1,0,0,0,0,5,-2
Day'Ron Sharpe,14:01,2,4,.500,0,0,,0,0,,1,6,7,2,1,1,1,2,4,+7
Trendon Watford,11:06,3,4,.750,0,0,,2,2,1.000,1,4,5,2,1,0,1,3,8,+4
Harry Giles,3:58,1,2,.500,0,1,.000,1,1,1.000,0,0,0,0,0,0,0,1,3,+4
Armoni Brooks,3:58,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,0,0,2,+4
Jalen Wilson,3:58,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,0,0,2,+4
Team Totals,240,42,88,.477,14,29,.483,20,21,.952,10,31,41,24,4,6,13,13,118,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Mikal Bridges,12:00,2,4,.500,0,1,.000,0,0,,1,1,2,3,0,0,1,0,4,-8
Spencer Dinwiddie,8:44,1,6,.167,1,4,.250,0,0,,0,0,0,0,0,0,1,1,3,-7
Cameron Johnson,8:37,1,2,.500,1,1,1.000,0,0,,0,2,2,0,0,0,0,0,3,-9
Cam Thomas,7:21,0,4,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,-8
Nic Claxton,8:08,1,3,.333,0,0,,0,0,,0,1,1,0,0,2,0,1,2,-7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dorian Finney-Smith,5:00,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,0
Royce O'Neale,3:44,0,1,.000,0,0,,2,2,1.000,0,1,1,0,0,0,0,0,2,+1
Day'Ron Sharpe,3:31,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,-1
Trendon Watford,2:55,1,1,1.000,0,0,,2,2,1.000,0,1,1,0,1,0,0,2,4,-1
Harry Giles, 
Armoni Brooks, 
Jalen Wilson, 
Team Totals,60,6,21,.286,2,7,.286,4,4,1.000,1,7,8,5,1,3,2,4,18,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Mikal Bridges,7:23,1,3,.333,0,0,,0,0,,1,1,2,1,0,0,2,0,2,+8
Spencer Dinwiddie,12:00,2,4,.500,0,1,.000,4,5,.800,0,2,2,3,0,0,1,1,8,+2
Cameron Johnson,7:23,2,4,.500,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,5,+8
Cam Thomas,4:40,1,3,.333,0,0,,1,1,1.000,0,0,0,0,0,0,1,0,3,-6
Nic Claxton,4:37,1,1,1.000,0,0,,0,0,,1,2,3,0,0,0,0,0,2,-6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dorian Finney-Smith,12:00,2,3,.667,1,2,.500,0,0,,0,1,1,1,1,1,0,0,5,+2
Royce O'Neale,4:37,1,1,1.000,1,1,1.000,0,0,,1,0,1,0,0,0,0,0,3,-6
Day'Ron Sharpe,7:20,1,2,.500,0,0,,0,0,,0,5,5,1,0,1,0,1,2,+8
Trendon Watford, 
Harry Giles, 
Armoni Brooks, 
Jalen Wilson, 
Team Totals,60,11,21,.524,3,5,.600,5,6,.833,3,11,14,6,1,2,4,2,30,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Mikal Bridges,19:23,3,7,.429,0,1,.000,0,0,,2,2,4,4,0,0,3,0,6,0
Spencer Dinwiddie,20:44,3,10,.300,1,5,.200,4,5,.800,0,2,2,3,0,0,2,2,11,-5
Cameron Johnson,16:00,3,6,.500,2,2,1.000,0,0,,0,2,2,0,0,0,0,0,8,-1
Cam Thomas,12:01,1,7,.143,0,1,.000,1,1,1.000,0,0,0,1,0,0,1,0,3,-14
Nic Claxton,12:45,2,4,.500,0,0,,0,0,,1,3,4,0,0,2,0,1,4,-13
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dorian Finney-Smith,17:00,2,3,.667,1,2,.500,0,0,,0,1,1,1,1,2,0,0,5,+2
Royce O'Neale,8:21,1,2,.500,1,1,1.000,2,2,1.000,1,1,2,0,0,0,0,0,5,-5
Day'Ron Sharpe,10:51,1,2,.500,0,0,,0,0,,0,6,6,2,0,1,0,1,2,+7
Trendon Watford,2:55,1,1,1.000,0,0,,2,2,1.000,0,1,1,0,1,0,0,2,4,-1
Harry Giles, 
Armoni Brooks, 
Jalen Wilson, 
Team Totals,120,17,42,.405,5,12,.417,9,10,.900,4,18,22,11,2,5,6,6,48,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Mikal Bridges,12:00,0,1,.000,0,1,.000,7,7,1.000,0,1,1,1,0,0,1,1,7,-7
Spencer Dinwiddie,12:00,3,5,.600,1,3,.333,0,0,,0,0,0,4,0,0,1,0,7,-7
Cameron Johnson,10:30,2,5,.400,1,2,.500,0,0,,0,1,1,1,0,0,0,0,5,-10
Cam Thomas,6:58,3,4,.750,1,1,1.000,0,0,,0,0,0,1,0,0,1,1,7,-1
Nic Claxton,8:15,1,1,1.000,0,0,,2,2,1.000,0,3,3,0,0,0,0,1,4,-9
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dorian Finney-Smith,5:02,2,2,1.000,1,1,1.000,0,0,,0,2,2,0,0,0,0,0,5,-6
Royce O'Neale,3:45,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+2
Day'Ron Sharpe,1:30,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,0,0,2,+3
Trendon Watford, 
Harry Giles, 
Armoni Brooks, 
Jalen Wilson, 
Team Totals,60,12,20,.600,4,8,.500,9,9,1.000,1,7,8,7,0,0,3,3,37,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Mikal Bridges,5:12,3,5,.600,3,3,1.000,0,0,,0,0,0,0,0,0,1,0,9,-6
Spencer Dinwiddie,1:17,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-7
Cameron Johnson,5:05,1,2,.500,0,0,,0,0,,0,1,1,1,1,0,1,0,2,+6
Cam Thomas,12:00,3,9,.333,1,4,.250,1,1,1.000,0,0,0,1,0,0,0,1,8,0
Nic Claxton,5:00,0,1,.000,0,0,,0,0,,3,0,3,0,0,1,0,0,0,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dorian Finney-Smith,2:39,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,-6
Royce O'Neale,7:02,0,0,,0,0,,0,0,,0,2,2,1,0,0,0,0,0,+1
Day'Ron Sharpe,1:40,0,1,.000,0,0,,0,0,,0,0,0,0,1,0,1,1,0,-3
Trendon Watford,8:11,2,3,.667,0,0,,0,0,,1,3,4,2,0,0,1,1,4,+5
Harry Giles,3:58,1,2,.500,0,1,.000,1,1,1.000,0,0,0,0,0,0,0,1,3,+4
Armoni Brooks,3:58,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,0,0,2,+4
Jalen Wilson,3:58,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,0,0,2,+4
Team Totals,60,13,26,.500,5,9,.556,2,2,1.000,5,6,11,6,2,1,4,4,33,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Mikal Bridges,17:12,3,6,.500,3,4,.750,7,7,1.000,0,1,1,1,0,0,2,1,16,-13
Spencer Dinwiddie,13:17,3,5,.600,1,3,.333,0,0,,0,0,0,4,0,0,1,0,7,-14
Cameron Johnson,15:35,3,7,.429,1,2,.500,0,0,,0,2,2,2,1,0,1,0,7,-4
Cam Thomas,18:58,6,13,.462,2,5,.400,1,1,1.000,0,0,0,2,0,0,1,2,15,-1
Nic Claxton,13:15,1,2,.500,0,0,,2,2,1.000,3,3,6,0,0,1,0,1,4,-11
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dorian Finney-Smith,7:41,3,3,1.000,2,2,1.000,0,0,,0,2,2,0,0,0,0,0,8,-12
Royce O'Neale,10:47,0,1,.000,0,0,,0,0,,0,2,2,1,0,0,0,0,0,+3
Day'Ron Sharpe,3:10,1,2,.500,0,0,,0,0,,1,0,1,0,1,0,1,1,2,0
Trendon Watford,8:11,2,3,.667,0,0,,0,0,,1,3,4,2,0,0,1,1,4,+5
Harry Giles,3:58,1,2,.500,0,1,.000,1,1,1.000,0,0,0,0,0,0,0,1,3,+4
Armoni Brooks,3:58,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,0,0,2,+4
Jalen Wilson,3:58,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,0,0,2,+4
Team Totals,120,25,46,.543,9,17,.529,11,11,1.000,6,13,19,13,2,1,7,7,70,
,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Mikal Bridges,36:35,.684,.577,.385,.538,6.1,9.6,7.8,19.2,0.0,0.0,23.7,25.1,117,137,-1.7
