,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Darius Garland,37:46,11,23,.478,4,8,.500,0,0,,0,2,2,7,1,0,2,1,26,-3
Max Strus,37:10,6,15,.400,5,11,.455,0,0,,0,9,9,3,0,0,1,4,17,+1
Jarrett Allen,36:30,6,9,.667,0,0,,2,5,.400,2,3,5,5,3,2,2,4,14,+4
Donovan Mitchell,35:08,11,22,.500,5,13,.385,2,2,1.000,0,6,6,3,1,0,3,3,29,+6
Dean Wade,19:50,2,6,.333,2,6,.333,2,2,1.000,1,2,3,3,0,1,0,3,8,+2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Georges Niang,23:05,1,1,1.000,1,1,1.000,0,0,,0,2,2,1,0,0,1,1,3,-14
Caris LeVert,22:45,5,11,.455,1,4,.250,0,0,,0,2,2,3,0,1,2,1,11,-5
Isaac Okoro,16:16,1,4,.250,1,2,.500,0,0,,0,2,2,1,1,0,1,1,3,-15
Tristan Thompson,11:30,1,1,1.000,0,0,,0,0,,3,1,4,1,0,0,0,0,2,-11
Damian Jones,Did Not Play
Sam Merrill,Did Not Play
Craig Porter Jr.,Did Not Play
Team Totals,240,44,92,.478,19,45,.422,6,9,.667,6,29,35,27,6,4,12,18,113,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Darius Garland,8:44,3,7,.429,0,2,.000,0,0,,0,2,2,1,0,0,0,0,6,+7
Max Strus,7:57,2,4,.500,1,2,.500,0,0,,0,2,2,1,0,0,0,1,5,+15
Jarrett Allen,8:50,1,4,.250,0,0,,0,0,,0,1,1,3,1,0,0,0,2,+15
Donovan Mitchell,8:50,4,7,.571,1,4,.250,2,2,1.000,0,4,4,2,1,0,1,1,11,+15
Dean Wade,6:35,1,1,1.000,1,1,1.000,0,0,,0,2,2,0,0,0,0,1,3,+12
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Georges Niang,4:03,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-5
Caris LeVert,6:26,2,4,.500,0,1,.000,0,0,,0,0,0,0,0,0,1,0,4,-2
Isaac Okoro,5:25,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,1,0,0,-2
Tristan Thompson,3:10,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-5
Damian Jones,Did Not Play
Sam Merrill,Did Not Play
Craig Porter Jr.,Did Not Play
Team Totals,60,13,28,.464,3,10,.300,2,2,1.000,0,13,13,7,2,0,3,3,31,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Darius Garland,9:58,2,5,.400,1,1,1.000,0,0,,0,0,0,4,0,0,1,0,5,-7
Max Strus,11:12,2,4,.500,2,4,.500,0,0,,0,3,3,1,0,0,1,1,6,-7
Jarrett Allen,9:13,2,2,1.000,0,0,,0,0,,1,1,2,0,1,1,1,0,4,-3
Donovan Mitchell,9:13,2,5,.400,1,2,.500,0,0,,0,1,1,1,0,0,2,1,5,-3
Dean Wade,2:50,1,3,.333,1,3,.333,0,0,,0,0,0,0,0,0,0,2,3,-4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Georges Niang,9:10,1,1,1.000,1,1,1.000,0,0,,0,0,0,1,0,0,1,0,3,-5
Caris LeVert,2:50,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,-4
Isaac Okoro,2:47,1,2,.500,1,1,1.000,0,0,,0,0,0,0,1,0,0,1,3,-6
Tristan Thompson,2:47,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,0,0,-6
Damian Jones,Did Not Play
Sam Merrill,Did Not Play
Craig Porter Jr.,Did Not Play
Team Totals,60,11,22,.500,7,12,.583,0,0,,2,5,7,8,2,1,6,6,29,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Darius Garland,18:42,5,12,.417,1,3,.333,0,0,,0,2,2,5,0,0,1,0,11,0
Max Strus,19:09,4,8,.500,3,6,.500,0,0,,0,5,5,2,0,0,1,2,11,+8
Jarrett Allen,18:03,3,6,.500,0,0,,0,0,,1,2,3,3,2,1,1,0,6,+12
Donovan Mitchell,18:03,6,12,.500,2,6,.333,2,2,1.000,0,5,5,3,1,0,3,2,16,+12
Dean Wade,9:25,2,4,.500,2,4,.500,0,0,,0,2,2,0,0,0,0,3,6,+8
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Georges Niang,13:13,1,1,1.000,1,1,1.000,0,0,,0,0,0,1,0,0,1,0,3,-10
Caris LeVert,9:16,2,4,.500,0,1,.000,0,0,,0,0,0,1,0,0,1,1,4,-6
Isaac Okoro,8:12,1,3,.333,1,1,1.000,0,0,,0,2,2,0,1,0,1,1,3,-8
Tristan Thompson,5:57,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,0,0,-11
Damian Jones,Did Not Play
Sam Merrill,Did Not Play
Craig Porter Jr.,Did Not Play
Team Totals,120,24,50,.480,10,22,.455,2,2,1.000,2,18,20,15,4,1,9,9,60,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Darius Garland,9:53,5,6,.833,2,2,1.000,0,0,,0,0,0,1,1,0,1,0,12,+3
Max Strus,8:55,1,5,.200,1,3,.333,0,0,,0,2,2,1,0,0,0,0,3,-2
Jarrett Allen,12:00,1,1,1.000,0,0,,2,4,.500,1,0,1,2,1,1,1,3,4,-3
Donovan Mitchell,8:55,4,7,.571,3,6,.500,0,0,,0,1,1,0,0,0,0,0,11,-2
Dean Wade,7:43,0,1,.000,0,1,.000,2,2,1.000,1,0,1,3,0,1,0,0,2,+1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Georges Niang,4:19,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-4
Caris LeVert,3:05,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-1
Isaac Okoro,5:10,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-7
Tristan Thompson, 
Damian Jones,Did Not Play
Sam Merrill,Did Not Play
Craig Porter Jr.,Did Not Play
Team Totals,60,11,21,.524,6,13,.462,4,6,.667,2,4,6,7,2,2,2,3,32,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Darius Garland,9:11,1,5,.200,1,3,.333,0,0,,0,0,0,1,0,0,0,1,3,-6
Max Strus,9:06,1,2,.500,1,2,.500,0,0,,0,2,2,0,0,0,0,2,3,-5
Jarrett Allen,6:27,2,2,1.000,0,0,,0,1,.000,0,1,1,0,0,0,0,1,4,-5
Donovan Mitchell,8:10,1,3,.333,0,1,.000,0,0,,0,0,0,0,0,0,0,1,2,-4
Dean Wade,2:42,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Georges Niang,5:33,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,0
Caris LeVert,10:24,3,6,.500,1,2,.500,0,0,,0,2,2,2,0,1,1,0,7,+2
Isaac Okoro,2:54,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,0
Tristan Thompson,5:33,1,1,1.000,0,0,,0,0,,2,1,3,1,0,0,0,0,2,0
Damian Jones,Did Not Play
Sam Merrill,Did Not Play
Craig Porter Jr.,Did Not Play
Team Totals,60,9,21,.429,3,10,.300,0,1,.000,2,7,9,5,0,1,1,6,21,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Darius Garland,19:04,6,11,.545,3,5,.600,0,0,,0,0,0,2,1,0,1,1,15,-3
Max Strus,18:01,2,7,.286,2,5,.400,0,0,,0,4,4,1,0,0,0,2,6,-7
Jarrett Allen,18:27,3,3,1.000,0,0,,2,5,.400,1,1,2,2,1,1,1,4,8,-8
Donovan Mitchell,17:05,5,10,.500,3,7,.429,0,0,,0,1,1,0,0,0,0,1,13,-6
Dean Wade,10:25,0,2,.000,0,2,.000,2,2,1.000,1,0,1,3,0,1,0,0,2,-6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Georges Niang,9:52,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,1,0,-4
Caris LeVert,13:29,3,7,.429,1,3,.333,0,0,,0,2,2,2,0,1,1,0,7,+1
Isaac Okoro,8:04,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,-7
Tristan Thompson,5:33,1,1,1.000,0,0,,0,0,,2,1,3,1,0,0,0,0,2,0
Damian Jones,Did Not Play
Sam Merrill,Did Not Play
Craig Porter Jr.,Did Not Play
Team Totals,120,20,42,.476,9,23,.391,4,7,.571,4,11,15,12,2,3,3,9,53,
,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Darius Garland,37:46,.565,.565,.348,.000,0.0,6.2,3.2,29.6,1.3,0.0,8.0,29.4,113,130,1.8
Max Strus,37:10,.567,.567,.733,.000,0.0,28.3,14.5,10.7,0.0,0.0,6.3,19.1,109,125,-1.6
Jarrett Allen,36:30,.625,.667,.000,.556,6.7,9.6,8.2,18.2,4.1,6.6,15.2,16.1,124,118,4.7
Donovan Mitchell,35:08,.634,.614,.591,.091,0.0,20.0,10.2,14.1,1.4,0.0,11.6,32.8,110,124,3.1
Dean Wade,19:50,.581,.500,1.000,.333,6.2,11.8,9.1,18.5,0.0,6.1,0.0,15.4,140,128,4.7
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Georges Niang,23:05,1.500,1.500,1.000,.000,0.0,10.1,5.2,5.0,0.0,0.0,50.0,3.9,122,132,-3.0
Caris LeVert,22:45,.500,.500,.364,.000,0.0,10.3,5.3,18.9,0.0,5.3,15.4,25.4,92,129,-4.7
Isaac Okoro,16:16,.375,.375,.500,.000,0.0,14.4,7.4,7.2,3.1,0.0,20.0,13.7,69,122,-6.1
Tristan Thompson,11:30,1.000,1.000,.000,.000,32.1,10.2,20.9,10.5,0.0,0.0,0.0,3.9,227,132,3.7
Damian Jones,Did Not Play
Sam Merrill,Did Not Play
Craig Porter Jr.,Did Not Play
Team Totals,240,.589,.582,.489,.098,15.4,70.7,43.8,61.4,6.2,10.0,11.1,100.0,117.3,124.6,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jayson Tatum,40:34,7,19,.368,2,9,.222,9,9,1.000,0,10,10,5,0,2,4,3,25,+9
Derrick White,36:56,5,9,.556,5,8,.625,2,2,1.000,0,4,4,4,1,2,1,3,17,-6
Jaylen Brown,34:36,10,17,.588,1,5,.200,4,4,1.000,1,1,2,4,1,1,3,1,25,-6
