,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jaren Jackson Jr.,39:59,15,24,.625,3,8,.375,11,13,.846,1,6,7,2,4,1,3,4,44,-1
David Roddy,32:11,3,14,.214,2,7,.286,1,2,.500,1,5,6,4,1,0,1,1,9,+1
Derrick Rose,30:42,7,14,.500,1,4,.250,4,4,1.000,1,3,4,6,0,1,1,4,19,-14
Vince Williams Jr.,27:47,2,5,.400,2,4,.500,4,6,.667,1,6,7,1,1,0,0,6,10,-3
Bismack Biyombo,23:59,1,2,.500,0,0,,1,6,.167,1,5,6,1,0,0,2,5,3,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Ziaire Williams,25:46,1,8,.125,0,6,.000,3,3,1.000,0,4,4,3,0,0,1,2,5,-4
Santi Aldama,15:44,3,4,.750,1,2,.500,0,0,,0,5,5,1,0,2,1,4,7,-11
Jake LaRavia,15:26,2,6,.333,0,3,.000,0,0,,0,0,0,2,0,0,1,3,4,-14
Jacob Gilyard,12:58,1,1,1.000,1,1,1.000,0,0,,0,0,0,3,0,0,0,0,3,+1
Jaylen Nowell,8:21,0,3,.000,0,2,.000,0,0,,0,0,0,1,0,0,1,1,0,-5
John Konchar,7:07,0,1,.000,0,1,.000,0,0,,0,0,0,1,1,0,0,0,0,-13
Kenneth Lofton Jr.,Did Not Play
Xavier Tillman Sr.,Did Not Play
Team Totals,240,35,82,.427,10,38,.263,24,34,.706,5,34,39,25,7,4,11,30,104,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jaren Jackson Jr.,12:00,4,7,.571,1,3,.333,1,2,.500,0,2,2,0,2,0,0,0,10,-6
David Roddy,9:05,2,6,.333,2,3,.667,0,0,,0,1,1,2,0,0,0,1,6,-3
Derrick Rose,6:03,1,3,.333,0,1,.000,0,0,,0,1,1,3,0,0,0,0,2,-8
Vince Williams Jr.,5:46,1,2,.500,1,2,.500,0,0,,0,1,1,0,0,0,0,2,3,-8
