,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Trae Young,39:14,13,27,.481,4,9,.444,5,6,.833,0,4,4,17,0,1,5,3,35,0
Saddiq Bey,38:28,5,14,.357,0,5,.000,2,3,.667,3,7,10,2,2,0,1,1,12,-3
Dejounte Murray,34:02,8,17,.471,4,9,.444,0,1,.000,0,3,3,5,0,2,0,2,20,-17
Clint Capela,34:02,7,12,.583,0,0,,3,4,.750,6,4,10,1,0,3,0,3,17,-17
Wesley Matthews,13:40,1,6,.167,1,4,.250,2,2,1.000,1,1,2,1,2,0,0,3,5,-11
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bogdan Bogdanović,32:15,7,13,.538,4,7,.571,2,3,.667,1,2,3,5,4,0,1,4,20,+5
Onyeka Okongwu,29:44,5,9,.556,3,5,.600,0,0,,2,6,8,1,0,2,0,0,13,+5
Garrison Mathews,18:35,2,2,1.000,2,2,1.000,0,0,,0,2,2,0,1,0,0,2,6,+3
Bruno Fernando,Did Not Play
Trent Forrest,Did Not Play
Seth Lundy,Did Not Play
Patty Mills,Did Not Play
Team Totals,240,48,100,.480,18,41,.439,14,19,.737,13,29,42,32,9,8,7,18,128,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Trae Young,9:46,4,7,.571,1,2,.500,0,0,,0,0,0,7,0,0,0,0,9,+8
Saddiq Bey,8:51,1,5,.200,0,2,.000,0,0,,1,0,1,1,0,0,0,0,2,+5
Dejounte Murray,8:17,3,5,.600,1,2,.500,0,0,,0,2,2,1,0,0,0,0,7,-3
Clint Capela,8:17,2,2,1.000,0,0,,1,2,.500,1,2,3,1,0,0,0,0,5,-3
Wesley Matthews,5:08,1,2,.500,1,1,1.000,0,0,,0,0,0,0,2,0,0,1,3,-6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bogdan Bogdanović,6:52,3,3,1.000,1,1,1.000,0,1,.000,0,1,1,1,0,0,0,0,7,+14
Onyeka Okongwu,6:52,1,3,.333,1,1,1.000,0,0,,1,2,3,1,0,0,0,0,3,+14
Garrison Mathews,5:57,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,1,0,0,0,3,+11
Bruno Fernando,Did Not Play
Trent Forrest,Did Not Play
Seth Lundy,Did Not Play
Patty Mills,Did Not Play
Team Totals,60,16,28,.571,6,10,.600,1,3,.333,3,7,10,12,3,0,0,1,39,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Trae Young,9:32,4,7,.571,2,3,.667,1,2,.500,0,1,1,3,0,0,3,0,11,-4
Saddiq Bey,9:32,0,0,,0,0,,1,2,.500,0,0,0,0,0,0,1,0,1,-4
Dejounte Murray,8:08,1,4,.250,1,3,.333,0,1,.000,0,1,1,3,0,0,0,0,3,-5
Clint Capela,8:08,3,4,.750,0,0,,0,0,,1,2,3,0,0,2,0,0,6,-5
Wesley Matthews, 
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bogdan Bogdanović,7:57,0,3,.000,0,2,.000,0,0,,1,0,1,0,0,0,1,2,0,-5
