,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Collin Sexton,31:50,11,17,.647,2,5,.400,3,3,1.000,1,1,2,4,1,0,2,2,27,+17
Talen Horton-Tucker,30:08,9,19,.474,0,6,.000,5,6,.833,1,1,2,4,4,0,3,2,23,+31
Walker Kessler,26:26,5,6,.833,0,1,.000,0,0,,2,8,10,4,1,7,1,0,10,+23
Simone Fontecchio,24:56,7,8,.875,5,5,1.000,5,5,1.000,1,4,5,0,1,0,0,0,24,+24
Kelly Olynyk,24:20,1,6,.167,0,3,.000,0,0,,1,9,10,7,0,0,0,1,2,+27
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Ochai Agbaji,26:20,7,12,.583,2,6,.333,0,0,,0,3,3,2,0,0,1,3,16,-17
Kris Dunn,26:20,3,8,.375,0,2,.000,0,0,,1,1,2,5,0,0,0,2,6,-17
Taylor Hendricks,25:12,4,9,.444,2,5,.400,0,0,,3,4,7,0,1,0,2,1,10,-21
Omer Yurtseven,21:34,2,7,.286,0,0,,0,0,,3,1,4,1,1,2,2,3,4,-15
Micah Potter,2:54,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-12
John Collins,Did Not Dress
Luka Šamanić,Did Not Dress
Team Totals,240,49,92,.533,11,33,.333,13,14,.929,13,32,45,27,9,9,11,14,122,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Collin Sexton,8:44,4,5,.800,1,2,.500,1,1,1.000,0,0,0,2,0,0,0,1,10,+9
Talen Horton-Tucker,8:44,2,4,.500,0,2,.000,1,1,1.000,0,0,0,0,1,0,1,0,5,+9
Walker Kessler,5:10,1,1,1.000,0,0,,0,0,,0,2,2,2,0,1,0,0,2,+2
Simone Fontecchio,12:00,3,4,.750,2,2,1.000,2,2,1.000,0,1,1,0,0,0,0,0,10,+8
Kelly Olynyk,8:44,1,2,.500,0,1,.000,0,0,,1,1,2,3,0,0,0,1,2,+9
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Ochai Agbaji,3:16,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,-1
Kris Dunn,3:16,1,2,.500,0,1,.000,0,0,,0,0,0,1,0,0,0,0,2,-1
Taylor Hendricks,3:16,1,2,.500,1,2,.500,0,0,,0,1,1,0,0,0,0,0,3,-1
Omer Yurtseven,6:50,1,2,.500,0,0,,0,0,,0,1,1,0,0,1,0,1,2,+6
Micah Potter, 
John Collins,Did Not Dress
Luka Šamanić,Did Not Dress
Team Totals,60,15,23,.652,4,10,.400,4,4,1.000,1,7,8,8,1,2,1,3,38,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Collin Sexton,6:22,2,4,.500,0,1,.000,2,2,1.000,1,0,1,1,1,0,1,0,6,+4
Talen Horton-Tucker,10:28,3,6,.500,0,2,.000,2,2,1.000,0,1,1,3,0,0,1,1,8,+9
Walker Kessler,12:00,3,4,.750,0,1,.000,0,0,,1,3,4,0,1,1,0,0,6,+7
Simone Fontecchio,6:22,2,2,1.000,2,2,1.000,0,0,,0,3,3,0,0,0,0,0,6,+4
Kelly Olynyk,6:20,0,2,.000,0,1,.000,0,0,,0,4,4,0,0,0,0,0,0,+4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Ochai Agbaji,5:38,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2,+3
Kris Dunn,5:38,0,1,.000,0,0,,0,0,,1,0,1,2,0,0,0,0,0,+3
Taylor Hendricks,7:12,1,2,.500,1,1,1.000,0,0,,1,0,1,0,1,0,1,0,3,+1
Omer Yurtseven, 
Micah Potter, 
John Collins,Did Not Dress
Luka Šamanić,Did Not Dress
Team Totals,60,12,23,.522,3,9,.333,4,4,1.000,4,11,15,6,3,1,3,1,31,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Collin Sexton,15:06,6,9,.667,1,3,.333,3,3,1.000,1,0,1,3,1,0,1,1,16,+13
Talen Horton-Tucker,19:12,5,10,.500,0,4,.000,3,3,1.000,0,1,1,3,1,0,2,1,13,+18
Walker Kessler,17:10,4,5,.800,0,1,.000,0,0,,1,5,6,2,1,2,0,0,8,+9
Simone Fontecchio,18:22,5,6,.833,4,4,1.000,2,2,1.000,0,4,4,0,0,0,0,0,16,+12
Kelly Olynyk,15:04,1,4,.250,0,2,.000,0,0,,1,5,6,3,0,0,0,1,2,+13
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Ochai Agbaji,8:54,2,3,.667,0,1,.000,0,0,,0,1,1,0,0,0,0,0,4,+2
Kris Dunn,8:54,1,3,.333,0,1,.000,0,0,,1,0,1,3,0,0,0,0,2,+2
Taylor Hendricks,10:28,2,4,.500,2,3,.667,0,0,,1,1,2,0,1,0,1,0,6,0
Omer Yurtseven,6:50,1,2,.500,0,0,,0,0,,0,1,1,0,0,1,0,1,2,+6
Micah Potter, 
John Collins,Did Not Dress
Luka Šamanić,Did Not Dress
Team Totals,120,27,46,.587,7,19,.368,8,8,1.000,5,18,23,14,4,3,4,4,69,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Collin Sexton,7:38,1,3,.333,0,0,,0,0,,0,1,1,0,0,0,0,1,2,+11
Talen Horton-Tucker,10:56,4,9,.444,0,2,.000,2,3,.667,1,0,1,1,3,0,1,1,10,+13
Walker Kessler,9:16,1,1,1.000,0,0,,0,0,,1,3,4,2,0,5,1,0,2,+14
Simone Fontecchio,6:34,2,2,1.000,1,1,1.000,3,3,1.000,1,0,1,0,1,0,0,0,8,+12
Kelly Olynyk,9:16,0,2,.000,0,1,.000,0,0,,0,4,4,4,0,0,0,0,0,+14
