,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Shai Gilgeous-Alexander,38:12,13,27,.481,1,5,.200,16,18,.889,2,4,6,9,2,0,3,2,43,+3
Luguentz Dort,32:03,5,8,.625,3,5,.600,4,5,.800,2,2,4,0,3,2,1,4,17,+3
Chet Holmgren,30:03,6,12,.500,0,2,.000,2,2,1.000,2,9,11,1,0,3,1,4,14,-10
Josh Giddey,28:46,8,14,.571,2,3,.667,0,0,,5,3,8,4,2,1,4,4,18,+10
Jalen Williams,28:38,2,14,.143,0,4,.000,1,1,1.000,2,2,4,3,1,1,1,3,5,+2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cason Wallace,18:58,1,3,.333,1,2,.500,0,0,,0,0,0,4,0,0,0,3,3,-18
Isaiah Joe,15:23,2,7,.286,1,5,.200,1,1,1.000,0,1,1,0,0,0,0,1,6,-6
Jaylin Williams,15:03,1,3,.333,1,3,.333,0,0,,1,5,6,3,0,0,0,2,3,+7
Kenrich Williams,10:50,1,5,.200,0,2,.000,0,0,,0,0,0,1,0,0,0,1,2,-5
Ousmane Dieng,10:22,2,4,.500,2,4,.500,0,0,,0,0,0,0,0,0,1,0,6,-3
Aaron Wiggins,6:59,3,4,.750,0,0,,0,0,,1,0,1,0,0,0,1,0,6,-5
Dāvis Bertāns,4:43,0,1,.000,0,1,.000,0,0,,1,2,3,1,0,0,1,1,0,-3
Tre Mann,Did Not Play
Vasilije Micić,Did Not Play
Olivier Sarr,Did Not Play
Team Totals,240,44,102,.431,11,36,.306,24,27,.889,16,28,44,26,8,7,13,25,123,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Shai Gilgeous-Alexander,12:00,4,9,.444,1,3,.333,5,6,.833,1,1,2,2,1,0,1,0,14,+1
Luguentz Dort,10:47,1,2,.500,1,2,.500,2,2,1.000,1,2,3,0,1,0,1,0,5,+2
Chet Holmgren,6:23,0,2,.000,0,0,,0,0,,0,3,3,0,0,0,0,1,0,-5
Josh Giddey,6:35,1,2,.500,0,0,,0,0,,2,1,3,1,1,0,2,1,2,+1
Jalen Williams,6:28,1,5,.200,0,2,.000,1,1,1.000,0,0,0,0,0,0,0,0,3,-1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cason Wallace,1:06,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-3
Isaiah Joe,5:32,1,2,.500,1,2,.500,0,0,,0,1,1,0,0,0,0,0,3,+2
Jaylin Williams,5:44,0,1,.000,0,1,.000,0,0,,1,1,2,1,0,0,0,1,0,+8
Kenrich Williams, 
Ousmane Dieng,5:25,1,2,.500,1,2,.500,0,0,,0,0,0,0,0,0,1,0,3,0
Aaron Wiggins, 
Dāvis Bertāns, 
Tre Mann,Did Not Play
Vasilije Micić,Did Not Play
Olivier Sarr,Did Not Play
Team Totals,60,9,25,.360,4,12,.333,8,9,.889,5,9,14,5,3,0,5,3,30,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Shai Gilgeous-Alexander,5:01,1,3,.333,0,1,.000,4,4,1.000,0,0,0,0,1,0,0,0,6,-2
Luguentz Dort,3:01,0,1,.000,0,1,.000,1,2,.500,0,0,0,0,0,1,0,1,1,-3
Chet Holmgren,6:59,0,1,.000,0,0,,2,2,1.000,1,1,2,0,0,0,0,1,2,-5
Josh Giddey,3:59,0,1,.000,0,0,,0,0,,1,0,1,1,0,0,1,1,0,-4
Jalen Williams,9:03,0,3,.000,0,0,,0,0,,0,2,2,2,1,1,1,2,0,-4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cason Wallace,8:59,1,1,1.000,1,1,1.000,0,0,,0,0,0,1,0,0,0,2,3,-4
Isaiah Joe,2:08,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-3
Jaylin Williams,5:01,1,2,.500,1,2,.500,0,0,,0,3,3,0,0,0,0,0,3,-2
Kenrich Williams,7:48,1,4,.250,0,2,.000,0,0,,0,0,0,1,0,0,0,1,2,-5
Ousmane Dieng,1:02,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+2
Aaron Wiggins,6:59,3,4,.750,0,0,,0,0,,1,0,1,0,0,0,1,0,6,-5
Dāvis Bertāns, 
Tre Mann,Did Not Play
Vasilije Micić,Did Not Play
Olivier Sarr,Did Not Play
Team Totals,60,7,22,.318,2,8,.250,7,8,.875,3,6,9,5,2,2,3,8,23,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Shai Gilgeous-Alexander,17:01,5,12,.417,1,4,.250,9,10,.900,1,1,2,2,2,0,1,0,20,-1
Luguentz Dort,13:48,1,3,.333,1,3,.333,3,4,.750,1,2,3,0,1,1,1,1,6,-1
Chet Holmgren,13:22,0,3,.000,0,0,,2,2,1.000,1,4,5,0,0,0,0,2,2,-10
Josh Giddey,10:34,1,3,.333,0,0,,0,0,,3,1,4,2,1,0,3,2,2,-3
Jalen Williams,15:31,1,8,.125,0,2,.000,1,1,1.000,0,2,2,2,1,1,1,2,3,-5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cason Wallace,10:05,1,1,1.000,1,1,1.000,0,0,,0,0,0,2,0,0,0,2,3,-7
Isaiah Joe,7:40,1,4,.250,1,3,.333,0,0,,0,1,1,0,0,0,0,0,3,-1
Jaylin Williams,10:45,1,3,.333,1,3,.333,0,0,,1,4,5,1,0,0,0,1,3,+6
Kenrich Williams,7:48,1,4,.250,0,2,.000,0,0,,0,0,0,1,0,0,0,1,2,-5
Ousmane Dieng,6:27,1,2,.500,1,2,.500,0,0,,0,0,0,0,0,0,1,0,3,+2
Aaron Wiggins,6:59,3,4,.750,0,0,,0,0,,1,0,1,0,0,0,1,0,6,-5
Dāvis Bertāns, 
Tre Mann,Did Not Play
Vasilije Micić,Did Not Play
Olivier Sarr,Did Not Play
Team Totals,120,16,47,.340,6,20,.300,15,17,.882,8,15,23,10,5,2,8,11,53,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Shai Gilgeous-Alexander,12:00,4,8,.500,0,1,.000,6,7,.857,0,2,2,5,0,0,1,1,14,-2
Luguentz Dort,6:35,1,1,1.000,0,0,,1,1,1.000,1,0,1,0,1,0,0,1,3,+2
Chet Holmgren,7:43,3,3,1.000,0,0,,0,0,,0,0,0,1,0,1,0,1,6,-3
Josh Giddey,7:26,4,6,.667,2,3,.667,0,0,,0,2,2,0,0,1,1,1,10,+7
Jalen Williams,6:42,0,2,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,+6
