,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Mikal Bridges,42:17,6,17,.353,3,4,.750,3,3,1.000,1,5,6,2,1,0,2,1,18,-4
Spencer Dinwiddie,39:54,6,13,.462,3,10,.300,1,2,.500,1,4,5,14,3,1,2,1,16,-6
Cam Thomas,36:37,15,24,.625,5,13,.385,6,6,1.000,0,5,5,2,1,0,5,5,41,-3
Nic Claxton,33:06,8,12,.667,0,0,,3,3,1.000,5,7,12,1,0,4,2,1,19,-5
Cameron Johnson,28:50,5,12,.417,3,7,.429,0,1,.000,0,2,2,5,0,0,0,4,13,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Royce O'Neale,34:02,4,10,.400,3,9,.333,0,0,,3,2,5,3,1,1,3,4,11,+3
Day'Ron Sharpe,8:56,0,3,.000,0,0,,0,0,,3,1,4,2,0,2,0,3,0,-2
Jalen Wilson,8:09,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,1,1,2,-3
Trendon Watford,8:05,0,1,.000,0,0,,0,0,,0,2,2,2,0,0,1,1,0,+2
Dorian Finney-Smith,Did Not Dress
Harry Giles,Did Not Play
Dennis Smith Jr.,Not With Team
Team Totals,240,45,93,.484,17,43,.395,13,15,.867,14,28,42,31,6,8,16,21,120,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Mikal Bridges,12:00,0,4,.000,0,1,.000,0,0,,0,3,3,1,1,0,0,1,0,-7
Spencer Dinwiddie,9:23,2,3,.667,1,2,.500,0,0,,0,0,0,0,0,0,0,0,5,-4
Cam Thomas,8:59,4,5,.800,2,3,.667,2,2,1.000,0,1,1,0,0,0,0,0,12,-4
Nic Claxton,11:04,2,3,.667,0,0,,0,0,,2,2,4,0,0,2,1,0,4,-7
Cameron Johnson,7:58,1,4,.250,0,2,.000,0,0,,0,1,1,2,0,0,0,1,2,-6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Royce O'Neale,4:02,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,1,2,0,-1
Day'Ron Sharpe,0:56,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Jalen Wilson,3:01,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,1,1,2,-3
Trendon Watford,2:37,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-3
