,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jacob Gilyard,34:05,4,9,.444,4,6,.667,0,0,,0,1,1,7,1,0,3,2,12,-3
Desmond Bane,27:56,6,14,.429,4,9,.444,1,2,.500,0,1,1,5,0,1,5,1,17,-18
Jaren Jackson Jr.,25:13,3,7,.429,1,4,.250,4,5,.800,0,5,5,1,1,0,2,3,11,-15
Xavier Tillman Sr.,24:41,0,8,.000,0,3,.000,0,0,,0,8,8,2,1,1,1,1,0,-15
Vince Williams Jr.,23:08,2,7,.286,1,5,.200,0,0,,2,3,5,1,0,0,1,3,5,-26
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
David Roddy,22:17,2,5,.400,1,3,.333,3,3,1.000,0,4,4,1,1,0,3,1,8,-1
Ziaire Williams,21:48,6,12,.500,2,7,.286,5,5,1.000,0,7,7,5,0,0,4,3,19,+6
Santi Aldama,19:58,2,10,.200,2,7,.286,3,4,.750,2,7,9,1,0,0,1,1,9,-21
John Konchar,16:53,1,3,.333,1,3,.333,2,2,1.000,1,1,2,2,2,0,2,2,5,-20
Gregory Jackson II,12:00,3,6,.500,2,3,.667,0,0,,0,0,0,0,0,1,0,2,8,+9
Jake LaRavia,12:00,1,4,.250,1,4,.250,0,0,,2,1,3,0,0,0,0,0,3,+9
Bismack Biyombo,Did Not Play
Team Totals,240,30,85,.353,19,54,.352,18,21,.857,7,38,45,25,6,3,22,19,97,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jacob Gilyard,10:09,3,4,.750,3,3,1.000,0,0,,0,0,0,2,0,0,1,1,9,-6
Desmond Bane,9:01,3,7,.429,2,6,.333,0,0,,0,0,0,3,0,0,2,1,8,-4
Jaren Jackson Jr.,9:06,2,4,.500,1,2,.500,2,3,.667,0,1,1,0,0,0,0,2,7,-4
Xavier Tillman Sr.,9:01,0,3,.000,0,1,.000,0,0,,0,4,4,1,0,0,1,0,0,-4
Vince Williams Jr.,10:04,1,3,.333,0,2,.000,0,0,,2,2,4,0,0,0,1,1,2,-6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
David Roddy,2:59,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-4
Ziaire Williams, 
Santi Aldama,4:50,0,2,.000,0,1,.000,0,0,,0,2,2,0,0,0,1,0,0,-6
John Konchar,4:50,0,1,.000,0,1,.000,0,0,,1,1,2,0,0,0,0,1,0,-6
Gregory Jackson II, 
Jake LaRavia, 
Bismack Biyombo,Did Not Play
Team Totals,60,9,24,.375,6,16,.375,2,3,.667,3,10,13,6,0,0,6,6,26,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jacob Gilyard,5:40,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-1
Desmond Bane,7:59,2,4,.500,1,2,.500,0,0,,0,1,1,1,0,0,2,0,5,-8
Jaren Jackson Jr.,5:28,1,2,.500,0,1,.000,0,0,,0,0,0,1,1,0,0,0,2,+1
Xavier Tillman Sr.,6:32,0,2,.000,0,1,.000,0,0,,0,1,1,0,1,0,0,0,0,-8
Vince Williams Jr.,5:44,1,1,1.000,1,1,1.000,0,0,,0,0,0,1,0,0,0,0,3,-8
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
David Roddy,6:16,1,3,.333,0,1,.000,1,1,1.000,0,0,0,1,0,0,0,0,3,+1
Ziaire Williams,9:48,3,6,.500,1,4,.250,0,0,,0,3,3,1,0,0,1,1,7,-3
Santi Aldama,6:13,1,3,.333,1,2,.500,1,2,.500,1,1,2,1,0,0,0,1,4,-3
John Konchar,6:19,1,1,1.000,1,1,1.000,0,0,,0,0,0,2,1,0,1,0,3,-6
Gregory Jackson II, 
Jake LaRavia, 
Bismack Biyombo,Did Not Play
Team Totals,60,10,23,.435,5,13,.385,2,3,.667,1,6,7,9,3,0,4,2,27,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jacob Gilyard,15:49,3,5,.600,3,3,1.000,0,0,,0,0,0,3,0,0,1,1,9,-7
Desmond Bane,17:00,5,11,.455,3,8,.375,0,0,,0,1,1,4,0,0,4,1,13,-12
Jaren Jackson Jr.,14:34,3,6,.500,1,3,.333,2,3,.667,0,1,1,1,1,0,0,2,9,-3
Xavier Tillman Sr.,15:33,0,5,.000,0,2,.000,0,0,,0,5,5,1,1,0,1,0,0,-12
Vince Williams Jr.,15:48,2,4,.500,1,3,.333,0,0,,2,2,4,1,0,0,1,1,5,-14
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
David Roddy,9:15,1,3,.333,0,1,.000,1,1,1.000,0,0,0,1,0,0,0,0,3,-3
Ziaire Williams,9:48,3,6,.500,1,4,.250,0,0,,0,3,3,1,0,0,1,1,7,-3
Santi Aldama,11:03,1,5,.200,1,3,.333,1,2,.500,1,3,4,1,0,0,1,1,4,-9
John Konchar,11:09,1,2,.500,1,2,.500,0,0,,1,1,2,2,1,0,1,1,3,-12
Gregory Jackson II, 
Jake LaRavia, 
Bismack Biyombo,Did Not Play
Team Totals,120,19,47,.404,11,29,.379,4,6,.667,4,16,20,15,3,0,10,8,53,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jacob Gilyard,6:16,0,2,.000,0,1,.000,0,0,,0,1,1,1,1,0,2,1,0,-5
Desmond Bane,10:56,1,3,.333,1,1,1.000,1,2,.500,0,0,0,1,0,1,1,0,4,-6
Jaren Jackson Jr.,10:39,0,1,.000,0,1,.000,2,2,1.000,0,4,4,0,0,0,2,1,2,-12
Xavier Tillman Sr.,4:26,0,3,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,1,0,-2
Vince Williams Jr.,7:20,0,3,.000,0,2,.000,0,0,,0,1,1,0,0,0,0,2,0,-12
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
David Roddy,5:44,0,1,.000,0,1,.000,0,0,,0,3,3,0,0,0,1,1,0,-8
Ziaire Williams, 
Santi Aldama,8:55,1,5,.200,1,4,.250,2,2,1.000,1,4,5,0,0,0,0,0,5,-12
John Konchar,5:44,0,1,.000,0,1,.000,2,2,1.000,0,0,0,0,1,0,1,1,2,-8
Gregory Jackson II, 
Jake LaRavia, 
Bismack Biyombo,Did Not Play
Team Totals,60,2,19,.105,2,12,.167,7,8,.875,1,14,15,2,2,1,7,7,13,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jacob Gilyard,12:00,1,2,.500,1,2,.500,0,0,,0,0,0,3,0,0,0,0,3,+9
Desmond Bane, 
Jaren Jackson Jr., 
Xavier Tillman Sr.,4:42,0,0,,0,0,,0,0,,0,2,2,1,0,1,0,0,0,-1
Vince Williams Jr., 
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
David Roddy,7:18,1,1,1.000,1,1,1.000,2,2,1.000,0,1,1,0,1,0,2,0,5,+10
Ziaire Williams,12:00,3,6,.500,1,3,.333,5,5,1.000,0,4,4,4,0,0,3,2,12,+9
Santi Aldama, 
John Konchar, 
Gregory Jackson II,12:00,3,6,.500,2,3,.667,0,0,,0,0,0,0,0,1,0,2,8,+9
Jake LaRavia,12:00,1,4,.250,1,4,.250,0,0,,2,1,3,0,0,0,0,0,3,+9
Bismack Biyombo,Did Not Play
Team Totals,60,9,19,.474,6,13,.462,7,7,1.000,2,8,10,8,1,2,5,4,31,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jacob Gilyard,18:16,1,4,.250,1,3,.333,0,0,,0,1,1,4,1,0,2,1,3,+4
Desmond Bane,10:56,1,3,.333,1,1,1.000,1,2,.500,0,0,0,1,0,1,1,0,4,-6
Jaren Jackson Jr.,10:39,0,1,.000,0,1,.000,2,2,1.000,0,4,4,0,0,0,2,1,2,-12
Xavier Tillman Sr.,9:08,0,3,.000,0,1,.000,0,0,,0,3,3,1,0,1,0,1,0,-3
Vince Williams Jr.,7:20,0,3,.000,0,2,.000,0,0,,0,1,1,0,0,0,0,2,0,-12
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
David Roddy,13:02,1,2,.500,1,2,.500,2,2,1.000,0,4,4,0,1,0,3,1,5,+2
Ziaire Williams,12:00,3,6,.500,1,3,.333,5,5,1.000,0,4,4,4,0,0,3,2,12,+9
Santi Aldama,8:55,1,5,.200,1,4,.250,2,2,1.000,1,4,5,0,0,0,0,0,5,-12
John Konchar,5:44,0,1,.000,0,1,.000,2,2,1.000,0,0,0,0,1,0,1,1,2,-8
Gregory Jackson II,12:00,3,6,.500,2,3,.667,0,0,,0,0,0,0,0,1,0,2,8,+9
Jake LaRavia,12:00,1,4,.250,1,4,.250,0,0,,2,1,3,0,0,0,0,0,3,+9
Bismack Biyombo,Did Not Play
Team Totals,120,11,38,.289,8,25,.320,14,15,.933,3,22,25,10,3,3,12,11,44,
,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jacob Gilyard,34:05,.667,.667,.667,.000,0.0,2.9,1.4,40.5,1.3,0.0,25.0,14.5,109,115,-0.1
Desmond Bane,27:56,.571,.571,.643,.143,0.0,3.6,1.8,43.6,0.0,3.1,25.2,29.4,86,116,-0.6
Jaren Jackson Jr.,25:13,.598,.500,.571,.714,0.0,19.8,9.7,7.8,1.8,0.0,17.9,18.3,98,110,-3.3
Xavier Tillman Sr.,24:41,.000,.000,.375,.000,0.0,32.4,15.9,13.0,1.9,3.5,11.1,15.1,16,104,-11.7
Vince Williams Jr.,23:08,.357,.357,.714,.000,8.3,13.0,10.6,8.0,0.0,0.0,12.5,14.3,77,116,-9.2
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
David Roddy,22:17,.633,.500,.600,.600,0.0,18.0,8.8,8.4,2.1,0.0,32.2,17.3,85,110,-3.7
Ziaire Williams,21:48,.669,.583,.583,.417,0.0,32.1,15.7,65.6,0.0,0.0,22.0,34.5,109,111,6.8
Santi Aldama,19:58,.383,.300,.700,.400,9.6,35.1,22.1,9.5,0.0,0.0,7.8,26.4,83,110,-5.2
John Konchar,16:53,.644,.500,1.000,.667,5.7,5.9,5.8,20.9,5.4,0.0,34.0,14.4,101,105,2.5
Gregory Jackson II,12:00,.667,.667,.500,.000,0.0,0.0,0.0,0.0,0.0,7.1,0.0,20.6,115,114,5.1
Jake LaRavia,12:00,.375,.375,1.000,.000,16.0,8.3,12.2,0.0,0.0,0.0,0.0,13.8,94,117,-3.9
Bismack Biyombo,Did Not Play
Team Totals,240,.515,.465,.635,.247,14.0,79.2,45.9,83.3,5.7,5.4,18.9,100.0,92.7,110.9,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Shai Gilgeous-Alexander,28:24,8,18,.444,1,3,.333,13,14,.929,0,9,9,5,4,0,2,4,30,+30
Jalen Williams,28:24,3,9,.333,1,3,.333,3,4,.750,0,4,4,5,2,1,0,2,10,+14
Chet Holmgren,24:54,7,14,.500,2,4,.500,1,1,1.000,2,4,6,2,1,7,2,2,17,+13
Josh Giddey,23:48,6,12,.500,0,4,.000,4,4,1.000,3,9,12,4,1,0,1,0,16,+16
Luguentz Dort,21:18,4,7,.571,3,6,.500,0,0,,0,2,2,2,0,1,0,2,11,+24
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Isaiah Joe,19:28,2,5,.400,1,3,.333,0,0,,1,3,4,3,1,0,0,1,5,+11
Ousmane Dieng,19:18,2,5,.400,0,2,.000,0,0,,1,1,2,2,0,0,0,1,4,-9
Cason Wallace,16:48,3,6,.500,1,4,.250,0,0,,0,2,2,2,0,0,1,1,7,+12
Kenrich Williams,15:29,2,3,.667,2,3,.667,0,0,,0,4,4,3,0,0,1,0,6,+26
Aaron Wiggins,11:44,1,4,.250,0,0,,0,0,,1,1,2,1,1,0,1,0,2,-8
Jaylin Williams,9:12,1,3,.333,0,1,.000,0,0,,1,2,3,0,1,0,2,2,2,0
Vasilije Micić,7:18,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,1,1,0,0,-10
Olivier Sarr,6:57,3,5,.600,0,2,.000,0,0,,1,2,3,0,0,0,0,3,6,-12
Tre Mann,6:57,0,0,,0,0,,0,0,,0,0,0,2,0,0,1,0,0,-12
Dāvis Bertāns,Did Not Play
Team Totals,240,42,92,.457,11,36,.306,21,23,.913,10,43,53,31,11,10,12,18,116,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Shai Gilgeous-Alexander,12:00,2,5,.400,0,1,.000,6,6,1.000,0,4,4,1,1,0,1,1,10,+8
Jalen Williams,7:10,2,3,.667,1,1,1.000,0,0,,0,2,2,2,1,1,0,0,5,+2
Chet Holmgren,8:31,2,4,.500,0,1,.000,1,1,1.000,0,1,1,1,0,3,0,0,5,+6
Josh Giddey,7:10,2,4,.500,0,1,.000,0,0,,1,2,3,3,0,0,1,0,4,+2
Luguentz Dort,8:17,3,5,.600,2,4,.500,0,0,,0,0,0,1,0,0,0,0,8,+4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Isaiah Joe,3:43,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,+4
Ousmane Dieng, 
Cason Wallace,4:50,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+6
Kenrich Williams,4:50,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,+6
Aaron Wiggins, 
Jaylin Williams,3:29,1,2,.500,0,1,.000,0,0,,0,1,1,0,0,0,0,2,2,+2
Vasilije Micić, 
Olivier Sarr, 
Tre Mann, 
Dāvis Bertāns,Did Not Play
Team Totals,60,12,23,.522,3,9,.333,7,7,1.000,1,11,12,9,3,4,2,3,34,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Shai Gilgeous-Alexander,4:24,2,2,1.000,1,1,1.000,2,2,1.000,0,0,0,2,1,0,0,2,7,+9
Jalen Williams,8:08,0,1,.000,0,0,,0,0,,0,1,1,1,0,0,0,0,0,0
