,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kyle Kuzma,29:12,8,16,.500,3,7,.429,8,8,1.000,0,8,8,1,0,1,3,1,27,-23
Jordan Poole,28:32,10,18,.556,8,13,.615,0,0,,0,0,0,2,0,0,1,4,28,-8
Tyus Jones,28:19,7,10,.700,2,2,1.000,0,0,,0,1,1,9,1,0,0,0,16,-20
Daniel Gafford,24:38,3,5,.600,0,0,,2,2,1.000,2,3,5,1,0,3,0,4,8,-27
Deni Avdija,23:28,3,8,.375,1,3,.333,2,4,.500,0,5,5,3,1,0,2,5,9,-23
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bilal Coulibaly,33:02,3,7,.429,0,2,.000,5,7,.714,1,3,4,2,0,1,0,1,11,+1
Mike Muscala,23:22,2,3,.667,1,1,1.000,6,6,1.000,1,5,6,2,1,1,2,3,11,+15
Corey Kispert,20:32,2,6,.333,2,5,.400,1,2,.500,0,3,3,3,0,0,2,1,7,+4
Anthony Gill,19:33,2,5,.400,0,2,.000,0,0,,1,3,4,3,0,0,1,1,4,+9
Jared Butler,4:41,3,4,.750,1,2,.500,1,1,1.000,0,1,1,0,0,0,0,0,8,+6
Eugene Omoruyi,4:41,1,3,.333,0,1,.000,0,0,,0,2,2,0,0,0,0,1,2,+6
Team Totals,240,44,85,.518,18,38,.474,25,30,.833,5,34,39,26,3,6,11,21,131,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kyle Kuzma,9:04,3,7,.429,2,3,.667,2,2,1.000,0,2,2,0,0,0,0,0,10,+3
Jordan Poole,9:09,3,5,.600,2,3,.667,0,0,,0,0,0,0,0,0,0,2,8,+5
Tyus Jones,9:04,3,3,1.000,0,0,,0,0,,0,1,1,5,1,0,0,0,6,+3
Daniel Gafford,8:40,0,0,,0,0,,0,0,,0,2,2,0,0,3,0,0,0,+3
Deni Avdija,8:00,1,4,.250,0,1,.000,0,0,,0,2,2,1,0,0,1,1,2,+3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bilal Coulibaly,5:47,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,0
Mike Muscala,3:20,0,0,,0,0,,0,0,,0,2,2,1,0,1,1,2,0,+1
Corey Kispert,4:00,1,2,.500,1,2,.500,0,0,,0,1,1,1,0,0,0,0,3,+1
Anthony Gill,2:56,1,2,.500,0,0,,0,0,,1,0,1,0,0,0,0,0,2,+1
Jared Butler, 
Eugene Omoruyi, 
Team Totals,60,12,23,.522,5,9,.556,2,2,1.000,1,10,11,8,1,4,2,6,31,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kyle Kuzma,7:23,0,3,.000,0,3,.000,0,0,,0,0,0,0,0,1,3,0,0,-13
Jordan Poole,8:03,3,4,.750,2,2,1.000,0,0,,0,0,0,1,0,0,1,0,8,-6
Tyus Jones,7:54,2,3,.667,1,1,1.000,0,0,,0,0,0,2,0,0,0,0,5,-13
Daniel Gafford,7:05,3,4,.750,0,0,,0,0,,1,1,2,0,0,0,0,2,6,-13
Deni Avdija,7:54,0,0,,0,0,,0,0,,0,2,2,2,0,0,0,1,0,-13
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bilal Coulibaly,8:03,0,1,.000,0,1,.000,2,2,1.000,0,1,1,1,0,1,0,0,2,-9
Mike Muscala,4:55,1,2,.500,0,0,,2,2,1.000,0,1,1,0,0,0,1,0,4,-1
Corey Kispert,4:06,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-1
Anthony Gill,4:37,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-1
Jared Butler, 
Eugene Omoruyi, 
Team Totals,60,9,18,.500,3,7,.429,4,4,1.000,1,7,8,6,0,2,6,3,25,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kyle Kuzma,16:27,3,10,.300,2,6,.333,2,2,1.000,0,2,2,0,0,1,3,0,10,-10
Jordan Poole,17:12,6,9,.667,4,5,.800,0,0,,0,0,0,1,0,0,1,2,16,-1
Tyus Jones,16:58,5,6,.833,1,1,1.000,0,0,,0,1,1,7,1,0,0,0,11,-10
Daniel Gafford,15:45,3,4,.750,0,0,,0,0,,1,3,4,0,0,3,0,2,6,-10
Deni Avdija,15:54,1,4,.250,0,1,.000,0,0,,0,4,4,3,0,0,1,2,2,-10
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bilal Coulibaly,13:50,0,1,.000,0,1,.000,2,2,1.000,0,1,1,1,0,1,0,1,2,-9
Mike Muscala,8:15,1,2,.500,0,0,,2,2,1.000,0,3,3,1,0,1,2,2,4,0
Corey Kispert,8:06,1,3,.333,1,2,.500,0,0,,0,2,2,1,0,0,1,0,3,0
Anthony Gill,7:33,1,2,.500,0,0,,0,0,,1,1,2,0,0,0,0,0,2,0
Jared Butler, 
Eugene Omoruyi, 
Team Totals,120,21,41,.512,8,16,.500,6,6,1.000,2,17,19,14,1,6,8,9,56,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kyle Kuzma,9:14,3,3,1.000,0,0,,4,4,1.000,0,4,4,1,0,0,0,0,10,-10
Jordan Poole,6:08,2,5,.400,2,4,.500,0,0,,0,0,0,0,0,0,0,2,6,-10
Tyus Jones,9:14,2,4,.500,1,1,1.000,0,0,,0,0,0,1,0,0,0,0,5,-10
