,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cam Thomas,36:48,12,23,.522,5,7,.714,3,3,1.000,2,2,4,3,1,1,3,1,32,-17
Spencer Dinwiddie,36:22,7,15,.467,1,6,.167,2,3,.667,1,7,8,11,0,2,1,0,17,-16
Mikal Bridges,35:15,4,16,.250,3,8,.375,2,5,.400,0,1,1,5,0,0,2,3,13,-19
Cameron Johnson,26:48,2,9,.222,1,5,.200,2,2,1.000,1,4,5,1,1,0,1,1,7,-6
Nic Claxton,26:21,4,5,.800,0,0,,3,4,.750,2,5,7,0,0,4,3,3,11,-18
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Royce O'Neale,23:14,2,6,.333,2,6,.333,0,0,,0,1,1,1,1,0,1,2,6,-11
Dorian Finney-Smith,21:13,2,7,.286,2,5,.400,0,0,,2,0,2,3,1,0,0,4,6,-7
Day'Ron Sharpe,16:24,3,5,.600,0,0,,0,1,.000,3,2,5,0,0,1,1,1,6,+6
Jalen Wilson,7:37,1,1,1.000,1,1,1.000,2,2,1.000,0,0,0,0,0,0,1,2,5,+4
Trendon Watford,7:07,2,3,.667,1,1,1.000,0,0,,0,3,3,1,0,1,0,0,5,-1
Harry Giles,2:51,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Dennis Smith Jr.,Not With Team
Team Totals,240,39,90,.433,16,39,.410,14,20,.700,11,25,36,25,4,9,13,17,108,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cam Thomas,12:00,3,7,.429,0,0,,1,1,1.000,0,0,0,1,1,0,0,1,7,0
Spencer Dinwiddie,10:55,2,4,.500,0,1,.000,0,0,,0,3,3,2,0,0,0,0,4,-1
Mikal Bridges,8:45,2,5,.400,2,3,.667,0,0,,0,1,1,1,0,0,1,0,6,-6
Cameron Johnson,7:06,1,2,.500,1,1,1.000,0,0,,0,2,2,0,0,0,0,0,3,-4
Nic Claxton,7:30,0,0,,0,0,,1,2,.500,1,1,2,0,0,2,2,1,1,-4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Royce O'Neale,3:15,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,+6
Dorian Finney-Smith,4:54,0,2,.000,0,1,.000,0,0,,0,0,0,0,1,0,0,1,0,+4
Day'Ron Sharpe,4:30,1,1,1.000,0,0,,0,0,,1,1,2,0,0,0,0,0,2,+4
Jalen Wilson,1:05,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,2,+1
Trendon Watford, 
Harry Giles, 
Dennis Smith Jr.,Not With Team
Team Totals,60,10,22,.455,4,7,.571,4,5,.800,2,8,10,4,2,2,3,3,28,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cam Thomas,6:23,2,5,.400,1,1,1.000,0,0,,0,1,1,1,0,0,1,0,5,+2
Spencer Dinwiddie,7:44,2,4,.500,0,1,.000,2,3,.667,0,1,1,3,0,0,0,0,6,+6
Mikal Bridges,8:19,1,3,.333,0,0,,2,4,.500,0,0,0,1,0,0,1,1,4,+2
Cameron Johnson,9:02,0,2,.000,0,0,,2,2,1.000,1,1,2,0,0,0,0,1,2,+2
Nic Claxton,6:23,2,2,1.000,0,0,,2,2,1.000,1,1,2,0,0,0,0,1,6,+2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Royce O'Neale,5:37,1,2,.500,1,2,.500,0,0,,0,0,0,0,0,0,0,1,3,+3
Dorian Finney-Smith,2:58,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,+3
Day'Ron Sharpe,5:37,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,+3
Jalen Wilson,3:41,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,1,3,+3
Trendon Watford,4:16,0,0,,0,0,,0,0,,0,2,2,1,0,0,0,0,0,-1
Harry Giles, 
Dennis Smith Jr.,Not With Team
Team Totals,60,10,20,.500,3,5,.600,8,11,.727,2,7,9,7,0,0,2,6,31,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cam Thomas,18:23,5,12,.417,1,1,1.000,1,1,1.000,0,1,1,2,1,0,1,1,12,+2
Spencer Dinwiddie,18:39,4,8,.500,0,2,.000,2,3,.667,0,4,4,5,0,0,0,0,10,+5
Mikal Bridges,17:04,3,8,.375,2,3,.667,2,4,.500,0,1,1,2,0,0,2,1,10,-4
Cameron Johnson,16:08,1,4,.250,1,1,1.000,2,2,1.000,1,3,4,0,0,0,0,1,5,-2
Nic Claxton,13:53,2,2,1.000,0,0,,3,4,.750,2,2,4,0,0,2,2,2,7,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Royce O'Neale,8:52,2,3,.667,2,3,.667,0,0,,0,0,0,0,0,0,0,1,6,+9
Dorian Finney-Smith,7:52,0,2,.000,0,1,.000,0,0,,0,0,0,1,1,0,0,2,0,+7
