,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Sam Hauser,34:52,4,6,.667,2,4,.500,0,0,,0,5,5,1,0,0,0,3,10,+24
Jrue Holiday,33:53,7,13,.538,4,6,.667,3,3,1.000,2,6,8,10,2,1,3,1,21,+17
Derrick White,29:19,10,13,.769,6,9,.667,2,3,.667,1,1,2,7,1,3,1,1,28,+16
Jaylen Brown,29:13,11,21,.524,0,3,.000,6,7,.857,1,4,5,6,0,0,0,2,28,+22
Kristaps Porziņģis,29:13,7,11,.636,3,4,.750,7,8,.875,2,7,9,2,0,6,3,3,24,+22
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Payton Pritchard,29:29,6,12,.500,6,11,.545,2,3,.667,0,4,4,4,1,0,1,1,20,+10
Neemias Queta,18:47,3,8,.375,0,0,,0,0,,4,4,8,0,1,0,1,5,6,+3
Oshae Brissett,16:41,1,1,1.000,1,1,1.000,0,0,,2,3,5,2,0,0,0,0,3,+4
Svi Mykhailiuk,16:13,1,6,.167,0,4,.000,0,0,,2,2,4,3,1,0,0,1,2,+7
Lamar Stevens,2:20,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,0
Dalano Banton,Did Not Play
Team Totals,240,51,92,.554,22,42,.524,20,24,.833,14,36,50,35,6,10,9,17,144,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Sam Hauser,6:34,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-5
Jrue Holiday,9:08,1,4,.250,0,1,.000,1,1,1.000,1,2,3,2,0,0,2,0,3,-9
Derrick White,12:00,5,6,.833,4,5,.800,2,3,.667,0,1,1,1,0,1,1,0,16,-3
Jaylen Brown,9:26,3,6,.500,0,1,.000,0,0,,0,1,1,3,0,0,0,1,6,+1
Kristaps Porziņģis,9:26,1,3,.333,1,1,1.000,1,1,1.000,1,2,3,1,0,2,2,0,4,+1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Payton Pritchard,5:26,3,4,.750,3,4,.750,0,0,,0,1,1,0,0,0,1,1,9,+2
Neemias Queta,2:34,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-4
Oshae Brissett,5:26,0,0,,0,0,,0,0,,2,1,3,2,0,0,0,0,0,+2
Svi Mykhailiuk, 
Lamar Stevens, 
Dalano Banton,Did Not Play
Team Totals,60,13,23,.565,8,12,.667,4,5,.800,4,10,14,9,0,3,6,2,38,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Sam Hauser,12:00,1,2,.500,1,2,.500,0,0,,0,3,3,0,0,0,0,0,3,+11
Jrue Holiday,10:11,3,4,.750,2,2,1.000,0,0,,1,2,3,4,1,1,1,1,8,+12
Derrick White,5:19,2,2,1.000,1,1,1.000,0,0,,0,0,0,0,0,2,0,0,5,+4
Jaylen Brown,7:47,3,6,.500,0,1,.000,1,2,.500,1,1,2,2,0,0,0,0,7,+6
Kristaps Porziņģis,7:47,2,3,.667,1,2,.500,1,2,.500,0,1,1,0,0,1,0,0,6,+6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Payton Pritchard,6:41,1,3,.333,1,3,.333,0,0,,0,1,1,1,0,0,0,0,3,+7
Neemias Queta,4:13,2,4,.500,0,0,,0,0,,2,0,2,0,0,0,0,1,4,+5
Oshae Brissett,1:49,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
Svi Mykhailiuk,4:13,0,2,.000,0,1,.000,0,0,,2,2,4,1,1,0,0,0,0,+5
Lamar Stevens, 
Dalano Banton,Did Not Play
Team Totals,60,14,26,.538,6,12,.500,2,4,.500,6,10,16,8,2,4,1,2,36,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Sam Hauser,18:34,1,2,.500,1,2,.500,0,0,,0,4,4,0,0,0,0,0,3,+6
Jrue Holiday,19:19,4,8,.500,2,3,.667,1,1,1.000,2,4,6,6,1,1,3,1,11,+3
Derrick White,17:19,7,8,.875,5,6,.833,2,3,.667,0,1,1,1,0,3,1,0,21,+1
Jaylen Brown,17:13,6,12,.500,0,2,.000,1,2,.500,1,2,3,5,0,0,0,1,13,+7
Kristaps Porziņģis,17:13,3,6,.500,2,3,.667,2,3,.667,1,3,4,1,0,3,2,0,10,+7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Payton Pritchard,12:07,4,7,.571,4,7,.571,0,0,,0,2,2,1,0,0,1,1,12,+9
Neemias Queta,6:47,2,4,.500,0,0,,0,0,,2,1,3,0,0,0,0,1,4,+1
Oshae Brissett,7:15,0,0,,0,0,,0,0,,2,1,3,2,0,0,0,0,0,+1
Svi Mykhailiuk,4:13,0,2,.000,0,1,.000,0,0,,2,2,4,1,1,0,0,0,0,+5
Lamar Stevens, 
Dalano Banton,Did Not Play
Team Totals,120,27,49,.551,14,24,.583,6,9,.667,10,20,30,17,2,7,7,4,74,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Sam Hauser,6:38,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,+16
Jrue Holiday,6:38,1,1,1.000,1,1,1.000,0,0,,0,1,1,1,0,0,0,0,3,+16
Derrick White,12:00,3,5,.600,1,3,.333,0,0,,1,0,1,6,1,0,0,1,7,+15
Jaylen Brown,12:00,5,9,.556,0,1,.000,5,5,1.000,0,2,2,1,0,0,0,1,15,+15
Kristaps Porziņģis,12:00,4,5,.800,1,1,1.000,5,5,1.000,1,4,5,1,0,3,1,3,14,+15
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Payton Pritchard,5:22,0,2,.000,0,1,.000,0,0,,0,1,1,0,1,0,0,0,0,-1
Neemias Queta, 
Oshae Brissett,5:22,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
Svi Mykhailiuk, 
Lamar Stevens, 
Dalano Banton,Did Not Play
Team Totals,60,13,22,.591,3,7,.429,10,10,1.000,2,8,10,9,2,3,1,6,39,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Sam Hauser,9:40,3,4,.750,1,2,.500,0,0,,0,1,1,1,0,0,0,2,7,+2
