,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Davis,38:42,11,20,.550,1,1,1.000,8,9,.889,1,7,8,4,0,3,1,2,31,+3
D'Angelo Russell,38:21,7,19,.368,2,6,.333,1,1,1.000,0,4,4,8,2,3,4,1,17,-4
Taurean Prince,36:39,5,6,.833,4,5,.800,0,0,,0,5,5,1,0,0,3,4,14,+6
Cam Reddish,36:38,3,8,.375,0,2,.000,2,2,1.000,1,0,1,2,1,0,1,1,8,-6
Rui Hachimura,33:30,7,12,.583,2,5,.400,2,6,.333,1,3,4,0,1,0,2,3,18,-6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Austin Reaves,27:11,7,14,.500,1,4,.250,5,5,1.000,2,6,8,5,2,0,4,2,20,-9
Jarred Vanderbilt,14:13,0,3,.000,0,1,.000,0,0,,1,4,5,0,0,0,0,3,0,+1
Jaxson Hayes,11:16,1,1,1.000,0,0,,1,1,1.000,1,2,3,1,0,0,1,2,3,-8
Christian Wood,3:30,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-12
Max Christie,Did Not Play
Jalen Hood-Schifino,Did Not Play
Maxwell Lewis,Did Not Play
Team Totals,240,41,83,.494,10,24,.417,19,24,.792,7,31,38,21,6,6,17,18,111,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Davis,9:32,4,6,.667,0,0,,2,2,1.000,1,3,4,2,0,1,1,2,10,0
D'Angelo Russell,9:38,2,6,.333,0,0,,0,0,,0,0,0,1,0,2,0,0,4,+3
Taurean Prince,8:57,2,2,1.000,1,1,1.000,0,0,,0,3,3,0,0,0,1,0,5,-2
Cam Reddish,8:06,0,1,.000,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,2,-4
Rui Hachimura,7:52,2,3,.667,1,2,.500,0,0,,1,0,1,0,0,0,0,0,5,+5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Austin Reaves,5:31,1,1,1.000,1,1,1.000,0,0,,0,0,0,2,1,0,2,0,3,-6
Jarred Vanderbilt,4:26,0,3,.000,0,1,.000,0,0,,1,0,1,0,0,0,0,0,0,0
Jaxson Hayes,2:28,1,1,1.000,0,0,,1,1,1.000,0,1,1,0,0,0,0,1,3,-4
Christian Wood,3:30,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-12
Max Christie,Did Not Play
Jalen Hood-Schifino,Did Not Play
Maxwell Lewis,Did Not Play
Team Totals,60,12,23,.522,3,5,.600,5,5,1.000,3,7,10,5,1,3,5,3,32,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Davis,8:27,2,5,.400,0,0,,4,4,1.000,0,1,1,1,0,0,0,0,8,+2
D'Angelo Russell,10:07,0,2,.000,0,0,,0,0,,0,0,0,2,0,1,1,0,0,-1
Taurean Prince,8:53,1,1,1.000,1,1,1.000,0,0,,0,1,1,1,0,0,1,0,3,+6
Cam Reddish,5:56,1,2,.500,0,0,,0,0,,0,0,0,0,1,0,0,0,2,-3
Rui Hachimura,12:00,2,4,.500,0,0,,1,4,.250,0,2,2,0,0,0,1,1,5,0
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
