,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
James Harden,33:51,7,18,.389,4,9,.444,5,6,.833,2,7,9,6,3,1,3,1,23,-17
Amir Coffey,32:54,4,7,.571,1,4,.250,0,0,,2,2,4,1,0,0,1,2,9,-8
Paul George,28:49,7,14,.500,5,8,.625,3,3,1.000,0,4,4,4,1,1,1,4,22,-13
Terance Mann,23:31,2,8,.250,1,4,.250,0,0,,0,1,1,1,3,1,1,3,5,-31
Ivica Zubac,16:56,3,4,.750,0,0,,0,0,,2,1,3,3,0,0,0,2,6,-3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Russell Westbrook,29:42,7,12,.583,0,2,.000,1,1,1.000,4,9,13,4,0,0,5,3,15,-5
Norman Powell,23:11,6,11,.545,4,8,.500,0,0,,1,3,4,1,0,1,1,0,16,-2
Brandon Boston Jr.,16:26,3,10,.300,1,5,.200,0,0,,1,0,1,1,1,0,0,1,7,-4
Daniel Theis,14:58,2,2,1.000,0,0,,0,0,,0,1,1,0,0,1,2,1,4,-14
Bones Hyland,9:51,2,4,.500,1,1,1.000,1,2,.500,0,0,0,2,1,0,1,0,6,+1
Kobe Brown,9:51,1,3,.333,0,2,.000,0,0,,0,0,0,0,0,0,0,1,2,+1
P.J. Tucker,Did Not Play
Team Totals,240,44,93,.473,17,43,.395,10,12,.833,12,28,40,23,9,5,15,18,115,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
James Harden,10:43,1,7,.143,1,2,.500,0,0,,2,2,4,3,2,0,1,0,3,0
Amir Coffey,12:00,2,3,.667,0,1,.000,0,0,,2,0,2,1,0,0,0,1,4,-6
Paul George,8:49,1,4,.250,1,3,.333,3,3,1.000,0,1,1,1,0,1,0,2,6,-13
Terance Mann,6:37,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,1,0,1,0,-10
Ivica Zubac,5:09,2,3,.667,0,0,,0,0,,1,0,1,0,0,0,0,0,4,-9
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Russell Westbrook,6:51,4,5,.800,0,0,,0,0,,1,4,5,0,0,0,1,0,8,+3
Norman Powell,5:23,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,1,0,2,+4
Brandon Boston Jr.,4:28,1,4,.250,0,1,.000,0,0,,1,0,1,0,1,0,0,0,2,+1
Daniel Theis, 
Bones Hyland, 
Kobe Brown, 
P.J. Tucker,Did Not Play
Team Totals,60,12,30,.400,2,9,.222,3,3,1.000,7,7,14,5,3,2,3,4,29,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
James Harden,12:00,3,6,.500,1,3,.333,1,2,.500,0,2,2,2,1,1,1,0,8,+1
Amir Coffey,4:05,1,2,.500,0,1,.000,0,0,,0,1,1,0,0,0,0,0,2,+7
Paul George,9:23,3,4,.750,1,1,1.000,0,0,,0,2,2,1,1,0,0,0,7,+8
Terance Mann,5:29,0,1,.000,0,1,.000,0,0,,0,0,0,1,1,0,1,2,0,-8
Ivica Zubac,8:11,1,1,1.000,0,0,,0,0,,0,1,1,1,0,0,0,1,2,+4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Russell Westbrook,9:37,0,2,.000,0,0,,0,0,,1,3,4,2,0,0,1,0,0,-3
Norman Powell,9:08,4,7,.571,3,5,.600,0,0,,1,1,2,0,0,1,0,0,11,+2
Brandon Boston Jr.,2:07,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-6
Daniel Theis, 
Bones Hyland, 
Kobe Brown, 
P.J. Tucker,Did Not Play
Team Totals,60,12,24,.500,5,12,.417,1,2,.500,2,10,12,7,3,2,3,3,30,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
James Harden,22:43,4,13,.308,2,5,.400,1,2,.500,2,4,6,5,3,1,2,0,11,+1
Amir Coffey,16:05,3,5,.600,0,2,.000,0,0,,2,1,3,1,0,0,0,1,6,+1
