,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jamal Murray,34:15,11,19,.579,4,6,.667,6,8,.750,1,4,5,9,0,2,1,0,32,+18
Nikola Jokić,34:09,12,17,.706,2,2,1.000,5,5,1.000,2,9,11,7,3,2,0,4,31,+29
Michael Porter Jr.,34:06,6,10,.600,3,5,.600,0,0,,0,4,4,3,0,1,1,1,15,+13
Aaron Gordon,32:08,5,6,.833,0,0,,8,9,.889,2,3,5,2,1,0,1,1,18,+19
Kentavious Caldwell-Pope,30:14,1,6,.167,1,2,.500,0,0,,1,4,5,4,2,0,1,3,3,+15
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Peyton Watson,19:34,4,5,.800,1,2,.500,0,1,.000,0,3,3,0,0,0,0,2,9,-14
Christian Braun,16:03,0,3,.000,0,1,.000,2,2,1.000,0,0,0,1,0,0,0,1,2,-12
Reggie Jackson,15:34,4,13,.308,0,5,.000,0,0,,0,2,2,3,0,0,1,4,8,-15
Julian Strawther,10:56,0,5,.000,0,3,.000,0,0,,1,2,3,0,0,0,1,1,0,-10
Zeke Nnaji,6:58,1,2,.500,0,0,,0,0,,1,2,3,0,0,0,0,2,2,-9
DeAndre Jordan,6:03,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,-9
Justin Holiday,Did Not Play
Braxton Key,Did Not Play
Jalen Pickett,Did Not Play
Hunter Tyson,Did Not Play
Team Totals,240,45,87,.517,11,26,.423,21,25,.840,8,33,41,29,6,5,6,19,122,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jamal Murray,8:02,1,3,.333,0,0,,0,0,,0,2,2,3,0,1,0,0,2,+3
Nikola Jokić,9:50,4,6,.667,0,0,,0,0,,2,2,4,1,1,1,0,1,8,+3
Michael Porter Jr.,9:13,3,3,1.000,2,2,1.000,0,0,,0,0,0,2,0,0,1,0,8,+3
Aaron Gordon,8:02,3,3,1.000,0,0,,0,0,,0,0,0,0,0,0,1,1,6,+3
Kentavious Caldwell-Pope,8:31,0,1,.000,0,0,,0,0,,0,2,2,1,1,0,1,0,0,+3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Peyton Watson,3:58,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-3
Christian Braun,3:29,0,3,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-3
