,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jordan Poole,26:53,7,21,.333,3,12,.250,8,9,.889,1,2,3,3,2,0,1,3,25,-9
Tyus Jones,24:58,6,8,.750,2,2,1.000,0,0,,1,2,3,6,1,0,0,0,14,-12
Kyle Kuzma,24:43,3,11,.273,1,5,.200,0,1,.000,0,9,9,3,0,0,3,2,7,-5
Daniel Gafford,23:29,5,7,.714,0,0,,5,6,.833,1,3,4,1,1,0,1,1,15,-3
Deni Avdija,20:14,2,5,.400,0,0,,3,3,1.000,2,2,4,4,1,0,0,1,7,0
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bilal Coulibaly,32:03,3,8,.375,1,2,.500,0,0,,0,3,3,2,1,1,2,1,7,-12
Corey Kispert,24:58,7,15,.467,2,7,.286,2,2,1.000,0,1,1,0,0,1,1,3,18,-20
Mike Muscala,13:49,1,5,.200,0,1,.000,0,0,,2,4,6,0,0,0,1,2,2,-18
Landry Shamet,12:35,0,2,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,2,0,-16
Anthony Gill,10:42,4,5,.800,0,1,.000,0,0,,2,1,3,0,0,1,0,0,8,+10
Ryan Rollins,10:42,3,4,.750,1,1,1.000,0,1,.000,0,1,1,1,0,1,0,1,7,+10
Jared Butler,7:27,3,5,.600,1,3,.333,1,2,.500,0,1,1,4,1,0,0,0,8,+10
Patrick Baldwin Jr.,7:27,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,+10
Eugene Omoruyi,Did Not Play
Team Totals,240,44,97,.454,11,35,.314,19,24,.792,9,30,39,25,7,4,9,16,118,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jordan Poole,9:31,1,5,.200,0,2,.000,2,2,1.000,0,0,0,0,0,0,0,0,4,0
Tyus Jones,8:17,2,2,1.000,0,0,,0,0,,1,1,2,2,0,0,0,0,4,+3
Kyle Kuzma,8:41,3,6,.500,1,3,.333,0,1,.000,0,6,6,1,0,0,1,1,7,+3
Daniel Gafford,8:17,2,3,.667,0,0,,2,2,1.000,0,1,1,1,0,0,1,0,6,+3
Deni Avdija,6:53,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,+3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bilal Coulibaly,6:12,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-9
Corey Kispert,5:07,1,2,.500,0,1,.000,2,2,1.000,0,0,0,0,0,0,0,0,4,-6
Mike Muscala,3:43,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-6
Landry Shamet,3:19,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-6
Anthony Gill, 
Ryan Rollins, 
Jared Butler, 
Patrick Baldwin Jr., 
Eugene Omoruyi,Did Not Play
Team Totals,60,9,23,.391,1,7,.143,6,7,.857,1,10,11,5,0,0,2,3,25,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jordan Poole,7:21,3,6,.500,1,4,.250,3,4,.750,1,0,1,1,1,0,0,2,10,0
Tyus Jones,4:41,1,2,.500,1,1,1.000,0,0,,0,1,1,1,0,0,0,0,3,+1
Kyle Kuzma,7:10,0,2,.000,0,1,.000,0,0,,0,3,3,1,0,0,1,0,0,+3
Daniel Gafford,7:10,1,1,1.000,0,0,,3,4,.750,0,1,1,0,1,0,0,0,5,+3
Deni Avdija,7:10,2,4,.500,0,0,,3,3,1.000,2,0,2,1,1,0,0,0,7,+3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bilal Coulibaly,7:19,1,2,.500,0,0,,0,0,,0,1,1,0,1,1,0,0,2,0
Corey Kispert,9:29,4,8,.500,1,4,.250,0,0,,0,0,0,0,0,1,0,1,9,-1
Mike Muscala,4:50,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,1,0,-2
