,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Trae Young,39:40,10,22,.455,7,13,.538,3,3,1.000,0,3,3,13,2,0,6,1,30,-11
Saddiq Bey,39:39,6,14,.429,2,8,.250,2,2,1.000,2,8,10,2,2,0,2,2,16,-12
Dejounte Murray,34:27,10,20,.500,3,9,.333,1,3,.333,1,7,8,6,3,0,2,0,24,-3
Clint Capela,27:41,3,3,1.000,0,0,,2,2,1.000,3,7,10,0,0,0,2,5,8,+6
Garrison Mathews,18:27,0,3,.000,0,3,.000,0,0,,0,1,1,1,0,0,0,4,0,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bogdan Bogdanović,35:22,8,24,.333,6,18,.333,1,2,.500,1,1,2,5,1,0,0,3,23,-8
Onyeka Okongwu,25:33,4,7,.571,0,1,.000,1,2,.500,4,3,7,1,1,2,0,3,9,-10
Patty Mills,12:13,1,2,.500,1,1,1.000,0,0,,1,0,1,1,0,0,1,4,3,-2
Wesley Matthews,6:58,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,1,0,-3
Bruno Fernando,Did Not Play
Trent Forrest,Did Not Play
Team Totals,240,42,96,.438,19,54,.352,10,14,.714,12,31,43,29,9,2,13,23,113,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Trae Young,9:23,3,4,.750,1,2,.500,1,1,1.000,0,1,1,2,0,0,2,0,8,-10
Saddiq Bey,9:23,2,6,.333,1,4,.250,0,0,,0,2,2,0,1,0,1,0,5,-10
Dejounte Murray,8:09,4,4,1.000,1,1,1.000,0,1,.000,0,2,2,1,0,0,0,0,9,-6
Clint Capela,8:09,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,1,0,-6
Garrison Mathews,5:32,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,1,0,-9
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bogdan Bogdanović,6:28,1,2,.500,1,2,.500,0,0,,0,0,0,1,0,0,0,0,3,+2
Onyeka Okongwu,6:28,0,1,.000,0,1,.000,1,2,.500,0,2,2,0,0,0,0,0,1,+2
Patty Mills,2:37,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,+3
Wesley Matthews,3:51,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-1
Bruno Fernando,Did Not Play
Trent Forrest,Did Not Play
Team Totals,60,10,20,.500,4,13,.308,2,4,.500,0,8,8,5,1,0,4,4,26,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Trae Young,9:45,0,3,.000,0,1,.000,0,0,,0,1,1,7,0,0,1,0,0,+2
Saddiq Bey,9:45,1,2,.500,0,1,.000,2,2,1.000,1,2,3,1,0,0,0,1,4,+2
Dejounte Murray,7:29,1,5,.200,0,2,.000,0,0,,0,2,2,1,1,0,1,0,2,+6
Clint Capela,7:29,1,1,1.000,0,0,,2,2,1.000,1,1,2,0,0,0,0,1,4,+6
Garrison Mathews,3:45,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bogdan Bogdanović,12:00,6,9,.667,5,7,.714,0,0,,0,1,1,1,0,0,0,0,17,+5
Onyeka Okongwu,6:46,2,3,.667,0,0,,0,0,,1,1,2,0,0,1,0,0,4,+2
Patty Mills,3:01,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,+1
Wesley Matthews, 
Bruno Fernando,Did Not Play
Trent Forrest,Did Not Play
Team Totals,60,12,24,.500,6,12,.500,4,4,1.000,3,8,11,10,1,1,2,2,34,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Trae Young,19:08,3,7,.429,1,3,.333,1,1,1.000,0,2,2,9,0,0,3,0,8,-8
Saddiq Bey,19:08,3,8,.375,1,5,.200,2,2,1.000,1,4,5,1,1,0,1,1,9,-8
Dejounte Murray,15:38,5,9,.556,1,3,.333,0,1,.000,0,4,4,2,1,0,1,0,11,0
Clint Capela,15:38,1,1,1.000,0,0,,2,2,1.000,1,2,3,0,0,0,1,2,4,0
