,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Pascal Siakam,36:19,10,16,.625,0,4,.000,11,12,.917,1,4,5,5,0,1,2,1,31,-4
OG Anunoby,34:48,4,9,.444,0,4,.000,4,4,1.000,0,4,4,6,1,0,2,4,12,-11
Scottie Barnes,34:47,3,11,.273,2,7,.286,4,4,1.000,1,6,7,7,1,4,3,0,12,-1
Dennis Schröder,34:05,2,8,.250,0,2,.000,2,2,1.000,1,2,3,6,2,0,0,0,6,-16
Jakob Poeltl,28:48,9,15,.600,0,0,,1,2,.500,2,6,8,2,1,0,1,3,19,-14
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Gary Trent Jr.,25:33,6,11,.545,5,8,.625,0,0,,1,3,4,1,1,0,0,3,17,-10
Precious Achiuwa,16:25,2,9,.222,0,2,.000,0,2,.000,3,3,6,1,2,0,1,2,4,-1
Otto Porter Jr.,14:54,1,3,.333,1,3,.333,2,2,1.000,0,3,3,0,0,0,0,3,5,-10
Malachi Flynn,9:45,1,4,.250,0,2,.000,0,0,,2,2,4,2,0,1,3,0,2,+9
Jalen McDaniels,2:18,1,1,1.000,1,1,1.000,0,0,,0,2,2,0,0,0,0,0,3,+3
Gradey Dick,2:17,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,+5
Chris Boucher,Did Not Play
Garrett Temple,Did Not Play
Thaddeus Young,Did Not Play
Team Totals,240,39,87,.448,9,33,.273,24,28,.857,11,35,46,30,9,6,12,16,111,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Pascal Siakam,12:00,4,7,.571,0,2,.000,6,6,1.000,0,1,1,3,0,0,1,0,14,+9
OG Anunoby,8:58,1,1,1.000,0,0,,0,0,,0,2,2,1,0,0,1,0,2,+8
Scottie Barnes,9:37,3,5,.600,2,3,.667,0,0,,1,1,2,3,0,0,0,0,8,+14
