,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Max Strus,40:32,9,22,.409,5,17,.294,3,3,1.000,0,1,1,7,2,1,3,2,26,+15
Craig Porter Jr.,39:23,8,14,.571,1,3,.333,2,5,.400,1,6,7,8,1,1,3,1,19,+14
Dean Wade,36:20,4,12,.333,3,10,.300,0,0,,1,6,7,1,2,0,1,1,11,+12
Jarrett Allen,34:57,6,9,.667,0,1,.000,7,10,.700,8,9,17,7,1,1,0,0,19,+6
Isaac Okoro,34:30,3,9,.333,0,5,.000,6,7,.857,0,3,3,3,0,0,1,2,12,+6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Georges Niang,20:55,3,12,.250,1,5,.200,0,0,,1,4,5,0,0,0,2,4,7,-4
Tristan Thompson,13:03,3,4,.750,0,0,,0,0,,4,2,6,1,0,0,1,1,6,+8
Damian Jones,11:34,2,4,.500,1,2,.500,1,1,1.000,0,2,2,1,1,0,1,5,6,+16
Emoni Bates,8:46,1,2,.500,1,2,.500,0,0,,0,0,0,0,0,1,0,0,3,-3
Caris LeVert,Did Not Dress
Sam Merrill,Did Not Dress
Isaiah Mobley,Did Not Play
Team Totals,240,39,88,.443,12,45,.267,19,26,.731,15,33,48,28,7,4,12,16,109,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Max Strus,9:56,2,6,.333,1,5,.200,1,1,1.000,0,1,1,2,0,0,1,0,6,+4
Craig Porter Jr.,9:30,2,3,.667,1,1,1.000,0,0,,1,2,3,3,0,1,0,0,5,+2
Dean Wade,9:43,1,5,.200,1,5,.200,0,0,,0,0,0,0,1,0,0,0,3,+4
Jarrett Allen,12:00,3,4,.750,0,0,,4,4,1.000,4,2,6,4,0,1,0,0,10,+2
Isaac Okoro,8:56,1,5,.200,0,3,.000,0,0,,0,0,0,1,0,0,0,1,2,+2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Georges Niang,5:21,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,2,1,3,-2
Tristan Thompson, 
Damian Jones, 
Emoni Bates,4:34,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,-2
Caris LeVert,Did Not Dress
Sam Merrill,Did Not Dress
Isaiah Mobley,Did Not Play
Team Totals,60,11,25,.440,5,16,.312,5,5,1.000,5,6,11,10,1,2,3,2,32,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Max Strus,8:51,2,5,.400,1,4,.250,0,0,,0,0,0,3,1,0,0,0,5,0
Craig Porter Jr.,7:48,0,0,,0,0,,0,2,.000,0,0,0,2,0,0,2,1,0,0
Dean Wade,7:01,1,2,.500,1,2,.500,0,0,,0,3,3,0,0,0,0,0,3,+2
Jarrett Allen,4:44,1,2,.500,0,0,,1,2,.500,2,1,3,0,0,0,0,0,3,-8
Isaac Okoro,8:30,1,1,1.000,0,0,,5,6,.833,0,2,2,0,0,0,1,1,7,-5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Georges Niang,6:43,0,4,.000,0,2,.000,0,0,,0,2,2,0,0,0,0,2,0,-7
Tristan Thompson,7:16,2,2,1.000,0,0,,0,0,,1,1,2,0,0,0,0,1,4,+7
Damian Jones,4:55,1,3,.333,1,2,.500,0,0,,0,0,0,0,0,0,0,1,3,+7
Emoni Bates,4:12,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,1,0,0,0,-1
Caris LeVert,Did Not Dress
Sam Merrill,Did Not Dress
Isaiah Mobley,Did Not Play
Team Totals,60,8,20,.400,3,11,.273,6,10,.600,3,9,12,5,1,1,3,6,25,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Max Strus,18:47,4,11,.364,2,9,.222,1,1,1.000,0,1,1,5,1,0,1,0,11,+4
Craig Porter Jr.,17:18,2,3,.667,1,1,1.000,0,2,.000,1,2,3,5,0,1,2,1,5,+2
Dean Wade,16:44,2,7,.286,2,7,.286,0,0,,0,3,3,0,1,0,0,0,6,+6
Jarrett Allen,16:44,4,6,.667,0,0,,5,6,.833,6,3,9,4,0,1,0,0,13,-6
Isaac Okoro,17:26,2,6,.333,0,3,.000,5,6,.833,0,2,2,1,0,0,1,2,9,-3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Georges Niang,12:04,1,5,.200,1,3,.333,0,0,,0,3,3,0,0,0,2,3,3,-9
Tristan Thompson,7:16,2,2,1.000,0,0,,0,0,,1,1,2,0,0,0,0,1,4,+7
Damian Jones,4:55,1,3,.333,1,2,.500,0,0,,0,0,0,0,0,0,0,1,3,+7
Emoni Bates,8:46,1,2,.500,1,2,.500,0,0,,0,0,0,0,0,1,0,0,3,-3
Caris LeVert,Did Not Dress
Sam Merrill,Did Not Dress
Isaiah Mobley,Did Not Play
Team Totals,120,19,45,.422,8,27,.296,11,15,.733,8,15,23,15,2,3,6,8,57,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Max Strus,12:00,2,4,.500,1,2,.500,0,0,,0,0,0,2,1,0,1,1,5,+9
Craig Porter Jr.,10:05,3,5,.600,0,2,.000,2,2,1.000,0,1,1,1,1,0,1,0,8,+8
Dean Wade,7:36,1,3,.333,0,1,.000,0,0,,0,2,2,0,0,0,0,0,2,+2
Jarrett Allen,9:48,1,2,.500,0,1,.000,1,2,.500,1,4,5,2,1,0,0,0,3,+5
Isaac Okoro,8:39,1,3,.333,0,2,.000,1,1,1.000,0,1,1,1,0,0,0,0,3,+2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Georges Niang,5:16,2,4,.500,0,1,.000,0,0,,1,0,1,0,0,0,0,1,4,+8
Tristan Thompson,2:12,0,0,,0,0,,0,0,,1,1,2,1,0,0,0,0,0,+4
Damian Jones,4:24,0,0,,0,0,,0,0,,0,1,1,1,1,0,0,2,0,+7
Emoni Bates, 
Caris LeVert,Did Not Dress
Sam Merrill,Did Not Dress
Isaiah Mobley,Did Not Play
Team Totals,60,10,21,.476,1,9,.111,4,5,.800,3,10,13,8,4,0,2,4,25,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Max Strus,9:45,3,7,.429,2,6,.333,2,2,1.000,0,0,0,0,0,1,1,1,10,+2
Craig Porter Jr.,12:00,3,6,.500,0,0,,0,1,.000,0,3,3,2,0,0,0,0,6,+4
Dean Wade,12:00,1,2,.500,1,2,.500,0,0,,1,1,2,1,1,0,1,1,3,+4
Jarrett Allen,8:25,1,1,1.000,0,0,,1,2,.500,1,2,3,1,0,0,0,0,3,+7
Isaac Okoro,8:25,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,+7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Georges Niang,3:35,0,3,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-3
Tristan Thompson,3:35,1,2,.500,0,0,,0,0,,2,0,2,0,0,0,1,0,2,-3
Damian Jones,2:15,1,1,1.000,0,0,,1,1,1.000,0,1,1,0,0,0,1,2,3,+2
Emoni Bates, 
Caris LeVert,Did Not Dress
Sam Merrill,Did Not Dress
Isaiah Mobley,Did Not Play
Team Totals,60,10,22,.455,3,9,.333,4,6,.667,4,8,12,5,1,1,4,4,27,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Max Strus,21:45,5,11,.455,3,8,.375,2,2,1.000,0,0,0,2,1,1,2,2,15,+11
Craig Porter Jr.,22:05,6,11,.545,0,2,.000,2,3,.667,0,4,4,3,1,0,1,0,14,+12
Dean Wade,19:36,2,5,.400,1,3,.333,0,0,,1,3,4,1,1,0,1,1,5,+6
Jarrett Allen,18:13,2,3,.667,0,1,.000,2,4,.500,2,6,8,3,1,0,0,0,6,+12
Isaac Okoro,17:04,1,3,.333,0,2,.000,1,1,1.000,0,1,1,2,0,0,0,0,3,+9
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Georges Niang,8:51,2,7,.286,0,2,.000,0,0,,1,1,2,0,0,0,0,1,4,+5
Tristan Thompson,5:47,1,2,.500,0,0,,0,0,,3,1,4,1,0,0,1,0,2,+1
Damian Jones,6:39,1,1,1.000,0,0,,1,1,1.000,0,2,2,1,1,0,1,4,3,+9
Emoni Bates, 
Caris LeVert,Did Not Dress
Sam Merrill,Did Not Dress
Isaiah Mobley,Did Not Play
Team Totals,120,20,43,.465,4,18,.222,8,11,.727,7,18,25,13,5,1,6,8,52,
,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Max Strus,40:32,.557,.523,.773,.136,0.0,3.1,1.4,29.2,2.5,2.6,11.4,28.0,113,101,5.7
Craig Porter Jr.,39:23,.586,.607,.214,.357,2.6,19.2,10.0,33.3,1.3,2.7,15.6,21.0,115,102,3.9
Dean Wade,36:20,.458,.458,.833,.000,2.8,20.9,10.9,3.9,2.8,0.0,7.7,15.4,96,100,-2.1
Jarrett Allen,34:57,.709,.667,.111,1.111,23.4,32.5,27.5,31.3,1.5,3.1,0.0,16.5,172,99,17.2
Isaac Okoro,34:30,.497,.333,.556,.778,0.0,11.0,4.9,12.0,0.0,0.0,7.6,16.3,113,108,-5.8
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Georges Niang,20:55,.292,.292,.417,.000,4.9,24.2,13.5,0.0,0.0,0.0,14.3,28.8,59,106,-22.1
Tristan Thompson,13:03,.750,.750,.000,.000,31.3,19.4,26.0,13.2,0.0,0.0,20.0,16.5,139,107,2.9
Damian Jones,11:34,.676,.625,.500,.250,0.0,21.8,9.8,13.5,4.4,0.0,18.4,20.3,114,96,-1.3
Emoni Bates,8:46,.750,.750,1.000,.000,0.0,0.0,0.0,0.0,0.0,12.2,0.0,9.8,147,100,6.4
Caris LeVert,Did Not Dress
Sam Merrill,Did Not Dress
Isaiah Mobley,Did Not Play
Team Totals,240,.548,.511,.511,.295,31.9,86.8,56.5,71.8,7.5,8.9,10.8,100.0,116.6,101.6,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
DeMar DeRozan,40:08,6,14,.429,1,3,.333,8,9,.889,0,5,5,8,3,0,2,4,21,-8
Coby White,39:38,8,19,.421,0,8,.000,1,1,1.000,0,4,4,7,0,1,4,2,17,-5
Patrick Williams,35:10,5,11,.455,2,5,.400,1,1,1.000,0,2,2,2,0,1,2,3,13,0
Nikola Vučević,33:32,7,11,.636,2,5,.400,4,4,1.000,1,11,12,4,1,1,1,1,20,-12
Alex Caruso,32:09,4,9,.444,2,5,.400,0,0,,1,3,4,1,0,1,0,3,10,-10
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Ayo Dosunmu,19:35,2,6,.333,0,3,.000,0,0,,1,2,3,1,0,0,1,3,4,-8
Dalen Terry,17:03,2,3,.667,0,1,.000,2,2,1.000,0,1,1,0,1,0,0,1,6,-12
Andre Drummond,13:24,0,0,,0,0,,1,2,.500,2,4,6,0,1,0,1,4,1,-10
Jevon Carter,9:21,1,7,.143,1,5,.200,0,0,,0,0,0,0,0,1,1,1,3,-5
Torrey Craig,Did Not Dress
Julian Phillips,Did Not Play
Terry Taylor,Did Not Play
Team Totals,240,35,80,.438,8,35,.229,17,19,.895,5,32,37,23,6,5,12,22,95,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
DeMar DeRozan,9:43,1,2,.500,0,1,.000,0,0,,0,2,2,3,1,0,0,1,2,-4
Coby White,8:56,2,4,.500,0,1,.000,1,1,1.000,0,1,1,4,0,1,1,1,5,-2
Patrick Williams,7:26,2,2,1.000,1,1,1.000,0,0,,0,0,0,1,0,0,0,0,5,-3
Nikola Vučević,8:56,3,4,.750,1,2,.500,0,0,,0,2,2,1,1,0,0,0,7,-2
Alex Caruso,6:34,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Ayo Dosunmu,5:26,1,2,.500,0,0,,0,0,,0,2,2,0,0,0,0,2,2,+4
Dalen Terry,4:34,2,2,1.000,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,6,+1
Andre Drummond,3:04,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,1,0,0
Jevon Carter,5:21,1,4,.250,1,3,.333,0,0,,0,0,0,0,0,1,1,0,3,+2
Torrey Craig,Did Not Dress
Julian Phillips,Did Not Play
Terry Taylor,Did Not Play
Team Totals,60,12,21,.571,3,9,.333,3,3,1.000,0,7,7,9,3,2,2,5,30,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
DeMar DeRozan,9:36,2,4,.500,0,0,,3,3,1.000,0,1,1,2,1,0,1,1,7,+7
