,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Davis,41:52,11,21,.524,1,1,1.000,3,6,.500,3,8,11,7,1,2,3,2,26,+3
LeBron James,37:18,13,20,.650,5,5,1.000,9,9,1.000,2,5,7,7,2,2,3,0,40,+10
Cam Reddish,27:51,2,7,.286,0,4,.000,0,0,,1,3,4,7,1,0,0,2,4,+13
Taurean Prince,27:40,3,7,.429,2,5,.400,2,2,1.000,1,5,6,1,1,2,0,5,10,+9
Jarred Vanderbilt,23:44,1,4,.250,0,1,.000,0,0,,1,5,6,0,1,1,1,0,2,+5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Rui Hachimura,29:35,8,14,.571,3,5,.600,2,2,1.000,0,6,6,2,1,0,0,0,21,+1
Austin Reaves,28:24,4,8,.500,2,5,.400,1,1,1.000,0,3,3,9,0,0,1,3,11,-2
D'Angelo Russell,17:28,5,9,.556,3,6,.500,2,3,.667,0,1,1,3,0,0,1,1,15,0
Jaxson Hayes,6:08,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,+6
Max Christie,Did Not Play
Jalen Hood-Schifino,Did Not Play
Maxwell Lewis,Did Not Play
Christian Wood,Did Not Play
Team Totals,240,47,90,.522,16,32,.500,19,23,.826,8,36,44,37,7,7,9,13,129,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Davis,12:00,3,5,.600,0,0,,1,2,.500,2,1,3,3,0,1,0,1,7,-3
LeBron James,8:47,2,4,.500,0,0,,4,4,1.000,1,0,1,1,0,0,1,0,8,-2
Cam Reddish,10:22,0,2,.000,0,1,.000,0,0,,0,1,1,2,0,0,0,0,0,0
Taurean Prince,8:26,1,3,.333,1,3,.333,2,2,1.000,0,0,0,0,0,1,0,1,5,-4
Jarred Vanderbilt,5:13,0,0,,0,0,,0,0,,0,2,2,0,1,0,1,0,0,-3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Rui Hachimura,6:50,5,6,.833,2,3,.667,0,0,,0,3,3,1,0,0,0,0,12,-2
Austin Reaves,5:09,2,2,1.000,0,0,,0,0,,0,1,1,0,0,0,1,2,4,0
D'Angelo Russell,3:13,0,1,.000,0,1,.000,0,0,,0,0,0,2,0,0,0,0,0,-1
Jaxson Hayes, 
Max Christie,Did Not Play
Jalen Hood-Schifino,Did Not Play
Maxwell Lewis,Did Not Play
Christian Wood,Did Not Play
Team Totals,60,13,23,.565,3,8,.375,7,8,.875,3,8,11,9,1,2,3,4,36,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Davis,5:52,2,3,.667,0,0,,1,2,.500,0,3,3,0,0,0,1,0,5,+9
LeBron James,9:15,3,4,.750,1,1,1.000,0,0,,0,1,1,4,1,1,0,0,7,+13
Cam Reddish,5:52,1,3,.333,0,2,.000,0,0,,0,0,0,3,0,0,0,1,2,+9
Taurean Prince,8:17,2,2,1.000,1,1,1.000,0,0,,1,4,5,1,1,0,0,0,5,+12
Jarred Vanderbilt,6:08,0,0,,0,0,,0,0,,0,1,1,0,0,1,0,0,0,+6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Rui Hachimura,6:28,2,4,.500,0,1,.000,0,0,,0,1,1,0,1,0,0,0,4,+5
Austin Reaves,5:20,0,1,.000,0,0,,0,0,,0,0,0,3,0,0,0,0,0,+9
D'Angelo Russell,6:40,4,5,.800,2,3,.667,2,3,.667,0,1,1,1,0,0,1,1,12,+6
Jaxson Hayes,6:08,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,+6
Max Christie,Did Not Play
Jalen Hood-Schifino,Did Not Play
Maxwell Lewis,Did Not Play
Christian Wood,Did Not Play
Team Totals,60,14,22,.636,4,8,.500,3,5,.600,1,11,12,13,3,2,2,2,35,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Davis,17:52,5,8,.625,0,0,,2,4,.500,2,4,6,3,0,1,1,1,12,+6
LeBron James,18:02,5,8,.625,1,1,1.000,4,4,1.000,1,1,2,5,1,1,1,0,15,+11
Cam Reddish,16:14,1,5,.200,0,3,.000,0,0,,0,1,1,5,0,0,0,1,2,+9
