,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Trae Young,39:31,6,17,.353,3,12,.250,6,7,.857,0,2,2,13,1,0,6,3,21,-3
Dejounte Murray,34:22,6,15,.400,2,9,.222,3,4,.750,0,6,6,4,2,1,3,4,17,0
Saddiq Bey,33:39,5,10,.500,2,6,.333,1,1,1.000,4,4,8,0,1,0,0,1,13,-7
Jalen Johnson,29:12,5,8,.625,0,1,.000,0,0,,3,6,9,4,1,0,2,1,10,-9
Clint Capela,26:49,5,9,.556,0,0,,3,4,.750,3,2,5,1,0,1,1,3,13,-7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bogdan Bogdanović,31:24,8,21,.381,3,12,.250,3,3,1.000,1,2,3,1,0,0,0,2,22,+3
Onyeka Okongwu,21:11,4,6,.667,1,2,.500,2,2,1.000,1,5,6,0,1,0,1,3,11,+2
Garrison Mathews,13:02,2,2,1.000,2,2,1.000,0,0,,0,1,1,0,0,0,0,3,6,-3
Wesley Matthews,6:04,0,0,,0,0,,0,0,,0,0,0,1,0,1,1,1,0,-1
Trent Forrest,3:29,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+4
Seth Lundy,1:17,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0,-4
Bruno Fernando,Did Not Play
Patty Mills,Did Not Play
Team Totals,240,41,89,.461,13,45,.289,18,21,.857,12,28,40,24,6,3,15,21,113,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Trae Young,9:17,1,4,.250,0,3,.000,0,0,,0,1,1,3,0,0,3,0,2,-5
Dejounte Murray,7:45,2,5,.400,1,3,.333,0,0,,0,2,2,0,0,1,1,0,5,-7
Saddiq Bey,7:45,0,3,.000,0,3,.000,0,0,,1,0,1,0,0,0,0,0,0,-7
Jalen Johnson,7:32,2,3,.667,0,0,,0,0,,1,2,3,0,0,0,0,0,4,-8
Clint Capela,7:21,0,3,.000,0,0,,0,0,,2,0,2,0,0,0,0,0,0,-7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bogdan Bogdanović,6:58,1,3,.333,1,3,.333,0,0,,0,1,1,0,0,0,0,1,3,-10
Onyeka Okongwu,4:39,0,1,.000,0,0,,0,0,,0,4,4,0,0,0,0,1,0,-4
Garrison Mathews,4:15,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,1,3,-4
Wesley Matthews,3:11,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,1,0,+1
Trent Forrest, 
Seth Lundy,1:17,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0,-4
Bruno Fernando,Did Not Play
Patty Mills,Did Not Play
Team Totals,60,7,24,.292,3,14,.214,0,0,,4,11,15,4,0,1,6,4,17,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Trae Young,8:59,1,2,.500,1,2,.500,4,4,1.000,0,0,0,5,1,0,1,0,7,+11
Dejounte Murray,9:15,2,3,.667,1,2,.500,3,4,.750,0,3,3,1,1,0,1,2,8,+13
Saddiq Bey,9:15,2,2,1.000,1,1,1.000,0,0,,1,4,5,0,0,0,0,0,5,+13
Jalen Johnson,2:45,1,2,.500,0,0,,0,0,,0,1,1,1,0,0,0,0,2,+4
Clint Capela,5:13,2,2,1.000,0,0,,1,2,.500,0,0,0,0,0,0,0,1,5,+5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bogdan Bogdanović,12:00,3,7,.429,0,3,.000,1,1,1.000,1,0,1,1,0,0,0,0,7,+17
Onyeka Okongwu,6:47,2,2,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,1,5,+12
Garrison Mathews,2:45,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,+4
Wesley Matthews, 
Trent Forrest,3:01,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+6
Seth Lundy, 
Bruno Fernando,Did Not Play
Patty Mills,Did Not Play
Team Totals,60,13,20,.650,4,9,.444,9,11,.818,2,8,10,8,2,0,2,5,39,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Trae Young,18:16,2,6,.333,1,5,.200,4,4,1.000,0,1,1,8,1,0,4,0,9,+6
Dejounte Murray,17:00,4,8,.500,2,5,.400,3,4,.750,0,5,5,1,1,1,2,2,13,+6
Saddiq Bey,17:00,2,5,.400,1,4,.250,0,0,,2,4,6,0,0,0,0,0,5,+6
Jalen Johnson,10:17,3,5,.600,0,0,,0,0,,1,3,4,1,0,0,0,0,6,-4
Clint Capela,12:34,2,5,.400,0,0,,1,2,.500,2,0,2,0,0,0,0,1,5,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bogdan Bogdanović,18:58,4,10,.400,1,6,.167,1,1,1.000,1,1,2,1,0,0,0,1,10,+7
Onyeka Okongwu,11:26,2,3,.667,1,1,1.000,0,0,,0,4,4,0,0,0,0,2,5,+8
Garrison Mathews,7:00,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,2,3,0
Wesley Matthews,3:11,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,1,0,+1
Trent Forrest,3:01,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+6
Seth Lundy,1:17,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0,-4
Bruno Fernando,Did Not Play
Patty Mills,Did Not Play
Team Totals,120,20,44,.455,7,23,.304,9,11,.818,6,19,25,12,2,1,8,9,56,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Trae Young,9:43,2,5,.400,2,4,.500,0,0,,0,1,1,3,0,0,1,0,6,-4
Dejounte Murray,8:11,0,3,.000,0,2,.000,0,0,,0,1,1,3,1,0,0,1,0,-1
Saddiq Bey,8:47,2,3,.667,1,1,1.000,1,1,1.000,1,0,1,0,1,0,0,0,6,-3
Jalen Johnson,9:07,2,3,.667,0,1,.000,0,0,,2,1,3,1,0,0,1,0,4,-2
Clint Capela,6:48,2,3,.667,0,0,,0,0,,1,1,2,1,0,1,1,2,4,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bogdan Bogdanović,6:06,1,5,.200,0,3,.000,0,0,,0,0,0,0,0,0,0,0,2,-3
Onyeka Okongwu,5:12,1,1,1.000,0,0,,2,2,1.000,0,1,1,0,0,0,1,1,4,-2
Garrison Mathews,3:13,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,1,3,-1
Wesley Matthews,2:53,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,-2
Trent Forrest, 
Seth Lundy, 
Bruno Fernando,Did Not Play
Patty Mills,Did Not Play
Team Totals,60,11,24,.458,4,12,.333,3,3,1.000,4,5,9,8,2,2,4,5,29,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Trae Young,11:32,2,6,.333,0,4,.000,2,3,.667,0,0,0,2,0,0,1,3,6,-5
Dejounte Murray,9:11,2,4,.500,0,2,.000,0,0,,0,0,0,0,0,0,1,1,4,-5
Saddiq Bey,7:52,1,2,.500,0,1,.000,0,0,,1,0,1,0,0,0,0,1,2,-10
Jalen Johnson,9:48,0,0,,0,0,,0,0,,0,2,2,2,1,0,1,1,0,-3
Clint Capela,7:27,1,1,1.000,0,0,,2,2,1.000,0,1,1,0,0,0,0,0,4,-3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bogdan Bogdanović,6:20,3,6,.500,2,3,.667,2,2,1.000,0,1,1,0,0,0,0,1,10,-1
Onyeka Okongwu,4:33,1,2,.500,0,1,.000,0,0,,1,0,1,0,1,0,0,0,2,-4
Garrison Mathews,2:49,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Wesley Matthews, 
Trent Forrest,0:28,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Seth Lundy, 
Bruno Fernando,Did Not Play
Patty Mills,Did Not Play
Team Totals,60,10,21,.476,2,11,.182,6,7,.857,2,4,6,4,2,0,3,7,28,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Trae Young,21:15,4,11,.364,2,8,.250,2,3,.667,0,1,1,5,0,0,2,3,12,-9
