,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Mikal Bridges,39:42,6,14,.429,0,1,.000,9,15,.600,0,4,4,3,0,0,3,2,21,0
Spencer Dinwiddie,34:01,2,11,.182,0,3,.000,5,8,.625,1,4,5,6,1,0,0,4,9,+1
Nic Claxton,26:22,5,5,1.000,0,0,,1,3,.333,2,9,11,2,0,3,0,2,11,-9
Cameron Johnson,26:13,9,13,.692,4,6,.667,2,4,.500,0,2,2,1,1,0,0,0,24,-6
Cam Thomas,22:46,7,13,.538,0,1,.000,3,4,.750,0,1,1,1,0,0,2,4,17,-4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dorian Finney-Smith,32:57,3,8,.375,3,7,.429,2,2,1.000,1,3,4,1,1,0,0,4,11,+16
Day'Ron Sharpe,21:33,3,4,.750,0,0,,5,7,.714,3,8,11,3,2,4,1,1,11,+15
Dennis Smith Jr.,21:09,3,8,.375,0,1,.000,0,0,,0,2,2,3,1,0,3,3,6,+3
Royce O'Neale,15:17,3,6,.500,2,3,.667,0,0,,0,2,2,2,0,0,0,2,8,+14
Harry Giles,Did Not Play
Trendon Watford,Did Not Play
Jalen Wilson,Did Not Play
Team Totals,240,41,82,.500,9,22,.409,27,43,.628,7,35,42,22,6,7,9,22,118,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Mikal Bridges,8:06,0,3,.000,0,0,,0,0,,0,2,2,1,0,0,1,1,0,-8
Spencer Dinwiddie,8:06,0,3,.000,0,1,.000,2,2,1.000,0,1,1,1,0,0,0,2,2,-8
Nic Claxton,5:38,0,0,,0,0,,1,2,.500,0,1,1,0,0,0,0,0,1,-13
Cameron Johnson,5:38,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,1,0,0,0,3,-13
Cam Thomas,9:32,5,7,.714,0,0,,1,2,.500,0,0,0,0,0,0,2,0,11,-11
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dorian Finney-Smith,6:22,1,1,1.000,1,1,1.000,0,0,,0,2,2,1,0,0,0,2,3,+7
Day'Ron Sharpe,6:22,1,2,.500,0,0,,1,2,.500,1,3,4,2,0,1,0,0,3,+7
Dennis Smith Jr.,6:22,1,2,.500,0,0,,0,0,,0,1,1,2,1,0,2,1,2,+7
Royce O'Neale,3:54,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+2
Harry Giles,Did Not Play
Trendon Watford,Did Not Play
Jalen Wilson,Did Not Play
Team Totals,60,9,20,.450,2,3,.667,5,8,.625,1,10,11,7,2,1,5,6,25,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Mikal Bridges,12:00,2,4,.500,0,1,.000,3,4,.750,0,0,0,0,0,0,0,0,7,+13
Spencer Dinwiddie,6:39,0,0,,0,0,,2,4,.500,1,0,1,3,1,0,0,1,2,+9
Nic Claxton,9:54,4,4,1.000,0,0,,0,1,.000,2,5,7,1,0,2,0,0,8,+13
Cameron Johnson,5:06,3,5,.600,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,7,+5
Cam Thomas,4:24,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,+8
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dorian Finney-Smith,7:36,0,3,.000,0,2,.000,0,0,,0,0,0,0,1,0,0,1,0,+5
Day'Ron Sharpe,2:06,0,0,,0,0,,0,0,,0,1,1,0,1,0,0,0,0,0
Dennis Smith Jr.,5:21,2,3,.667,0,1,.000,0,0,,0,0,0,1,0,0,0,1,4,+4
Royce O'Neale,6:54,3,4,.750,2,2,1.000,0,0,,0,1,1,2,0,0,0,0,8,+8
Harry Giles,Did Not Play
Trendon Watford,Did Not Play
Jalen Wilson,Did Not Play
Team Totals,60,14,24,.583,3,7,.429,5,9,.556,3,8,11,7,3,2,0,4,36,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Mikal Bridges,20:06,2,7,.286,0,1,.000,3,4,.750,0,2,2,1,0,0,1,1,7,+5
Spencer Dinwiddie,14:45,0,3,.000,0,1,.000,4,6,.667,1,1,2,4,1,0,0,3,4,+1
Nic Claxton,15:32,4,4,1.000,0,0,,1,3,.333,2,6,8,1,0,2,0,0,9,0
Cameron Johnson,10:44,4,6,.667,2,2,1.000,0,0,,0,1,1,0,1,0,0,0,10,-8
