,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Isaac Okoro,38:38,7,13,.538,4,7,.571,4,5,.800,2,1,3,1,0,1,2,2,22,+4
Jarrett Allen,35:28,9,17,.529,0,0,,6,6,1.000,9,14,23,6,2,0,4,1,24,+14
Max Strus,33:34,3,10,.300,2,8,.250,0,0,,1,4,5,6,1,1,2,3,8,+4
Dean Wade,32:01,1,5,.200,1,5,.200,0,0,,1,7,8,0,0,0,0,2,3,+15
Craig Porter Jr.,29:35,4,11,.364,0,1,.000,1,2,.500,4,8,12,7,3,1,2,4,9,+9
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Caris LeVert,27:59,9,19,.474,6,11,.545,5,8,.625,0,2,2,7,0,0,2,3,29,-16
Georges Niang,23:52,6,11,.545,4,8,.500,0,2,.000,0,2,2,3,1,1,2,0,16,-15
Tristan Thompson,13:01,1,3,.333,0,0,,0,0,,1,0,1,0,0,0,2,4,2,-11
Emoni Bates,5:52,0,3,.000,0,3,.000,0,0,,0,1,1,3,0,0,0,2,0,+11
Damian Jones,Did Not Play
Sam Merrill,Did Not Dress
Isaiah Mobley,Did Not Play
Team Totals,240,40,92,.435,17,43,.395,16,23,.696,18,39,57,33,7,4,16,21,113,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Isaac Okoro,12:00,2,4,.500,1,2,.500,0,0,,0,0,0,0,0,0,1,1,5,-12
Jarrett Allen,8:36,2,4,.500,0,0,,2,2,1.000,3,2,5,2,0,0,0,0,6,-8
Max Strus,9:52,1,2,.500,1,2,.500,0,0,,0,1,1,0,0,0,1,1,3,-6
Dean Wade,3:23,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,2,0,+1
Craig Porter Jr.,9:12,3,5,.600,0,0,,1,2,.500,1,0,1,2,0,1,1,1,7,-10
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Caris LeVert,8:37,1,4,.250,1,3,.333,0,0,,0,2,2,4,0,0,0,1,3,-13
Georges Niang,4:56,1,2,.500,1,2,.500,0,0,,0,0,0,0,0,0,1,0,3,-8
Tristan Thompson,3:24,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-4
Emoni Bates, 
Damian Jones,Did Not Play
Sam Merrill,Did Not Dress
Isaiah Mobley,Did Not Play
Team Totals,60,10,22,.455,4,10,.400,3,4,.750,4,6,10,8,0,1,4,6,27,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Isaac Okoro,6:10,3,4,.750,2,2,1.000,0,0,,0,0,0,0,0,1,1,0,8,-2
Jarrett Allen,7:52,3,4,.750,0,0,,0,0,,1,1,2,1,1,0,1,0,6,+4
Max Strus,2:43,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,2,0,-8
Dean Wade,12:00,1,3,.333,1,3,.333,0,0,,0,3,3,0,0,0,0,0,3,-3
Craig Porter Jr.,6:50,0,1,.000,0,0,,0,0,,2,2,4,3,1,0,0,1,0,+8
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Caris LeVert,5:40,1,3,.333,1,3,.333,2,4,.500,0,0,0,1,0,0,1,0,5,-14
Georges Niang,8:16,2,4,.500,1,2,.500,0,0,,0,1,1,1,1,0,1,0,5,-4
Tristan Thompson,4:37,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,2,0,-7
Emoni Bates,5:52,0,3,.000,0,3,.000,0,0,,0,1,1,3,0,0,0,2,0,+11
Damian Jones,Did Not Play
Sam Merrill,Did Not Dress
Isaiah Mobley,Did Not Play
Team Totals,60,10,22,.455,5,13,.385,2,4,.500,3,9,12,9,3,1,6,7,27,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Isaac Okoro,18:10,5,8,.625,3,4,.750,0,0,,0,0,0,0,0,1,2,1,13,-14
Jarrett Allen,16:28,5,8,.625,0,0,,2,2,1.000,4,3,7,3,1,0,1,0,12,-4
Max Strus,12:35,1,2,.500,1,2,.500,0,0,,0,2,2,0,0,0,2,3,3,-14
