,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bojan Bogdanović,43:50,8,21,.381,1,7,.143,0,0,,2,10,12,6,0,0,2,3,17,-6
Cade Cunningham,42:33,12,22,.545,4,6,.667,3,4,.750,1,5,6,9,3,2,6,3,31,+4
Jalen Duren,39:39,5,6,.833,0,0,,5,6,.833,8,6,14,2,0,0,0,1,15,-6
Jaden Ivey,32:47,8,15,.533,3,5,.600,3,5,.600,5,5,10,4,0,1,3,6,22,+8
Kevin Knox,18:05,3,9,.333,0,6,.000,0,0,,0,2,2,0,1,0,0,3,6,+9
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Alec Burks,30:01,4,13,.308,4,12,.333,0,0,,1,1,2,1,2,0,0,2,12,-15
Isaiah Livers,22:33,3,7,.429,2,6,.333,1,4,.250,0,1,1,2,0,1,3,2,9,-13
James Wiseman,13:21,3,3,1.000,0,0,,0,0,,2,3,5,1,0,0,1,0,6,0
Ausar Thompson,11:51,1,2,.500,0,1,.000,0,0,,0,3,3,2,0,0,0,1,2,-1
Killian Hayes,10:20,1,3,.333,0,0,,0,0,,0,2,2,0,1,0,3,0,2,-10
Marvin Bagley III,Did Not Play
Joe Harris,Did Not Play
Marcus Sasser,Did Not Play
Team Totals,265,48,101,.475,14,43,.326,12,19,.632,19,38,57,27,7,4,18,21,122,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bojan Bogdanović,8:21,1,3,.333,0,0,,0,0,,0,5,5,2,0,0,0,0,2,+4
Cade Cunningham,9:29,5,8,.625,0,1,.000,0,0,,0,0,0,1,1,0,1,1,10,+11
Jalen Duren,7:38,1,1,1.000,0,0,,1,2,.500,2,0,2,1,0,0,0,0,3,+5
Jaden Ivey,7:38,2,4,.500,1,1,1.000,0,0,,1,2,3,0,0,1,1,1,5,+5
Kevin Knox,7:38,0,2,.000,0,2,.000,0,0,,0,1,1,0,0,0,0,1,0,+5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Alec Burks,4:22,0,0,,0,0,,0,0,,0,1,1,1,1,0,0,0,0,-2
