,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jaden Hardy,30:35,7,18,.389,3,8,.375,0,0,,0,2,2,1,1,1,0,2,17,0
Derrick Jones Jr.,30:27,3,9,.333,1,3,.333,8,8,1.000,3,6,9,0,3,1,1,5,15,+3
Grant Williams,30:18,3,9,.333,2,5,.400,0,0,,0,3,3,3,1,0,2,4,8,-30
Dante Exum,24:07,5,11,.455,1,1,1.000,0,0,,0,2,2,6,0,0,4,4,11,-9
Dereck Lively II,15:01,1,4,.250,0,0,,0,0,,3,1,4,2,0,0,2,5,2,-16
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tim Hardaway Jr.,32:03,11,19,.579,5,11,.455,5,7,.714,0,3,3,3,2,0,1,2,32,+5
Dwight Powell,30:06,6,8,.750,0,0,,0,0,,7,7,14,6,2,1,1,3,12,+15
Seth Curry,29:54,3,8,.375,2,4,.500,3,4,.750,0,2,2,3,0,0,3,2,11,+6
Josh Green,14:36,1,3,.333,0,1,.000,0,0,,0,0,0,5,0,0,1,0,2,-7
Markieff Morris,2:53,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-7
Richaun Holmes,Did Not Play
A.J. Lawson,Did Not Play
Olivier-Maxence Prosper,Did Not Play
Brandon Williams,Did Not Play
Team Totals,240,40,90,.444,14,33,.424,16,19,.842,13,26,39,29,9,3,16,27,110,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jaden Hardy,7:28,1,4,.250,1,2,.500,0,0,,0,0,0,0,0,0,0,0,3,-9
Derrick Jones Jr.,9:27,1,3,.333,1,2,.500,4,4,1.000,0,1,1,0,1,1,0,0,7,-16
Grant Williams,8:38,1,3,.333,1,2,.500,0,0,,0,0,0,1,0,0,0,1,3,-15
Dante Exum,6:17,2,4,.500,1,1,1.000,0,0,,0,0,0,2,0,0,1,1,5,-11
Dereck Lively II,4:55,0,3,.000,0,0,,0,0,,3,0,3,0,0,0,0,1,0,-14
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tim Hardaway Jr.,7:05,2,4,.500,0,2,.000,2,2,1.000,0,1,1,2,1,0,0,0,6,+3
Dwight Powell,7:05,0,0,,0,0,,0,0,,0,0,0,1,1,0,0,0,0,+3
Seth Curry,5:39,0,0,,0,0,,0,0,,0,1,1,1,0,0,1,1,0,0
Josh Green,3:26,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,+4
Markieff Morris, 
Richaun Holmes,Did Not Play
A.J. Lawson,Did Not Play
Olivier-Maxence Prosper,Did Not Play
Brandon Williams,Did Not Play
Team Totals,60,8,22,.364,4,9,.444,6,6,1.000,3,3,6,7,3,1,2,4,26,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jaden Hardy,8:40,2,3,.667,0,1,.000,0,0,,0,1,1,0,1,0,0,0,4,+5
Derrick Jones Jr.,6:40,1,3,.333,0,0,,0,0,,2,0,2,0,1,0,1,0,2,+7
Grant Williams,7:22,1,2,.500,0,0,,0,0,,0,1,1,1,0,0,1,0,2,-4
Dante Exum,5:31,1,2,.500,0,0,,0,0,,0,0,0,1,0,0,2,2,2,-1
Dereck Lively II,4:53,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,2,2,-3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tim Hardaway Jr.,7:20,3,4,.750,1,2,.500,1,1,1.000,0,1,1,1,0,0,1,1,8,+9
Dwight Powell,7:07,2,3,.667,0,0,,0,0,,2,3,5,3,1,1,1,2,4,+9
Seth Curry,7:07,1,2,.500,1,1,1.000,3,4,.750,0,1,1,1,0,0,1,1,6,+9
Josh Green,5:20,0,2,.000,0,1,.000,0,0,,0,0,0,2,0,0,0,0,0,-1
Markieff Morris, 
Richaun Holmes,Did Not Play
A.J. Lawson,Did Not Play
Olivier-Maxence Prosper,Did Not Play
Brandon Williams,Did Not Play
Team Totals,60,12,22,.545,2,5,.400,4,5,.800,4,7,11,9,3,1,8,8,30,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jaden Hardy,16:08,3,7,.429,1,3,.333,0,0,,0,1,1,0,1,0,0,0,7,-4
Derrick Jones Jr.,16:07,2,6,.333,1,2,.500,4,4,1.000,2,1,3,0,2,1,1,0,9,-9
Grant Williams,16:00,2,5,.400,1,2,.500,0,0,,0,1,1,2,0,0,1,1,5,-19
Dante Exum,11:48,3,6,.500,1,1,1.000,0,0,,0,0,0,3,0,0,3,3,7,-12
Dereck Lively II,9:48,1,4,.250,0,0,,0,0,,3,0,3,0,0,0,1,3,2,-17
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tim Hardaway Jr.,14:25,5,8,.625,1,4,.250,3,3,1.000,0,2,2,3,1,0,1,1,14,+12
Dwight Powell,14:12,2,3,.667,0,0,,0,0,,2,3,5,4,2,1,1,2,4,+12
Seth Curry,12:46,1,2,.500,1,1,1.000,3,4,.750,0,2,2,2,0,0,2,2,6,+9
Josh Green,8:46,1,3,.333,0,1,.000,0,0,,0,0,0,2,0,0,0,0,2,+3
Markieff Morris, 
Richaun Holmes,Did Not Play
A.J. Lawson,Did Not Play
Olivier-Maxence Prosper,Did Not Play
Brandon Williams,Did Not Play
Team Totals,120,20,44,.455,6,14,.429,10,11,.909,7,10,17,16,6,2,10,12,56,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jaden Hardy,7:24,3,8,.375,1,3,.333,0,0,,0,1,1,1,0,0,0,2,7,+8
Derrick Jones Jr.,8:39,0,2,.000,0,1,.000,2,2,1.000,1,3,4,0,0,0,0,2,2,+8
Grant Williams,8:37,1,3,.333,1,3,.333,0,0,,0,1,1,1,1,0,0,3,3,-6
Dante Exum,1:31,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,0,1,2,+2
Dereck Lively II,1:06,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,+2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tim Hardaway Jr.,6:44,3,4,.750,2,3,.667,2,4,.500,0,0,0,0,0,0,0,0,10,-6
Dwight Powell,8:01,4,4,1.000,0,0,,0,0,,3,0,3,0,0,0,0,0,8,+3
Seth Curry,9:15,1,2,.500,1,1,1.000,0,0,,0,0,0,0,0,0,1,0,3,-4
Josh Green,5:50,0,0,,0,0,,0,0,,0,0,0,3,0,0,1,0,0,-10
Markieff Morris,2:53,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-7
Richaun Holmes,Did Not Play
A.J. Lawson,Did Not Play
Olivier-Maxence Prosper,Did Not Play
Brandon Williams,Did Not Play
Team Totals,60,13,25,.520,5,11,.455,4,6,.667,4,5,9,7,1,0,3,9,35,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jaden Hardy,7:03,1,3,.333,1,2,.500,0,0,,0,0,0,0,0,1,0,0,3,-4
Derrick Jones Jr.,5:41,1,1,1.000,0,0,,2,2,1.000,0,2,2,0,1,0,0,3,4,+4
Grant Williams,5:41,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-5
Dante Exum,10:48,1,4,.250,0,0,,0,0,,0,2,2,2,0,0,1,0,2,+1
Dereck Lively II,4:07,0,0,,0,0,,0,0,,0,1,1,1,0,0,1,1,0,-1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tim Hardaway Jr.,10:54,3,7,.429,2,4,.500,0,0,,0,1,1,0,1,0,0,1,8,-1
Dwight Powell,7:53,0,1,.000,0,0,,0,0,,2,4,6,2,0,0,0,1,0,0
Seth Curry,7:53,1,4,.250,0,2,.000,0,0,,0,0,0,1,0,0,0,0,2,+1
Josh Green, 
Markieff Morris, 
Richaun Holmes,Did Not Play
A.J. Lawson,Did Not Play
Olivier-Maxence Prosper,Did Not Play
Brandon Williams,Did Not Play
Team Totals,60,7,21,.333,3,8,.375,2,2,1.000,2,11,13,6,2,1,3,6,19,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jaden Hardy,14:27,4,11,.364,2,5,.400,0,0,,0,1,1,1,0,1,0,2,10,+4
Derrick Jones Jr.,14:20,1,3,.333,0,1,.000,4,4,1.000,1,5,6,0,1,0,0,5,6,+12
Grant Williams,14:18,1,4,.250,1,3,.333,0,0,,0,2,2,1,1,0,1,3,3,-11
Dante Exum,12:19,2,5,.400,0,0,,0,0,,0,2,2,3,0,0,1,1,4,+3
Dereck Lively II,5:13,0,0,,0,0,,0,0,,0,1,1,2,0,0,1,2,0,+1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tim Hardaway Jr.,17:38,6,11,.545,4,7,.571,2,4,.500,0,1,1,0,1,0,0,1,18,-7
Dwight Powell,15:54,4,5,.800,0,0,,0,0,,5,4,9,2,0,0,0,1,8,+3
Seth Curry,17:08,2,6,.333,1,3,.333,0,0,,0,0,0,1,0,0,1,0,5,-3
Josh Green,5:50,0,0,,0,0,,0,0,,0,0,0,3,0,0,1,0,0,-10
Markieff Morris,2:53,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-7
Richaun Holmes,Did Not Play
A.J. Lawson,Did Not Play
Olivier-Maxence Prosper,Did Not Play
Brandon Williams,Did Not Play
Team Totals,120,20,46,.435,8,19,.421,6,8,.750,6,16,22,13,3,1,6,15,54,
,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jaden Hardy,30:35,.472,.472,.444,.000,0.0,9.8,4.1,5.4,1.6,3.8,0.0,24.7,101,118,-3.0
Derrick Jones Jr.,30:27,.599,.389,.333,.889,10.5,29.6,18.4,0.0,4.7,3.8,7.4,18.6,131,107,1.9
Grant Williams,30:18,.444,.444,.556,.000,0.0,14.9,6.2,13.5,1.6,0.0,18.2,15.2,86,119,-6.8
Dante Exum,24:07,.500,.500,.091,.000,0.0,12.4,5.2,39.7,0.0,0.0,26.7,26.1,89,123,-9.0
Dereck Lively II,15:01,.250,.250,.000,.000,21.3,10.0,16.6,17.4,0.0,0.0,33.3,16.8,76,122,-16.9
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Tim Hardaway Jr.,32:03,.725,.711,.579,.368,0.0,14.0,5.8,19.1,3.0,0.0,4.3,30.2,140,116,13.9
Dwight Powell,30:06,.750,.750,.000,.000,24.8,34.9,29.0,31.4,3.2,3.9,11.1,12.5,163,110,12.3
Seth Curry,29:54,.564,.500,.500,.500,0.0,10.0,4.2,13.7,0.0,0.0,23.5,17.9,96,123,-6.9
Josh Green,14:36,.333,.333,.333,.000,0.0,0.0,0.0,44.8,0.0,0.0,25.0,11.5,103,125,-2.7
Markieff Morris,2:53,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,29.1,0,125,-37.8
Richaun Holmes,Did Not Play
A.J. Lawson,Did Not Play
Olivier-Maxence Prosper,Did Not Play
Brandon Williams,Did Not Play
Team Totals,240,.559,.522,.367,.211,28.9,81.3,50.6,72.5,9.0,7.3,14.0,100.0,109.7,117.7,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Edwards,37:52,12,23,.522,6,11,.545,14,18,.778,0,3,3,4,3,1,6,2,44,+11
Rudy Gobert,37:37,7,7,1.000,0,0,,6,7,.857,2,9,11,2,0,3,2,2,20,+3
Jaden McDaniels,33:43,5,8,.625,2,3,.667,0,1,.000,0,0,0,0,1,4,2,3,12,+4
Mike Conley,28:23,3,7,.429,2,4,.500,2,2,1.000,1,1,2,6,0,1,1,5,10,+15
Karl-Anthony Towns,27:10,3,12,.250,2,6,.333,2,4,.500,2,6,8,3,0,0,5,5,10,+14
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kyle Anderson,27:01,3,8,.375,1,1,1.000,1,2,.500,1,9,10,3,0,0,3,0,8,-11
Nickeil Alexander-Walker,23:43,1,3,.333,1,3,.333,0,0,,0,0,0,3,4,1,0,0,3,-3
Naz Reid,18:15,3,5,.600,3,5,.600,0,0,,0,4,4,2,0,0,3,4,9,+12
Troy Brown Jr.,6:16,1,1,1.000,0,0,,0,0,,0,0,0,0,1,0,0,0,2,-5
Jordan McLaughlin,Did Not Play
Shake Milton,Did Not Play
Josh Minott,Did Not Play
Daishen Nix,Did Not Play
Team Totals,240,38,74,.514,17,33,.515,25,34,.735,6,32,38,23,9,10,22,21,118,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Edwards,10:39,5,7,.714,2,2,1.000,2,2,1.000,0,2,2,3,1,0,2,0,14,+18
Rudy Gobert,9:05,2,2,1.000,0,0,,2,2,1.000,0,4,4,0,0,0,1,0,6,+6
Jaden McDaniels,8:34,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,2,0,0,3,+15
Mike Conley,9:55,0,3,.000,0,2,.000,0,0,,1,0,1,2,0,0,0,2,0,+8
Karl-Anthony Towns,9:12,2,4,.500,2,3,.667,0,0,,0,3,3,2,0,0,1,0,6,+16
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kyle Anderson,3:26,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,0,0,2,-4
Nickeil Alexander-Walker,3:26,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-4
Naz Reid,5:43,2,2,1.000,2,2,1.000,0,0,,0,1,1,0,0,0,1,1,6,0
Troy Brown Jr., 
Jordan McLaughlin,Did Not Play
Shake Milton,Did Not Play
Josh Minott,Did Not Play
Daishen Nix,Did Not Play
Team Totals,60,13,20,.650,7,10,.700,4,4,1.000,1,10,11,8,1,2,5,3,37,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Edwards,7:20,2,2,1.000,1,1,1.000,3,5,.600,0,0,0,0,2,1,3,2,8,-9
Rudy Gobert,8:07,2,2,1.000,0,0,,1,1,1.000,1,3,4,1,0,1,0,1,5,-2
Jaden McDaniels,8:49,1,3,.333,0,0,,0,0,,0,0,0,0,0,1,1,0,2,-10
Mike Conley,3:11,1,1,1.000,1,1,1.000,0,0,,0,0,0,1,0,0,1,1,3,+4
Karl-Anthony Towns,7:14,0,3,.000,0,1,.000,1,2,.500,1,0,1,0,0,0,2,2,1,-4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kyle Anderson,9:37,0,2,.000,0,0,,0,0,,0,1,1,1,0,0,1,0,0,-5
Nickeil Alexander-Walker,7:27,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,2,0,0,0,3,0
Naz Reid,1:59,0,0,,0,0,,0,0,,0,0,0,0,0,0,2,2,0,+1
Troy Brown Jr.,6:16,1,1,1.000,0,0,,0,0,,0,0,0,0,1,0,0,0,2,-5
Jordan McLaughlin,Did Not Play
Shake Milton,Did Not Play
Josh Minott,Did Not Play
Daishen Nix,Did Not Play
Team Totals,60,8,15,.533,3,4,.750,5,8,.625,2,4,6,3,5,3,10,8,24,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Edwards,17:59,7,9,.778,3,3,1.000,5,7,.714,0,2,2,3,3,1,5,2,22,+9
