,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Devin Vassell,35:05,7,16,.438,2,9,.222,1,1,1.000,0,5,5,7,4,1,1,0,17,+18
Jeremy Sochan,30:34,6,10,.600,0,2,.000,4,5,.800,1,6,7,3,0,1,2,4,16,+17
Malaki Branham,28:31,4,10,.400,3,6,.500,2,2,1.000,2,3,5,4,1,0,2,5,13,+4
Victor Wembanyama,24:21,9,14,.643,2,4,.500,10,10,1.000,0,6,6,6,0,7,1,0,30,+18
Julian Champagnie,14:22,0,1,.000,0,1,.000,2,2,1.000,0,1,1,0,2,1,1,0,2,+8
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Keldon Johnson,31:04,4,11,.364,1,6,.167,0,0,,0,3,3,2,1,0,2,5,9,+1
Tre Jones,25:48,2,6,.333,0,2,.000,4,4,1.000,3,2,5,6,1,0,1,0,8,+1
Zach Collins,16:41,4,9,.444,0,2,.000,3,4,.750,1,6,7,2,0,0,1,6,11,+7
Doug McDermott,15:57,3,4,.750,2,3,.667,0,0,,0,1,1,1,0,0,0,0,8,-3
Cedi Osman,15:33,2,3,.667,0,0,,0,0,,0,2,2,2,0,0,0,0,4,-2
Sandro Mamukelashvili,1:02,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-2
Blake Wesley,1:02,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Team Totals,240,41,85,.482,10,36,.278,26,28,.929,7,35,42,33,9,10,11,20,118,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Devin Vassell,8:23,1,2,.500,0,1,.000,0,0,,0,2,2,3,2,0,1,0,2,+23
Jeremy Sochan,8:23,4,5,.800,0,1,.000,2,3,.667,0,2,2,1,0,0,0,0,10,+23
Malaki Branham,7:02,2,3,.667,2,2,1.000,0,0,,0,1,1,2,0,0,1,1,6,+23
Victor Wembanyama,5:51,4,4,1.000,1,1,1.000,0,0,,0,1,1,3,0,0,0,0,9,+18
Julian Champagnie,6:06,0,0,,0,0,,2,2,1.000,0,0,0,0,2,0,0,0,2,+18
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Keldon Johnson,5:54,0,1,.000,0,1,.000,0,0,,0,1,1,1,1,0,0,1,0,+6
Tre Jones,4:58,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,+1
Zach Collins,6:09,1,3,.333,0,2,.000,2,2,1.000,0,4,4,1,0,0,1,2,4,+6
Doug McDermott,3:37,1,2,.500,1,2,.500,0,0,,0,0,0,0,0,0,0,0,3,+1
Cedi Osman,3:37,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,+1
Sandro Mamukelashvili, 
Blake Wesley, 
Team Totals,60,14,21,.667,4,10,.400,6,7,.857,0,11,11,11,5,0,4,4,38,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Devin Vassell,7:43,1,6,.167,0,4,.000,0,0,,0,2,2,1,0,0,0,0,2,-5
Jeremy Sochan,4:15,0,0,,0,0,,2,2,1.000,0,2,2,0,0,0,1,3,2,-5
Malaki Branham,6:25,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-9
Victor Wembanyama,7:40,2,3,.667,0,1,.000,4,4,1.000,0,3,3,0,0,5,1,0,8,-4
Julian Champagnie,2:39,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,1,1,0,0,-4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Keldon Johnson,9:21,2,4,.500,1,3,.333,0,0,,0,0,0,0,0,0,1,0,5,-6
Tre Jones,8:18,0,1,.000,0,1,.000,4,4,1.000,1,0,1,1,0,0,0,0,4,-4
Zach Collins,1:37,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-3
