,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Shai Gilgeous-Alexander,33:23,14,20,.700,2,3,.667,10,10,1.000,0,4,4,3,2,1,1,3,40,+21
Luguentz Dort,32:28,2,6,.333,0,3,.000,0,0,,1,3,4,1,3,1,1,3,4,+24
Jalen Williams,30:52,4,10,.400,2,5,.400,1,2,.500,1,6,7,9,2,1,3,2,11,+17
Chet Holmgren,28:27,9,14,.643,4,4,1.000,2,2,1.000,3,3,6,3,0,2,2,1,24,+9
Josh Giddey,21:16,6,10,.600,0,1,.000,0,0,,2,6,8,4,1,0,3,1,12,+16
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cason Wallace,17:34,2,5,.400,0,2,.000,0,0,,0,3,3,2,0,1,0,1,4,-2
Jaylin Williams,16:49,0,2,.000,0,2,.000,0,0,,0,8,8,4,1,1,0,3,0,+14
Kenrich Williams,14:46,2,7,.286,1,4,.250,0,0,,1,1,2,0,1,0,0,2,5,-4
Vasilije Micić,13:44,1,4,.250,0,3,.000,0,0,,0,1,1,2,0,1,0,2,2,+4
Isaiah Joe,13:15,2,6,.333,1,5,.200,0,0,,0,1,1,1,0,0,0,0,5,+11
Aaron Wiggins,11:58,3,5,.600,1,1,1.000,0,0,,2,3,5,0,0,0,1,2,7,+14
Lindy Waters III,2:44,1,2,.500,1,2,.500,0,0,,0,1,1,0,0,0,0,0,3,+3
Olivier Sarr,2:44,0,0,,0,0,,2,2,1.000,0,1,1,0,0,0,0,0,2,+3
Dāvis Bertāns,Did Not Play
Tre Mann,Did Not Play
Team Totals,240,46,91,.505,12,35,.343,15,16,.938,10,41,51,29,10,8,11,20,119,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Shai Gilgeous-Alexander,12:00,3,6,.500,0,0,,6,6,1.000,0,1,1,1,0,0,0,0,12,+6
Luguentz Dort,10:33,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,1,0,+4
Jalen Williams,7:25,1,2,.500,0,0,,0,0,,1,1,2,5,0,1,0,1,2,0
Chet Holmgren,7:25,6,8,.750,2,2,1.000,0,0,,2,0,2,1,0,0,0,1,14,0
Josh Giddey,7:25,1,4,.250,0,1,.000,0,0,,0,2,2,1,0,0,1,0,2,0
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cason Wallace,1:27,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,+2
Jaylin Williams,4:35,0,1,.000,0,1,.000,0,0,,0,4,4,0,0,0,0,0,0,+6
Kenrich Williams, 
Vasilije Micić, 
Isaiah Joe,4:35,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,+6
Aaron Wiggins,4:35,1,1,1.000,1,1,1.000,0,0,,1,0,1,0,0,0,0,0,3,+6
Lindy Waters III, 
Olivier Sarr, 
Dāvis Bertāns,Did Not Play
Tre Mann,Did Not Play
Team Totals,60,12,24,.500,3,7,.429,6,6,1.000,4,9,13,9,0,1,1,4,33,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Shai Gilgeous-Alexander,5:42,3,4,.750,0,0,,0,0,,0,2,2,1,1,0,1,0,6,0
Luguentz Dort,5:42,0,0,,0,0,,0,0,,0,0,0,0,1,1,1,1,0,0
Jalen Williams,7:59,0,2,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,0,0,0
Chet Holmgren,6:08,1,1,1.000,1,1,1.000,0,0,,1,2,3,1,0,1,1,0,3,-2
Josh Giddey,3:58,3,3,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,6,+1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
