,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Ja Morant,37:12,7,19,.368,0,7,.000,5,6,.833,0,6,6,10,0,0,3,4,19,-19
Jaren Jackson Jr.,37:00,8,17,.471,4,6,.667,2,2,1.000,0,2,2,4,2,2,1,5,22,-11
Desmond Bane,36:57,7,11,.636,2,5,.400,2,2,1.000,0,7,7,5,2,0,2,3,18,-5
Marcus Smart,31:36,7,14,.500,4,11,.364,4,4,1.000,0,2,2,2,3,0,2,0,22,-6
Bismack Biyombo,7:47,1,2,.500,0,0,,0,0,,0,2,2,0,1,0,1,1,2,-4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Santi Aldama,22:28,5,7,.714,2,3,.667,0,0,,1,4,5,1,1,0,0,1,12,+1
Vince Williams Jr.,22:13,1,6,.167,1,4,.250,2,3,.667,0,1,1,5,0,1,1,3,5,-1
David Roddy,22:09,1,3,.333,0,1,.000,2,3,.667,0,2,2,1,0,0,1,1,4,+7
Xavier Tillman Sr.,16:41,1,5,.200,0,1,.000,0,0,,2,2,4,0,1,1,1,3,2,-14
Ziaire Williams,5:57,0,3,.000,0,2,.000,0,0,,0,2,2,1,0,0,0,1,0,-3
Jacob Gilyard,Did Not Play
John Konchar,Did Not Play
Team Totals,240,38,87,.437,13,40,.325,17,20,.850,3,30,33,29,10,4,12,22,106,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Ja Morant,9:42,1,3,.333,0,0,,0,0,,0,5,5,4,0,0,2,0,2,-6
Jaren Jackson Jr.,9:34,2,7,.286,2,3,.667,0,0,,0,0,0,2,1,0,1,1,6,-3
Desmond Bane,4:43,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,2,0,-2
Marcus Smart,10:05,2,4,.500,0,2,.000,2,2,1.000,0,0,0,1,0,0,0,0,6,-6
Bismack Biyombo,7:47,1,2,.500,0,0,,0,0,,0,2,2,0,1,0,1,1,2,-4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Santi Aldama,4:13,1,1,1.000,1,1,1.000,0,0,,1,0,1,0,1,0,0,0,3,-4
Vince Williams Jr.,7:17,1,3,.333,1,2,.500,1,1,1.000,0,1,1,0,0,0,0,0,4,-6
David Roddy,4:13,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-4
Xavier Tillman Sr.,2:26,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,-5
Ziaire Williams, 
Jacob Gilyard,Did Not Play
John Konchar,Did Not Play
Team Totals,60,9,22,.409,4,8,.500,3,3,1.000,1,8,9,8,3,0,4,5,25,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Ja Morant,6:59,2,4,.500,0,2,.000,1,2,.500,0,0,0,2,0,0,0,0,5,-6
Jaren Jackson Jr.,6:45,3,4,.750,1,1,1.000,0,0,,0,0,0,2,0,2,0,1,7,+6
Desmond Bane,12:00,3,4,.750,1,2,.500,0,0,,0,4,4,1,1,0,2,0,7,+3
Marcus Smart,5:01,2,3,.667,1,2,.500,0,0,,0,2,2,1,0,0,0,0,5,+9
Bismack Biyombo, 
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Santi Aldama,4:41,2,2,1.000,1,1,1.000,0,0,,0,0,0,1,0,0,0,1,5,-1
Vince Williams Jr.,6:03,0,1,.000,0,1,.000,0,0,,0,0,0,2,0,0,0,1,0,+6
David Roddy,6:03,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,+6
Xavier Tillman Sr.,6:31,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-5
Ziaire Williams,5:57,0,3,.000,0,2,.000,0,0,,0,2,2,1,0,0,0,1,0,-3
Jacob Gilyard,Did Not Play
John Konchar,Did Not Play
Team Totals,60,12,22,.545,4,12,.333,1,2,.500,0,9,9,10,1,2,2,5,29,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Ja Morant,16:41,3,7,.429,0,2,.000,1,2,.500,0,5,5,6,0,0,2,0,7,-12
Jaren Jackson Jr.,16:19,5,11,.455,3,4,.750,0,0,,0,0,0,4,1,2,1,2,13,+3
Desmond Bane,16:43,3,4,.750,1,2,.500,0,0,,0,4,4,2,1,0,2,2,7,+1
Marcus Smart,15:06,4,7,.571,1,4,.250,2,2,1.000,0,2,2,2,0,0,0,0,11,+3
Bismack Biyombo,7:47,1,2,.500,0,0,,0,0,,0,2,2,0,1,0,1,1,2,-4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Santi Aldama,8:54,3,3,1.000,2,2,1.000,0,0,,1,0,1,1,1,0,0,1,8,-5
Vince Williams Jr.,13:20,1,4,.250,1,3,.333,1,1,1.000,0,1,1,2,0,0,0,1,4,0
David Roddy,10:16,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,+2
Xavier Tillman Sr.,8:57,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,1,2,-10
Ziaire Williams,5:57,0,3,.000,0,2,.000,0,0,,0,2,2,1,0,0,0,1,0,-3
Jacob Gilyard,Did Not Play
John Konchar,Did Not Play
Team Totals,120,21,44,.477,8,20,.400,4,5,.800,1,17,18,18,4,2,6,10,54,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Ja Morant,10:30,4,8,.500,0,3,.000,2,2,1.000,0,1,1,1,0,0,1,2,10,-17
Jaren Jackson Jr.,12:00,0,2,.000,0,0,,0,0,,0,2,2,0,0,0,0,1,0,-14
Desmond Bane,10:38,2,4,.500,1,2,.500,0,0,,0,0,0,2,0,0,0,0,5,-10
Marcus Smart,7:41,1,2,.500,1,2,.500,0,0,,0,0,0,0,1,0,1,0,3,-11
Bismack Biyombo, 
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Santi Aldama,6:08,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,0
Vince Williams Jr.,4:19,0,1,.000,0,0,,1,2,.500,0,0,0,1,0,1,0,2,1,-3
David Roddy,4:19,0,0,,0,0,,0,0,,0,2,2,1,0,0,1,0,0,-3
Xavier Tillman Sr.,4:25,0,3,.000,0,1,.000,0,0,,2,0,2,0,1,0,1,1,0,-12
Ziaire Williams, 
Jacob Gilyard,Did Not Play
John Konchar,Did Not Play
Team Totals,60,8,21,.381,2,8,.250,3,4,.750,2,6,8,5,2,1,4,6,21,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Ja Morant,10:01,0,4,.000,0,2,.000,2,2,1.000,0,0,0,3,0,0,0,2,2,+10
Jaren Jackson Jr.,8:41,3,4,.750,1,2,.500,2,2,1.000,0,0,0,0,1,0,0,2,9,0
Desmond Bane,9:36,2,3,.667,0,1,.000,2,2,1.000,0,3,3,1,1,0,0,1,6,+4
Marcus Smart,8:49,2,5,.400,2,5,.400,2,2,1.000,0,0,0,0,2,0,1,0,8,+2
Bismack Biyombo, 
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Santi Aldama,7:26,1,3,.333,0,1,.000,0,0,,0,3,3,0,0,0,0,0,2,+6
Vince Williams Jr.,4:34,0,1,.000,0,1,.000,0,0,,0,0,0,2,0,0,1,0,0,+2
David Roddy,7:34,1,1,1.000,0,0,,2,3,.667,0,0,0,0,0,0,0,0,4,+8
Xavier Tillman Sr.,3:19,0,1,.000,0,0,,0,0,,0,1,1,0,0,1,0,1,0,+8
Ziaire Williams, 
Jacob Gilyard,Did Not Play
John Konchar,Did Not Play
Team Totals,60,9,22,.409,3,12,.250,10,11,.909,0,7,7,6,4,1,2,6,31,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Ja Morant,20:31,4,12,.333,0,5,.000,4,4,1.000,0,1,1,4,0,0,1,4,12,-7
Jaren Jackson Jr.,20:41,3,6,.500,1,2,.500,2,2,1.000,0,2,2,0,1,0,0,3,9,-14
Desmond Bane,20:14,4,7,.571,1,3,.333,2,2,1.000,0,3,3,3,1,0,0,1,11,-6
Marcus Smart,16:30,3,7,.429,3,7,.429,2,2,1.000,0,0,0,0,3,0,2,0,11,-9
Bismack Biyombo, 
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Santi Aldama,13:34,2,4,.500,0,1,.000,0,0,,0,4,4,0,0,0,0,0,4,+6
Vince Williams Jr.,8:53,0,2,.000,0,1,.000,1,2,.500,0,0,0,3,0,1,1,2,1,-1
David Roddy,11:53,1,1,1.000,0,0,,2,3,.667,0,2,2,1,0,0,1,0,4,+5
Xavier Tillman Sr.,7:44,0,4,.000,0,1,.000,0,0,,2,1,3,0,1,1,1,2,0,-4
Ziaire Williams, 
Jacob Gilyard,Did Not Play
John Konchar,Did Not Play
Team Totals,120,17,43,.395,5,20,.250,13,15,.867,2,13,15,11,6,2,6,12,52,
,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Ja Morant,37:12,.439,.368,.368,.316,0.0,18.9,8.9,44.5,0.0,0.0,12.2,29.5,93,119,-6.5
Jaren Jackson Jr.,37:00,.615,.588,.353,.118,0.0,6.3,3.0,18.8,2.5,5.4,5.3,22.7,112,113,5.2
Desmond Bane,36:57,.758,.727,.455,.182,0.0,22.2,10.5,22.5,2.5,0.0,14.4,16.7,127,112,2.8
Marcus Smart,31:36,.698,.643,.786,.286,0.0,7.4,3.5,11.1,4.4,0.0,11.3,25.0,114,112,7.1
Bismack Biyombo,7:47,.500,.500,.000,.000,0.0,30.1,14.2,0.0,6.0,0.0,33.3,17.2,56,102,-7.6
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Santi Aldama,22:28,.857,.857,.429,.000,4.6,20.8,12.3,7.8,2.1,0.0,0.0,13.9,157,114,7.7
Vince Williams Jr.,22:13,.342,.250,.667,.500,0.0,5.3,2.5,30.1,0.0,4.5,12.0,16.7,85,120,-4.3
David Roddy,22:09,.463,.333,.333,1.000,0.0,10.6,5.0,6.0,0.0,0.0,18.8,10.7,83,121,-9.1
Xavier Tillman Sr.,16:41,.200,.200,.200,.000,12.5,14.0,13.2,0.0,2.8,6.0,16.7,16.0,56,110,-12.3
Ziaire Williams,5:57,.000,.000,.667,.000,0.0,39.4,18.5,21.2,0.0,0.0,0.0,22.5,20,114,-21.8
Jacob Gilyard,Did Not Play
John Konchar,Did Not Play
Team Totals,240,.553,.511,.460,.230,6.5,73.2,37.9,76.3,9.8,8.3,11.1,100.0,103.4,114.2,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
James Harden,43:30,4,13,.308,2,9,.222,6,8,.750,0,4,4,13,0,3,5,1,16,+16
Paul George,35:44,8,21,.381,2,8,.250,5,6,.833,1,6,7,3,1,0,4,6,23,+2
Ivica Zubac,33:25,7,8,.875,0,0,,1,1,1.000,6,14,20,1,0,1,2,3,15,+9
