,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Pascal Siakam,39:58,14,24,.583,2,2,1.000,5,8,.625,1,4,5,4,0,0,2,5,35,-5
Gary Trent Jr.,39:28,8,16,.500,6,9,.667,2,2,1.000,0,1,1,4,4,1,0,3,24,+4
Dennis Schröder,36:59,11,18,.611,3,6,.500,5,5,1.000,0,0,0,9,0,0,1,1,30,+4
Scottie Barnes,36:16,8,20,.400,1,5,.200,5,5,1.000,2,7,9,2,2,1,1,4,22,+1
Jakob Poeltl,34:42,2,4,.500,0,0,,0,0,,2,12,14,5,1,3,0,4,4,+8
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jalen McDaniels,17:25,0,3,.000,0,1,.000,2,2,1.000,0,1,1,0,0,0,1,3,2,-7
Chris Boucher,16:43,0,1,.000,0,1,.000,4,6,.667,0,2,2,0,0,0,0,2,4,-3
Thaddeus Young,10:59,3,5,.600,0,0,,0,0,,1,0,1,1,2,0,2,3,6,-9
Otto Porter Jr.,7:30,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,2,0,-3
Gradey Dick,Did Not Play
Garrett Temple,Did Not Dress
Team Totals,240,46,91,.505,12,24,.500,23,28,.821,6,27,33,26,9,5,7,27,127,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Pascal Siakam,10:13,3,7,.429,1,1,1.000,0,0,,0,2,2,1,0,0,0,0,7,-3
Gary Trent Jr.,9:30,1,3,.333,1,3,.333,0,0,,0,0,0,1,0,1,0,1,3,+5
Dennis Schröder,9:04,3,5,.600,0,0,,0,0,,0,0,0,2,0,0,0,0,6,+5
Scottie Barnes,8:57,0,3,.000,0,1,.000,0,0,,0,1,1,1,0,0,1,1,0,-4
Jakob Poeltl,8:47,2,3,.667,0,0,,0,0,,0,4,4,2,1,1,0,0,4,+5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jalen McDaniels,4:07,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,2,+1
Chris Boucher,2:30,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-6
Thaddeus Young,3:13,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,1,2,-6
Otto Porter Jr.,3:39,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-2
Gradey Dick,Did Not Play
Garrett Temple,Did Not Dress
Team Totals,60,10,23,.435,2,5,.400,2,2,1.000,0,7,7,7,1,2,1,4,24,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Pascal Siakam,9:54,0,2,.000,0,0,,1,2,.500,0,2,2,1,0,0,1,0,1,-8
Gary Trent Jr.,10:03,0,3,.000,0,0,,2,2,1.000,0,0,0,1,0,0,0,1,2,-10
Dennis Schröder,8:22,3,6,.500,2,4,.500,0,0,,0,0,0,0,0,0,1,1,8,-8
Scottie Barnes,10:06,3,7,.429,1,3,.333,0,0,,1,3,4,0,1,1,0,0,7,-3
Jakob Poeltl,9:04,0,0,,0,0,,0,0,,2,3,5,0,0,1,0,1,0,0
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jalen McDaniels,3:38,0,3,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-5
Chris Boucher,4:00,0,1,.000,0,1,.000,2,2,1.000,0,0,0,0,0,0,0,1,2,+3
Thaddeus Young,1:36,0,1,.000,0,0,,0,0,,0,0,0,0,1,0,0,0,0,0
Otto Porter Jr.,3:17,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-4
Gradey Dick,Did Not Play
