,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tyler Herro,38:38,9,22,.409,2,7,.286,5,5,1.000,2,4,6,6,1,1,1,2,25,-1
Bam Adebayo,36:30,7,13,.538,0,0,,14,20,.700,3,13,16,3,3,3,4,1,28,-3
Jimmy Butler,22:52,2,3,.667,0,0,,4,4,1.000,0,2,2,1,0,1,2,2,8,+4
Nikola Jović,9:50,2,2,1.000,2,2,1.000,0,0,,1,1,2,1,0,0,1,5,6,+2
R.J. Hampton,8:06,0,1,.000,0,1,.000,0,0,,0,2,2,0,0,0,1,1,0,-5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jaime Jaquez Jr.,35:08,2,9,.222,0,4,.000,5,5,1.000,0,1,1,1,0,0,2,4,9,-16
Duncan Robinson,32:10,4,8,.500,3,5,.600,0,0,,0,4,4,4,2,2,1,4,11,-10
Haywood Highsmith,26:10,1,5,.200,0,4,.000,2,2,1.000,0,6,6,1,2,1,2,2,4,+4
Kevin Love,19:59,4,11,.364,2,8,.250,2,4,.500,2,4,6,2,0,0,1,1,12,-7
Jamal Cain,10:37,3,4,.750,0,0,,0,0,,0,1,1,1,0,0,1,2,6,-8
Thomas Bryant,Did Not Play
Josh Richardson,Did Not Dress
Team Totals,240,34,78,.436,9,31,.290,32,40,.800,8,38,46,20,8,8,16,24,109,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tyler Herro,8:37,4,5,.800,0,0,,0,0,,1,1,2,1,1,0,1,0,8,+1
Bam Adebayo,8:04,1,3,.333,0,0,,2,4,.500,0,3,3,0,0,0,1,0,4,+2
Jimmy Butler,9:29,0,0,,0,0,,0,0,,0,1,1,1,0,0,2,1,0,-2
Nikola Jović,5:33,1,1,1.000,1,1,1.000,0,0,,1,1,2,0,0,0,1,2,3,-1
R.J. Hampton,8:06,0,1,.000,0,1,.000,0,0,,0,2,2,0,0,0,1,1,0,-5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jaime Jaquez Jr.,6:27,1,2,.500,0,1,.000,1,1,1.000,0,1,1,0,0,0,0,1,3,+2
Duncan Robinson,4:15,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,3,+3
Haywood Highsmith,3:02,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,1,0,1,0,+3
Kevin Love,6:27,2,5,.400,1,4,.250,2,4,.500,1,0,1,1,0,0,0,0,7,+2
Jamal Cain, 
Thomas Bryant,Did Not Play
Josh Richardson,Did Not Dress
Team Totals,60,10,19,.526,3,9,.333,5,9,.556,3,11,14,3,1,1,6,6,28,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tyler Herro,9:17,2,6,.333,1,2,.500,3,3,1.000,1,0,1,2,0,0,0,1,8,+3
Bam Adebayo,9:17,4,5,.800,0,0,,0,0,,0,4,4,1,0,1,1,0,8,+3
Jimmy Butler,7:41,1,2,.500,0,0,,0,0,,0,0,0,0,0,1,0,0,2,+1
Nikola Jović, 
R.J. Hampton, 
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jaime Jaquez Jr.,8:58,1,3,.333,0,2,.000,2,2,1.000,0,0,0,1,0,0,0,1,4,-8
Duncan Robinson,10:04,1,2,.500,1,1,1.000,0,0,,0,1,1,2,2,1,1,2,3,-2
Haywood Highsmith,9:45,0,2,.000,0,2,.000,0,0,,0,4,4,0,1,0,2,1,0,0
Kevin Love,4:58,0,2,.000,0,1,.000,0,0,,1,1,2,0,0,0,0,0,0,-7
Jamal Cain, 
Thomas Bryant,Did Not Play
Josh Richardson,Did Not Dress
Team Totals,60,9,22,.409,2,8,.250,5,5,1.000,2,10,12,6,3,3,4,5,25,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tyler Herro,17:54,6,11,.545,1,2,.500,3,3,1.000,2,1,3,3,1,0,1,1,16,+4
Bam Adebayo,17:21,5,8,.625,0,0,,2,4,.500,0,7,7,1,0,1,2,0,12,+5
Jimmy Butler,17:10,1,2,.500,0,0,,0,0,,0,1,1,1,0,1,2,1,2,-1
Nikola Jović,5:33,1,1,1.000,1,1,1.000,0,0,,1,1,2,0,0,0,1,2,3,-1
R.J. Hampton,8:06,0,1,.000,0,1,.000,0,0,,0,2,2,0,0,0,1,1,0,-5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jaime Jaquez Jr.,15:25,2,5,.400,0,3,.000,3,3,1.000,0,1,1,1,0,0,0,2,7,-6
Duncan Robinson,14:19,2,3,.667,2,2,1.000,0,0,,0,2,2,2,2,1,1,2,6,+1
Haywood Highsmith,12:47,0,3,.000,0,3,.000,0,0,,0,5,5,0,1,1,2,2,0,+3
Kevin Love,11:25,2,7,.286,1,5,.200,2,4,.500,2,1,3,1,0,0,0,0,7,-5
Jamal Cain, 
Thomas Bryant,Did Not Play
Josh Richardson,Did Not Dress
Team Totals,120,19,41,.463,5,17,.294,10,14,.714,5,21,26,9,4,4,10,11,53,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tyler Herro,8:44,2,5,.400,1,2,.500,2,2,1.000,0,3,3,2,0,0,0,1,7,+3
Bam Adebayo,9:25,2,4,.500,0,0,,7,8,.875,1,3,4,1,3,1,1,0,11,+2
Jimmy Butler,5:42,1,1,1.000,0,0,,4,4,1.000,0,1,1,0,0,0,0,1,6,+5
Nikola Jović,4:17,1,1,1.000,1,1,1.000,0,0,,0,0,0,1,0,0,0,3,3,+3
R.J. Hampton, 
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jaime Jaquez Jr.,7:43,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0,-2
Duncan Robinson,5:51,1,2,.500,1,1,1.000,0,0,,0,0,0,1,0,0,0,1,3,-3
Haywood Highsmith,9:25,1,2,.500,0,1,.000,0,0,,0,0,0,1,1,0,0,0,2,+2
Kevin Love,6:18,1,2,.500,1,2,.500,0,0,,0,1,1,0,0,0,1,1,3,-4
Jamal Cain,2:35,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-1
Thomas Bryant,Did Not Play
Josh Richardson,Did Not Dress
Team Totals,60,9,19,.474,4,8,.500,13,14,.929,1,8,9,7,4,1,3,7,35,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tyler Herro,12:00,1,6,.167,0,3,.000,0,0,,0,0,0,1,0,1,0,0,2,-8
Bam Adebayo,9:44,0,1,.000,0,0,,5,8,.625,2,3,5,1,0,1,1,1,5,-10
Jimmy Butler, 
Nikola Jović, 
R.J. Hampton, 
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jaime Jaquez Jr.,12:00,0,2,.000,0,0,,2,2,1.000,0,0,0,0,0,0,1,2,2,-8
Duncan Robinson,12:00,1,3,.333,0,2,.000,0,0,,0,2,2,1,0,1,0,1,2,-8
Haywood Highsmith,3:58,0,0,,0,0,,2,2,1.000,0,1,1,0,0,0,0,0,2,-1
Kevin Love,2:16,1,2,.500,0,1,.000,0,0,,0,2,2,1,0,0,0,0,2,+2
Jamal Cain,8:02,3,4,.750,0,0,,0,0,,0,1,1,0,0,0,1,2,6,-7
Thomas Bryant,Did Not Play
Josh Richardson,Did Not Dress
Team Totals,60,6,18,.333,0,6,.000,9,12,.750,2,9,11,4,0,3,3,6,21,
,Basic Box Score Stats
