,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Spencer Dinwiddie,36:55,4,13,.308,1,6,.167,4,4,1.000,3,0,3,5,1,0,1,3,13,-12
Mikal Bridges,36:53,8,20,.400,3,10,.300,3,3,1.000,0,7,7,7,1,0,0,1,22,-8
Nic Claxton,36:33,5,11,.455,0,0,,5,10,.500,6,10,16,5,1,1,0,2,15,-21
Cameron Johnson,33:45,5,11,.455,2,6,.333,1,2,.500,1,5,6,0,1,0,1,4,13,-8
Dorian Finney-Smith,24:13,3,13,.231,2,8,.250,0,0,,3,3,6,2,1,0,0,2,8,-11
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cam Thomas,26:05,7,18,.389,3,8,.375,3,7,.429,1,0,1,1,1,0,1,2,20,-9
Royce O'Neale,20:45,2,9,.222,1,7,.143,0,0,,1,2,3,2,1,0,0,2,5,-11
Dennis Smith Jr.,14:42,2,3,.667,0,1,.000,3,3,1.000,1,2,3,4,1,0,3,4,7,-7
Day'Ron Sharpe,8:17,1,1,1.000,0,0,,1,2,.500,1,1,2,0,1,1,0,1,3,+6
Trendon Watford,1:52,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,+1
Harry Giles,Did Not Play
Lonnie Walker IV,Did Not Dress
Team Totals,240,38,100,.380,12,46,.261,20,31,.645,17,30,47,26,9,2,6,21,108,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Spencer Dinwiddie,8:10,1,2,.500,1,2,.500,0,0,,0,0,0,2,0,0,0,0,3,+5
Mikal Bridges,12:00,6,8,.750,3,3,1.000,0,0,,0,1,1,3,1,0,0,0,15,+3
Nic Claxton,7:24,0,1,.000,0,0,,2,2,1.000,0,1,1,2,1,0,0,1,2,+3
Cameron Johnson,6:16,1,3,.333,0,1,.000,0,0,,0,1,1,0,0,0,0,0,2,+5
Dorian Finney-Smith,5:06,1,1,1.000,1,1,1.000,0,0,,0,1,1,1,0,0,0,0,3,+7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cam Thomas,5:44,4,4,1.000,1,1,1.000,1,2,.500,0,0,0,0,1,0,0,2,10,-2
Royce O'Neale,6:54,0,2,.000,0,2,.000,0,0,,0,1,1,1,1,0,0,0,0,-4
Dennis Smith Jr.,3:50,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,-2
Day'Ron Sharpe,4:36,0,0,,0,0,,1,2,.500,1,0,1,0,0,0,0,1,1,0
Trendon Watford, 
Harry Giles,Did Not Play
Lonnie Walker IV,Did Not Dress
Team Totals,60,13,21,.619,6,10,.600,4,6,.667,1,5,6,10,4,0,0,5,36,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Spencer Dinwiddie,8:45,0,4,.000,0,1,.000,0,0,,2,0,2,1,0,0,1,1,0,-8
Mikal Bridges,5:49,0,5,.000,0,4,.000,2,2,1.000,0,2,2,1,0,0,0,1,2,-1
Nic Claxton,12:00,1,3,.333,0,0,,0,0,,4,3,7,1,0,1,0,0,2,-6
Cameron Johnson,6:45,1,2,.500,1,1,1.000,0,0,,0,2,2,0,1,0,0,0,3,0
Dorian Finney-Smith,9:29,1,5,.200,0,2,.000,0,0,,0,0,0,0,1,0,0,2,2,-6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cam Thomas,5:10,2,6,.333,2,4,.500,0,1,.000,0,0,0,0,0,0,0,0,6,-4
Royce O'Neale,5:10,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-4
Dennis Smith Jr.,6:52,2,3,.667,0,1,.000,1,1,1.000,0,2,2,3,1,0,1,2,5,-1
Day'Ron Sharpe, 
Trendon Watford, 
Harry Giles,Did Not Play
Lonnie Walker IV,Did Not Dress
Team Totals,60,7,29,.241,3,14,.214,3,4,.750,6,9,15,6,3,1,2,7,20,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Spencer Dinwiddie,16:55,1,6,.167,1,3,.333,0,0,,2,0,2,3,0,0,1,1,3,-3
Mikal Bridges,17:49,6,13,.462,3,7,.429,2,2,1.000,0,3,3,4,1,0,0,1,17,+2
Nic Claxton,19:24,1,4,.250,0,0,,2,2,1.000,4,4,8,3,1,1,0,1,4,-3
Cameron Johnson,13:01,2,5,.400,1,2,.500,0,0,,0,3,3,0,1,0,0,0,5,+5
Dorian Finney-Smith,14:35,2,6,.333,1,3,.333,0,0,,0,1,1,1,1,0,0,2,5,+1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cam Thomas,10:54,6,10,.600,3,5,.600,1,3,.333,0,0,0,0,1,0,0,2,16,-6
Royce O'Neale,12:04,0,3,.000,0,3,.000,0,0,,0,1,1,1,1,0,0,1,0,-8
Dennis Smith Jr.,10:42,2,3,.667,0,1,.000,1,1,1.000,0,2,2,4,1,0,1,3,5,-3
Day'Ron Sharpe,4:36,0,0,,0,0,,1,2,.500,1,0,1,0,0,0,0,1,1,0
Trendon Watford, 
Harry Giles,Did Not Play
Lonnie Walker IV,Did Not Dress
Team Totals,120,20,50,.400,9,24,.375,7,10,.700,7,14,21,16,7,1,2,12,56,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Spencer Dinwiddie,8:00,2,5,.400,0,2,.000,2,2,1.000,0,0,0,1,1,0,0,2,6,-3
Mikal Bridges,12:00,1,4,.250,0,1,.000,0,0,,0,2,2,1,0,0,0,0,2,-7
Nic Claxton,7:01,0,3,.000,0,0,,0,0,,1,3,4,0,0,0,0,0,0,-11
Cameron Johnson,8:44,1,4,.250,0,3,.000,0,0,,0,1,1,0,0,0,0,1,2,-7
Dorian Finney-Smith,9:38,1,7,.143,1,5,.200,0,0,,3,2,5,1,0,0,0,0,3,-12
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cam Thomas,3:11,0,2,.000,0,1,.000,1,2,.500,0,0,0,0,0,0,0,0,1,+3
Royce O'Neale,5:37,2,4,.500,1,3,.333,0,0,,1,1,2,1,0,0,0,1,5,+1
Dennis Smith Jr.,4:00,0,0,,0,0,,2,2,1.000,1,0,1,0,0,0,2,1,2,-4
Day'Ron Sharpe,1:49,1,1,1.000,0,0,,0,0,,0,1,1,0,1,1,0,0,2,+5
Trendon Watford, 
Harry Giles,Did Not Play
Lonnie Walker IV,Did Not Dress
Team Totals,60,8,30,.267,2,15,.133,5,6,.833,6,10,16,4,2,1,2,5,23,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Spencer Dinwiddie,12:00,1,2,.500,0,1,.000,2,2,1.000,1,0,1,1,0,0,0,0,4,-6
Mikal Bridges,7:04,1,3,.333,0,2,.000,1,1,1.000,0,2,2,2,0,0,0,0,3,-3
Nic Claxton,10:08,4,4,1.000,0,0,,3,8,.375,1,3,4,2,0,0,0,1,11,-7
