,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Franz Wagner,38:53,11,25,.440,2,8,.250,3,3,1.000,1,6,7,6,0,1,2,4,27,-8
Paolo Banchero,37:02,12,23,.522,2,6,.333,2,2,1.000,0,9,9,7,0,1,3,1,28,-6
Jalen Suggs,28:51,1,10,.100,1,7,.143,1,2,.500,0,4,4,3,0,1,1,4,4,-10
Goga Bitadze,21:59,3,5,.600,0,0,,0,0,,4,3,7,1,0,1,2,4,6,-15
Anthony Black,21:45,1,3,.333,0,1,.000,0,0,,0,2,2,0,0,0,2,2,2,-19
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Gary Harris,32:28,2,7,.286,1,6,.167,0,0,,0,2,2,2,0,0,0,1,5,+7
Wendell Carter Jr.,23:52,6,7,.857,3,3,1.000,2,2,1.000,1,4,5,2,0,0,3,2,17,+14
Cole Anthony,18:09,4,7,.571,2,4,.500,3,3,1.000,1,4,5,0,1,0,2,0,13,+8
Moritz Wagner,9:30,2,3,.667,1,2,.500,0,0,,1,3,4,1,1,0,0,0,5,-2
Caleb Houstan,7:23,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+8
Chuma Okeke,0:08,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Jonathan Isaac,Did Not Play
Trevelin Queen,Did Not Play
Team Totals,240,42,90,.467,12,37,.324,11,12,.917,8,37,45,22,2,4,15,18,107,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Franz Wagner,8:44,1,6,.167,0,2,.000,0,0,,0,0,0,1,0,0,0,0,2,-11
Paolo Banchero,10:00,5,8,.625,0,1,.000,1,1,1.000,0,1,1,0,0,1,2,0,11,-11
Jalen Suggs,8:37,0,3,.000,0,1,.000,0,0,,0,2,2,2,0,1,1,1,0,-10
Goga Bitadze,10:00,2,2,1.000,0,0,,0,0,,4,1,5,1,0,0,0,2,4,-11
Anthony Black,8:37,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-10
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Gary Harris,6:39,1,2,.500,0,1,.000,0,0,,0,0,0,1,0,0,0,0,2,-5
Wendell Carter Jr.,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Cole Anthony,3:23,2,3,.667,0,1,.000,1,1,1.000,0,1,1,0,0,0,1,0,5,-3
Moritz Wagner,2:00,0,0,,0,0,,0,0,,0,1,1,0,1,0,0,0,0,-2
Caleb Houstan, 
Chuma Okeke, 
Jonathan Isaac,Did Not Play
Trevelin Queen,Did Not Play
Team Totals,60,11,24,.458,0,6,.000,2,2,1.000,4,7,11,5,1,2,5,3,24,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Franz Wagner,10:03,2,6,.333,0,2,.000,3,3,1.000,1,1,2,3,0,0,0,2,7,+6
Paolo Banchero,6:39,1,4,.250,0,1,.000,0,0,,0,2,2,2,0,0,0,0,2,0
Jalen Suggs,5:47,0,3,.000,0,2,.000,1,2,.500,0,0,0,0,0,0,0,2,1,+1
Goga Bitadze,1:40,0,1,.000,0,0,,0,0,,0,1,1,0,0,1,0,1,0,+2
Anthony Black,7:51,1,3,.333,0,1,.000,0,0,,0,0,0,0,0,0,0,2,2,-4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Gary Harris,6:58,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,0,0,+5
Wendell Carter Jr.,8:11,4,4,1.000,2,2,1.000,2,2,1.000,1,2,3,1,0,0,0,1,12,+6
Cole Anthony,5:21,1,2,.500,1,1,1.000,2,2,1.000,1,1,2,0,0,0,1,0,5,+4
Moritz Wagner,7:30,2,3,.667,1,2,.500,0,0,,1,2,3,1,0,0,0,0,5,0
Caleb Houstan, 
Chuma Okeke, 
Jonathan Isaac,Did Not Play
Trevelin Queen,Did Not Play
Team Totals,60,11,28,.393,4,13,.308,8,9,.889,4,9,13,7,0,1,1,8,34,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Franz Wagner,18:47,3,12,.250,0,4,.000,3,3,1.000,1,1,2,4,0,0,0,2,9,-5
Paolo Banchero,16:39,6,12,.500,0,2,.000,1,1,1.000,0,3,3,2,0,1,2,0,13,-11
Jalen Suggs,14:24,0,6,.000,0,3,.000,1,2,.500,0,2,2,2,0,1,1,3,1,-9
Goga Bitadze,11:40,2,3,.667,0,0,,0,0,,4,2,6,1,0,1,0,3,4,-9
Anthony Black,16:28,1,3,.333,0,1,.000,0,0,,0,1,1,0,0,0,1,2,2,-14
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Gary Harris,13:37,1,4,.250,0,3,.000,0,0,,0,0,0,1,0,0,0,0,2,0
Wendell Carter Jr.,10:11,4,4,1.000,2,2,1.000,2,2,1.000,1,2,3,1,0,0,0,1,12,+4
Cole Anthony,8:44,3,5,.600,1,2,.500,3,3,1.000,1,2,3,0,0,0,2,0,10,+1
Moritz Wagner,9:30,2,3,.667,1,2,.500,0,0,,1,3,4,1,1,0,0,0,5,-2
Caleb Houstan, 
Chuma Okeke, 
Jonathan Isaac,Did Not Play
Trevelin Queen,Did Not Play
Team Totals,120,22,52,.423,4,19,.211,10,11,.909,8,16,24,12,1,3,6,11,58,
,Basic Box Score Stats
