,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Rudy Gobert,37:48,3,8,.375,0,0,,4,6,.667,2,13,15,1,0,0,1,2,10,-11
Anthony Edwards,37:31,11,21,.524,4,9,.444,9,10,.900,0,4,4,2,0,2,4,1,35,+2
Jaden McDaniels,33:18,2,8,.250,1,5,.200,3,4,.750,1,0,1,0,1,1,1,4,8,-9
Karl-Anthony Towns,31:52,10,18,.556,3,5,.600,6,6,1.000,1,5,6,3,0,0,3,5,29,+5
Mike Conley,28:50,2,6,.333,0,1,.000,1,1,1.000,0,2,2,5,1,1,0,1,5,-10
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Naz Reid,19:17,2,6,.333,1,4,.250,0,0,,0,2,2,0,0,0,0,5,5,-5
Kyle Anderson,17:23,1,1,1.000,0,0,,0,2,.000,0,2,2,3,2,0,3,0,2,-3
Nickeil Alexander-Walker,16:45,1,3,.333,1,2,.500,0,0,,0,0,0,2,0,0,0,2,3,+3
Jordan McLaughlin,11:37,4,5,.800,1,2,.500,0,0,,0,1,1,3,2,0,0,1,9,+13
Troy Brown Jr.,5:39,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,1,0,-15
Shake Milton,Did Not Play
Josh Minott,Did Not Play
Daishen Nix,Did Not Play
Team Totals,240,36,76,.474,11,28,.393,23,29,.793,4,30,34,19,6,4,13,22,106,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Rudy Gobert,8:48,0,3,.000,0,0,,2,2,1.000,0,4,4,1,0,0,0,0,2,+1
Anthony Edwards,12:00,5,8,.625,2,5,.400,3,3,1.000,0,1,1,1,0,0,1,0,15,+9
Jaden McDaniels,8:23,1,2,.500,1,1,1.000,0,0,,0,0,0,0,0,0,0,1,3,-1
Karl-Anthony Towns,9:54,4,4,1.000,1,1,1.000,0,0,,0,2,2,1,0,0,0,1,9,+6
Mike Conley,6:42,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Naz Reid,5:18,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,3,+11
Kyle Anderson,3:37,0,0,,0,0,,0,2,.000,0,0,0,0,0,0,1,0,0,+10
Nickeil Alexander-Walker,5:18,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+11
Jordan McLaughlin, 
Troy Brown Jr., 
Shake Milton,Did Not Play
Josh Minott,Did Not Play
Daishen Nix,Did Not Play
Team Totals,60,11,19,.579,5,9,.556,5,7,.714,0,8,8,4,0,0,2,2,32,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Rudy Gobert,12:00,1,2,.500,0,0,,2,4,.500,1,2,3,0,0,0,1,1,4,-21
Anthony Edwards,6:21,0,3,.000,0,1,.000,1,2,.500,0,2,2,0,0,0,0,0,1,-6
Jaden McDaniels,5:17,0,2,.000,0,2,.000,0,0,,1,0,1,0,0,0,0,1,0,-9
Karl-Anthony Towns,5:01,0,2,.000,0,0,,4,4,1.000,0,0,0,0,0,0,2,2,4,-8
Mike Conley,7:16,1,1,1.000,0,0,,1,1,1.000,0,0,0,0,0,0,0,1,3,-14
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Naz Reid,6:59,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,1,0,-13
Kyle Anderson,6:43,1,1,1.000,0,0,,0,0,,0,1,1,1,0,0,2,0,2,-12
Nickeil Alexander-Walker,4:44,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,1,3,-7
Jordan McLaughlin, 
Troy Brown Jr.,5:39,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,1,0,-15
Shake Milton,Did Not Play
Josh Minott,Did Not Play
Daishen Nix,Did Not Play
Team Totals,60,4,14,.286,1,5,.200,8,11,.727,2,7,9,1,0,0,6,8,17,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Rudy Gobert,20:48,1,5,.200,0,0,,4,6,.667,1,6,7,1,0,0,1,1,6,-20
Anthony Edwards,18:21,5,11,.455,2,6,.333,4,5,.800,0,3,3,1,0,0,1,0,16,+3
Jaden McDaniels,13:40,1,4,.250,1,3,.333,0,0,,1,0,1,0,0,0,0,2,3,-10
Karl-Anthony Towns,14:55,4,6,.667,1,1,1.000,4,4,1.000,0,2,2,1,0,0,2,3,13,-2
Mike Conley,13:58,1,2,.500,0,1,.000,1,1,1.000,0,0,0,1,0,0,0,1,3,-16
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Naz Reid,12:17,1,3,.333,1,2,.500,0,0,,0,2,2,0,0,0,0,1,3,-2
Kyle Anderson,10:20,1,1,1.000,0,0,,0,2,.000,0,1,1,1,0,0,3,0,2,-2
Nickeil Alexander-Walker,10:02,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,1,3,+4
Jordan McLaughlin, 
Troy Brown Jr.,5:39,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,1,0,-15
Shake Milton,Did Not Play
Josh Minott,Did Not Play
Daishen Nix,Did Not Play
Team Totals,120,15,33,.455,6,14,.429,13,18,.722,2,15,17,5,0,0,8,10,49,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Rudy Gobert,5:00,1,1,1.000,0,0,,0,0,,0,2,2,0,0,0,0,0,2,-1
Anthony Edwards,12:00,5,7,.714,2,3,.667,3,3,1.000,0,1,1,1,0,2,1,0,15,-4
Jaden McDaniels,7:38,0,2,.000,0,1,.000,3,4,.750,0,0,0,0,0,1,0,0,3,-9
Karl-Anthony Towns,5:17,0,1,.000,0,0,,0,0,,1,0,1,1,0,0,1,1,0,-3
Mike Conley,5:17,0,3,.000,0,0,,0,0,,0,1,1,2,1,0,0,0,0,-3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Naz Reid,7:00,1,3,.333,0,2,.000,0,0,,0,0,0,0,0,0,0,4,2,-3
Kyle Anderson,6:43,0,0,,0,0,,0,0,,0,0,0,2,2,0,0,0,0,-1
Nickeil Alexander-Walker,6:43,0,2,.000,0,1,.000,0,0,,0,0,0,2,0,0,0,1,0,-1
Jordan McLaughlin,4:22,3,4,.750,1,2,.500,0,0,,0,0,0,0,2,0,0,0,7,+5
Troy Brown Jr., 
Shake Milton,Did Not Play
Josh Minott,Did Not Play
Daishen Nix,Did Not Play
Team Totals,60,10,23,.435,3,9,.333,6,7,.857,1,4,5,8,5,3,2,6,29,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Rudy Gobert,12:00,1,2,.500,0,0,,0,0,,1,5,6,0,0,0,0,1,2,+10
Anthony Edwards,7:10,1,3,.333,0,0,,2,2,1.000,0,0,0,0,0,0,2,1,4,+3
Jaden McDaniels,12:00,1,2,.500,0,1,.000,0,0,,0,0,0,0,1,0,1,2,2,+10
Karl-Anthony Towns,11:40,6,11,.545,2,4,.500,2,2,1.000,0,3,3,1,0,0,0,1,16,+10
Mike Conley,9:35,1,1,1.000,0,0,,0,0,,0,1,1,2,0,1,0,0,2,+9
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Naz Reid, 
Kyle Anderson,0:20,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0
Nickeil Alexander-Walker, 
Jordan McLaughlin,7:15,1,1,1.000,0,0,,0,0,,0,1,1,3,0,0,0,1,2,+8
Troy Brown Jr., 
Shake Milton,Did Not Play
Josh Minott,Did Not Play
Daishen Nix,Did Not Play
Team Totals,60,11,20,.550,2,5,.400,4,4,1.000,1,11,12,6,1,1,3,6,28,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Rudy Gobert,17:00,2,3,.667,0,0,,0,0,,1,7,8,0,0,0,0,1,4,+9
Anthony Edwards,19:10,6,10,.600,2,3,.667,5,5,1.000,0,1,1,1,0,2,3,1,19,-1
Jaden McDaniels,19:38,1,4,.250,0,2,.000,3,4,.750,0,0,0,0,1,1,1,2,5,+1
Karl-Anthony Towns,16:57,6,12,.500,2,4,.500,2,2,1.000,1,3,4,2,0,0,1,2,16,+7
Mike Conley,14:52,1,4,.250,0,0,,0,0,,0,2,2,4,1,1,0,0,2,+6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Naz Reid,7:00,1,3,.333,0,2,.000,0,0,,0,0,0,0,0,0,0,4,2,-3
Kyle Anderson,7:03,0,0,,0,0,,0,0,,0,1,1,2,2,0,0,0,0,-1
Nickeil Alexander-Walker,6:43,0,2,.000,0,1,.000,0,0,,0,0,0,2,0,0,0,1,0,-1
Jordan McLaughlin,11:37,4,5,.800,1,2,.500,0,0,,0,1,1,3,2,0,0,1,9,+13
Troy Brown Jr., 
Shake Milton,Did Not Play
Josh Minott,Did Not Play
Daishen Nix,Did Not Play
Team Totals,120,21,43,.488,5,14,.357,10,11,.909,2,15,17,14,6,4,5,12,57,
,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Rudy Gobert,37:48,.470,.375,.000,.750,6.9,35.9,22.9,3.9,0.0,0.0,8.6,14.5,101,111,-3.4
Anthony Edwards,37:31,.689,.619,.429,.476,0.0,11.1,6.2,11.7,0.0,4.7,13.6,37.0,117,120,8.2
Jaden McDaniels,33:18,.410,.313,.625,.500,3.9,0.0,1.7,0.0,1.5,2.6,9.3,15.2,82,123,-6.6
Karl-Anthony Towns,31:52,.703,.639,.278,.333,4.1,16.4,10.9,21.6,0.0,0.0,12.7,35.0,124,120,6.8
Mike Conley,28:50,.388,.333,.167,.167,0.0,7.2,4.0,25.5,1.7,3.0,0.0,10.5,109,119,0.0
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Naz Reid,19:17,.417,.417,.667,.000,0.0,10.8,6.0,0.0,0.0,0.0,0.0,14.7,81,122,-10.9
Kyle Anderson,17:23,.532,1.000,.000,2.000,0.0,12.0,6.7,24.9,5.8,0.0,61.5,13.2,63,109,0.6
Nickeil Alexander-Walker,16:45,.500,.500,.667,.000,0.0,0.0,0.0,17.3,0.0,0.0,0.0,8.4,120,127,-2.4
Jordan McLaughlin,11:37,.900,.900,.400,.000,0.0,9.0,5.0,63.7,8.7,0.0,0.0,20.3,185,104,28.4
Troy Brown Jr.,5:39,,,,,0.0,18.5,10.2,0.0,0.0,0.0,100.0,8.3,0,119,-15.9
Shake Milton,Did Not Play
Josh Minott,Did Not Play
Daishen Nix,Did Not Play
Team Totals,240,.597,.546,.368,.382,10.8,65.2,41.0,52.8,6.3,7.3,12.8,100.0,111.2,117.5,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jalen Brunson,40:40,5,23,.217,1,9,.111,5,5,1.000,0,4,4,14,1,0,2,4,16,+16
