,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Donovan Mitchell,37:59,8,21,.381,4,9,.444,6,6,1.000,1,6,7,7,4,0,3,4,26,+7
Max Strus,37:21,2,7,.286,2,5,.400,0,0,,0,6,6,3,1,1,3,4,6,+9
Jarrett Allen,33:37,5,11,.455,0,0,,6,8,.750,3,8,11,4,1,0,0,4,16,-3
Isaac Okoro,27:26,5,10,.500,0,4,.000,6,7,.857,0,1,1,3,2,1,1,4,16,-18
Dean Wade,20:44,1,2,.500,0,1,.000,0,0,,0,3,3,0,1,0,0,2,2,+5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Caris LeVert,29:19,12,20,.600,2,7,.286,5,5,1.000,0,4,4,4,0,0,0,0,31,+1
Sam Merrill,16:53,6,11,.545,4,8,.500,0,0,,0,3,3,1,0,0,1,2,16,-2
Georges Niang,16:15,4,5,.800,0,1,.000,0,0,,0,4,4,2,0,0,1,5,8,-3
Tristan Thompson,14:21,0,0,,0,0,,0,0,,2,1,3,1,0,0,0,3,0,0
Craig Porter Jr.,6:05,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,1,0,-11
Ty Jerome,Not With Team
Damian Jones,Did Not Play
Team Totals,240,43,89,.483,12,36,.333,23,26,.885,6,37,43,25,9,2,9,29,121,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Donovan Mitchell,9:59,4,9,.444,1,2,.500,0,0,,0,3,3,2,2,0,0,1,9,-5
Max Strus,9:23,0,3,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-2
Jarrett Allen,10:26,2,4,.500,0,0,,2,2,1.000,2,1,3,3,0,0,0,0,6,-2
Isaac Okoro,9:23,1,1,1.000,0,0,,3,4,.750,0,0,0,1,0,0,0,1,5,-2
Dean Wade,6:13,1,1,1.000,0,0,,0,0,,0,2,2,0,1,0,0,1,2,+1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Caris LeVert,5:47,3,6,.500,0,1,.000,2,2,1.000,0,0,0,0,0,0,0,0,8,-10
Sam Merrill,2:37,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,1,2,-7
Georges Niang,2:37,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-7
Tristan Thompson,1:34,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,0,0,-7
Craig Porter Jr.,2:01,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-4
Ty Jerome,Not With Team
Damian Jones,Did Not Play
Team Totals,60,12,26,.462,1,5,.200,7,8,.875,3,6,9,6,3,0,0,6,32,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Donovan Mitchell,7:56,2,3,.667,1,2,.500,2,2,1.000,0,1,1,1,0,0,1,0,7,+8
Max Strus,7:56,0,1,.000,0,1,.000,0,0,,0,3,3,0,0,0,0,0,0,+8
Jarrett Allen,7:03,1,4,.250,0,0,,3,4,.750,0,2,2,0,1,0,0,0,5,+8
Isaac Okoro,1:42,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,2,0,-6
Dean Wade,7:03,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,+8
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Caris LeVert,10:18,3,5,.600,0,1,.000,1,1,1.000,0,2,2,1,0,0,0,0,7,+7
Sam Merrill,4:57,2,4,.500,2,3,.667,0,0,,0,1,1,0,0,0,1,0,6,-7
Georges Niang,4:04,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,1,2,-7
Tristan Thompson,4:57,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,2,0,-7
Craig Porter Jr.,4:04,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-7
Ty Jerome,Not With Team
Damian Jones,Did Not Play
Team Totals,60,9,20,.450,3,8,.375,6,7,.857,1,11,12,2,1,0,4,5,27,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Donovan Mitchell,17:55,6,12,.500,2,4,.500,2,2,1.000,0,4,4,3,2,0,1,1,16,+3
