,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Mikal Bridges,29:00,4,11,.364,2,5,.400,3,3,1.000,2,1,3,2,0,0,4,0,13,-24
Cameron Johnson,26:24,6,12,.500,5,9,.556,0,0,,0,4,4,2,1,0,1,2,17,-16
Nic Claxton,22:38,4,7,.571,0,0,,0,0,,0,3,3,1,0,2,0,1,8,-19
Spencer Dinwiddie,21:17,0,6,.000,0,4,.000,0,0,,0,0,0,5,0,0,1,1,0,-25
Dorian Finney-Smith,20:06,1,6,.167,1,4,.250,0,0,,1,3,4,1,2,0,0,1,3,-17
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Royce O'Neale,27:54,0,6,.000,0,5,.000,0,0,,4,4,8,5,1,0,3,3,0,-10
Cam Thomas,20:18,0,11,.000,0,4,.000,0,0,,1,1,2,0,1,0,1,0,0,-14
Dennis Smith Jr.,19:52,3,7,.429,2,4,.500,1,2,.500,0,1,1,4,1,0,1,1,9,-5
Day'Ron Sharpe,17:04,6,9,.667,0,0,,0,0,,3,6,9,2,0,1,1,0,12,-8
Jalen Wilson,12:00,4,8,.500,0,2,.000,0,0,,4,0,4,2,1,0,0,0,8,0
Harry Giles,8:18,3,6,.500,0,2,.000,0,2,.000,1,2,3,1,0,1,0,2,6,0
Armoni Brooks,8:18,2,5,.400,1,4,.250,0,0,,1,0,1,0,0,0,0,1,5,0
Trendon Watford,6:51,2,4,.500,0,0,,0,1,.000,1,0,1,1,0,0,0,1,4,+3
Team Totals,240,35,98,.357,11,43,.256,4,8,.500,18,25,43,26,7,4,12,13,85,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Mikal Bridges,10:22,1,5,.200,1,3,.333,2,2,1.000,1,0,1,0,0,0,1,0,5,-16
Cameron Johnson,9:59,2,6,.333,2,4,.500,0,0,,0,1,1,0,1,0,0,2,6,-9
Nic Claxton,8:21,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-11
Spencer Dinwiddie,10:07,0,3,.000,0,2,.000,0,0,,0,0,0,4,0,0,0,0,0,-14
Dorian Finney-Smith,8:21,1,2,.500,1,2,.500,0,0,,0,0,0,0,1,0,0,0,3,-11
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Royce O'Neale,3:39,0,1,.000,0,1,.000,0,0,,1,1,2,0,0,0,1,0,0,-3
Cam Thomas,3:39,0,3,.000,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-3
Dennis Smith Jr.,1:53,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,0
Day'Ron Sharpe,3:39,2,3,.667,0,0,,0,0,,2,1,3,0,0,0,0,0,4,-3
Jalen Wilson, 
Harry Giles, 
Armoni Brooks, 
Trendon Watford, 
Team Totals,60,6,25,.240,4,12,.333,2,2,1.000,4,4,8,5,2,0,3,3,18,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Mikal Bridges,6:38,1,3,.333,0,0,,0,0,,0,1,1,1,0,0,1,0,2,-6
Cameron Johnson,7:15,2,3,.667,1,2,.500,0,0,,0,2,2,1,0,0,0,0,5,-5
Nic Claxton,9:45,2,2,1.000,0,0,,0,0,,0,1,1,1,0,2,0,0,4,-3
Spencer Dinwiddie,6:38,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,1,0,0,-6
Dorian Finney-Smith,4:45,0,2,.000,0,1,.000,0,0,,0,1,1,0,1,0,0,1,0,-6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Royce O'Neale,7:15,0,1,.000,0,1,.000,0,0,,1,1,2,1,0,0,0,0,0,-5
Cam Thomas,10:07,0,4,.000,0,2,.000,0,0,,0,1,1,0,0,0,0,0,0,-11
Dennis Smith Jr.,5:22,1,2,.500,1,2,.500,0,0,,0,1,1,2,0,0,1,0,3,-5
Day'Ron Sharpe,2:15,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,0,2,-8
Jalen Wilson, 
Harry Giles, 
Armoni Brooks, 
Trendon Watford, 
Team Totals,60,7,21,.333,2,10,.200,0,0,,1,8,9,6,1,2,3,1,16,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Mikal Bridges,17:00,2,8,.250,1,3,.333,2,2,1.000,1,1,2,1,0,0,2,0,7,-22
Cameron Johnson,17:14,4,9,.444,3,6,.500,0,0,,0,3,3,1,1,0,0,2,11,-14
Nic Claxton,18:06,2,4,.500,0,0,,0,0,,0,2,2,1,0,2,0,0,4,-14
Spencer Dinwiddie,16:45,0,5,.000,0,4,.000,0,0,,0,0,0,4,0,0,1,0,0,-20
Dorian Finney-Smith,13:06,1,4,.250,1,3,.333,0,0,,0,1,1,0,2,0,0,1,3,-17
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Royce O'Neale,10:54,0,2,.000,0,2,.000,0,0,,2,2,4,1,0,0,1,0,0,-8
Cam Thomas,13:46,0,7,.000,0,2,.000,0,0,,0,1,1,0,0,0,1,0,0,-14
Dennis Smith Jr.,7:15,1,2,.500,1,2,.500,0,0,,0,1,1,3,0,0,1,1,3,-5
Day'Ron Sharpe,5:54,3,5,.600,0,0,,0,0,,2,1,3,0,0,0,0,0,6,-11
Jalen Wilson, 
Harry Giles, 
Armoni Brooks, 
Trendon Watford, 
Team Totals,120,13,46,.283,6,22,.273,2,2,1.000,5,12,17,11,3,2,6,4,34,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Mikal Bridges,12:00,2,3,.667,1,2,.500,1,1,1.000,1,0,1,1,0,0,2,0,6,-2
