,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Scoot Henderson,32:32,2,11,.182,1,4,.250,2,4,.500,1,4,5,7,0,0,6,4,7,-28
Anfernee Simons,27:00,5,16,.313,1,7,.143,4,4,1.000,1,4,5,3,0,0,2,1,15,-31
Toumani Camara,20:06,3,8,.375,2,4,.500,2,3,.667,2,3,5,0,2,1,2,6,10,-11
Jerami Grant,19:36,4,9,.444,1,3,.333,1,3,.333,0,1,1,2,0,0,3,3,10,-13
Ibou Badji,14:51,0,2,.000,0,0,,0,0,,3,1,4,0,0,2,4,6,0,-28
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Matisse Thybulle,23:23,4,6,.667,4,6,.667,0,0,,0,2,2,1,1,0,0,4,12,-2
Shaedon Sharpe,22:26,6,12,.500,1,5,.200,3,3,1.000,1,3,4,0,0,0,0,3,16,-12
Ish Wainright,17:21,3,5,.600,3,5,.600,0,0,,0,5,5,0,1,0,0,0,9,+2
Jabari Walker,16:50,1,3,.333,0,1,.000,2,2,1.000,1,4,5,4,0,0,1,2,4,-13
Malcolm Brogdon,16:49,2,6,.333,0,3,.000,1,1,1.000,0,2,2,2,0,0,0,1,5,-12
Kris Murray,14:36,1,3,.333,0,1,.000,0,0,,0,1,1,2,0,0,1,0,2,0
Skylar Mays,8:26,2,4,.500,0,0,,1,2,.500,1,4,5,1,0,0,1,0,5,+3
Duop Reath,6:04,1,2,.500,0,1,.000,0,0,,0,2,2,1,0,0,2,4,2,0
Team Totals,240,34,87,.391,13,40,.325,16,22,.727,10,36,46,23,4,3,22,34,97,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
