,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jaime Jaquez Jr.,39:03,7,14,.500,2,6,.333,0,0,,0,0,0,8,1,1,2,1,16,+24
Bam Adebayo,38:10,5,14,.357,0,1,.000,5,6,.833,3,4,7,5,3,0,2,4,15,+12
Nikola Jović,28:05,6,11,.545,3,5,.600,0,0,,1,7,8,1,1,0,0,4,15,+3
Tyler Herro,27:52,7,19,.368,4,8,.500,3,3,1.000,0,6,6,4,3,0,2,3,21,+5
Kyle Lowry,25:52,3,6,.500,2,5,.400,2,2,1.000,0,3,3,6,4,0,1,2,10,+6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Duncan Robinson,29:59,5,14,.357,3,12,.250,0,0,,0,0,0,2,1,0,1,3,13,0
Kevin Love,27:53,4,7,.571,0,1,.000,2,6,.333,3,11,14,3,1,1,0,3,10,+11
Josh Richardson,20:30,4,7,.571,2,3,.667,0,0,,0,1,1,1,0,1,0,3,10,+9
Jamal Cain,0:39,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
R.J. Hampton,0:39,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Orlando Robinson,0:39,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Cole Swider,0:39,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,0
Thomas Bryant,Did Not Play
Team Totals,240,41,93,.441,16,42,.381,12,17,.706,7,32,39,30,14,3,8,23,110,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jaime Jaquez Jr.,9:15,1,3,.333,0,0,,0,0,,0,0,0,1,0,0,1,0,2,+11
Bam Adebayo,7:54,2,3,.667,0,0,,0,0,,2,0,2,0,2,0,1,1,4,+7
Nikola Jović,10:19,2,5,.400,1,3,.333,0,0,,0,2,2,0,0,0,0,1,5,+6
Tyler Herro,8:40,1,6,.167,1,3,.333,3,3,1.000,0,2,2,1,1,0,1,1,6,+7
Kyle Lowry,9:40,1,2,.500,1,2,.500,2,2,1.000,0,2,2,2,4,0,0,0,5,+7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Duncan Robinson,5:05,0,3,.000,0,3,.000,0,0,,0,0,0,1,0,0,0,1,0,-4
Kevin Love,5:47,0,2,.000,0,1,.000,1,2,.500,0,3,3,0,0,0,0,0,1,+1
Josh Richardson,3:20,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,1,2,0
Jamal Cain, 
R.J. Hampton, 
Orlando Robinson, 
Cole Swider, 
Thomas Bryant,Did Not Play
Team Totals,60,8,25,.320,3,12,.250,6,7,.857,2,9,11,5,7,0,3,5,25,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jaime Jaquez Jr.,8:27,2,3,.667,0,1,.000,0,0,,0,0,0,2,1,1,0,0,4,+5
Bam Adebayo,8:55,0,3,.000,0,1,.000,1,2,.500,1,0,1,1,0,0,0,1,1,-3
Nikola Jović,8:34,2,2,1.000,1,1,1.000,0,0,,0,4,4,1,0,0,0,1,5,-2
Tyler Herro,6:38,3,6,.500,1,1,1.000,0,0,,0,1,1,1,0,0,0,0,7,0
Kyle Lowry,6:38,1,1,1.000,1,1,1.000,0,0,,0,0,0,3,0,0,1,2,3,0
