,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bojan Bogdanović,42:34,13,26,.500,8,15,.533,2,2,1.000,1,6,7,5,1,0,1,6,36,-5
Cade Cunningham,39:37,12,21,.571,3,7,.429,4,5,.800,0,5,5,13,1,0,6,5,31,-13
Isaiah Livers,36:29,4,7,.571,1,4,.250,1,1,1.000,3,1,4,0,2,0,1,4,10,-13
Jalen Duren,36:11,6,7,.857,0,0,,5,5,1.000,4,6,10,3,0,1,2,0,17,-14
Jaden Ivey,21:45,4,8,.500,2,3,.667,1,2,.500,0,1,1,2,0,0,2,2,11,0
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Alec Burks,34:14,9,17,.529,5,9,.556,4,5,.800,0,4,4,1,0,0,2,4,27,-12
James Wiseman,16:46,4,7,.571,0,0,,0,0,,5,4,9,0,0,0,3,1,8,+11
Killian Hayes,13:26,1,3,.333,0,0,,0,0,,0,4,4,6,0,1,0,2,2,+4
Kevin Knox,12:51,2,5,.400,0,2,.000,0,0,,1,0,1,2,0,0,0,1,4,+6
Ausar Thompson,11:07,1,4,.250,0,1,.000,0,2,.000,2,1,3,1,1,1,0,2,2,+6
Marvin Bagley III,Did Not Play
Joe Harris,Did Not Play
Marcus Sasser,Did Not Play
Team Totals,265,56,105,.533,19,41,.463,17,22,.773,16,32,48,33,5,3,17,27,148,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bojan Bogdanović,7:39,1,3,.333,1,2,.500,0,0,,0,0,0,1,0,0,1,0,3,+6
Cade Cunningham,9:32,2,5,.400,0,0,,0,1,.000,0,1,1,4,0,0,0,1,4,+8
Isaiah Livers,2:15,2,2,1.000,1,1,1.000,1,1,1.000,0,1,1,0,0,0,0,2,6,+5
Jalen Duren,7:39,2,3,.667,0,0,,1,1,1.000,1,3,4,2,0,1,0,0,5,+6
Jaden Ivey,7:39,3,3,1.000,1,1,1.000,0,0,,0,1,1,1,0,0,1,1,7,+6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Alec Burks,4:21,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,+1
James Wiseman,4:21,1,4,.250,0,0,,0,0,,3,0,3,0,0,0,2,1,2,+1
Killian Hayes,2:28,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-1
Kevin Knox,9:45,2,5,.400,0,2,.000,0,0,,1,0,1,2,0,0,0,0,4,+2
Ausar Thompson,4:21,1,4,.250,0,1,.000,0,0,,2,0,2,1,1,0,0,1,2,+1
Marvin Bagley III,Did Not Play
Joe Harris,Did Not Play
Marcus Sasser,Did Not Play
Team Totals,60,14,30,.467,3,8,.375,2,3,.667,7,8,15,11,1,1,4,6,33,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bojan Bogdanović,12:00,5,7,.714,2,3,.667,0,0,,0,2,2,2,0,0,0,1,12,-5
Cade Cunningham,7:54,2,4,.500,1,3,.333,0,0,,0,1,1,3,0,0,2,1,5,-8
Isaiah Livers,12:00,1,2,.500,0,1,.000,0,0,,1,0,1,0,1,0,0,0,2,-5
Jalen Duren,7:54,2,2,1.000,0,0,,2,2,1.000,1,1,2,1,0,0,1,0,6,-8
Jaden Ivey,5:04,1,2,.500,1,1,1.000,0,0,,0,0,0,0,0,0,1,1,3,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Alec Burks,6:56,1,2,.500,1,1,1.000,0,0,,0,1,1,1,0,0,1,0,3,-3
James Wiseman,4:06,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,+3
Killian Hayes,4:06,1,1,1.000,0,0,,0,0,,0,1,1,3,0,1,0,0,2,+3
Kevin Knox, 
Ausar Thompson, 
Marvin Bagley III,Did Not Play
Joe Harris,Did Not Play
Marcus Sasser,Did Not Play
Team Totals,60,14,21,.667,5,9,.556,2,2,1.000,2,7,9,10,1,1,5,3,35,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bojan Bogdanović,19:39,6,10,.600,3,5,.600,0,0,,0,2,2,3,0,0,1,1,15,+1
Cade Cunningham,17:26,4,9,.444,1,3,.333,0,1,.000,0,2,2,7,0,0,2,2,9,0
Isaiah Livers,14:15,3,4,.750,1,2,.500,1,1,1.000,1,1,2,0,1,0,0,2,8,0
Jalen Duren,15:33,4,5,.800,0,0,,3,3,1.000,2,4,6,3,0,1,1,0,11,-2
Jaden Ivey,12:43,4,5,.800,2,2,1.000,0,0,,0,1,1,1,0,0,2,2,10,+4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Alec Burks,11:17,1,3,.333,1,2,.500,0,0,,0,2,2,1,0,0,1,0,3,-2
James Wiseman,8:27,2,5,.400,0,0,,0,0,,3,1,4,0,0,0,2,1,4,+4
Killian Hayes,6:34,1,1,1.000,0,0,,0,0,,0,2,2,3,0,1,0,0,2,+2
Kevin Knox,9:45,2,5,.400,0,2,.000,0,0,,1,0,1,2,0,0,0,0,4,+2
Ausar Thompson,4:21,1,4,.250,0,1,.000,0,0,,2,0,2,1,1,0,0,1,2,+1
Marvin Bagley III,Did Not Play
Joe Harris,Did Not Play
Marcus Sasser,Did Not Play
Team Totals,120,28,51,.549,8,17,.471,4,5,.800,9,15,24,21,2,2,9,9,68,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bojan Bogdanović,6:20,3,4,.750,3,4,.750,0,0,,0,0,0,1,0,0,0,3,9,+4
Cade Cunningham,8:37,6,7,.857,1,1,1.000,2,2,1.000,0,2,2,4,0,0,2,2,15,-3
Isaiah Livers,8:37,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3
Jalen Duren,7:04,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,1,0,2,-5
Jaden Ivey,8:37,0,2,.000,0,0,,1,2,.500,0,0,0,0,0,0,0,0,1,-3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Alec Burks,5:57,4,4,1.000,1,1,1.000,1,1,1.000,0,0,0,0,0,0,0,1,10,+1
James Wiseman,4:56,2,2,1.000,0,0,,0,0,,1,3,4,0,0,0,0,0,4,+8
Killian Hayes,3:23,0,2,.000,0,0,,0,0,,0,1,1,3,0,0,0,0,0,+6
Kevin Knox,3:06,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,+4
Ausar Thompson,3:23,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+6
Marvin Bagley III,Did Not Play
Joe Harris,Did Not Play
Marcus Sasser,Did Not Play
Team Totals,60,16,22,.727,5,6,.833,4,5,.800,1,7,8,8,0,0,3,7,41,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bojan Bogdanović,12:00,4,11,.364,2,5,.400,0,0,,1,2,3,1,1,0,0,0,10,-5
Cade Cunningham,8:34,1,2,.500,0,0,,0,0,,0,1,1,2,0,0,1,1,2,-4
Isaiah Livers,8:37,0,2,.000,0,2,.000,0,0,,0,0,0,0,1,0,1,1,0,-4
Jalen Duren,8:37,1,1,1.000,0,0,,2,2,1.000,2,1,3,0,0,0,0,0,4,-4
Jaden Ivey, 
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Alec Burks,12:00,4,7,.571,3,5,.600,2,2,1.000,0,1,1,0,0,0,1,2,13,-5
James Wiseman,3:23,0,0,,0,0,,0,0,,1,0,1,0,0,0,1,0,0,-1
Killian Hayes,3:26,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-1
Kevin Knox, 
Ausar Thompson,3:23,0,0,,0,0,,0,2,.000,0,1,1,0,0,1,0,1,0,-1
Marvin Bagley III,Did Not Play
Joe Harris,Did Not Play
Marcus Sasser,Did Not Play
Team Totals,60,10,23,.435,5,12,.417,4,6,.667,4,7,11,3,2,1,4,5,29,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bojan Bogdanović,18:20,7,15,.467,5,9,.556,0,0,,1,2,3,2,1,0,0,3,19,-1
Cade Cunningham,17:11,7,9,.778,1,1,1.000,2,2,1.000,0,3,3,6,0,0,3,3,17,-7
Isaiah Livers,17:14,0,2,.000,0,2,.000,0,0,,0,0,0,0,1,0,1,1,0,-7
Jalen Duren,15:41,2,2,1.000,0,0,,2,2,1.000,2,2,4,0,0,0,1,0,6,-9
Jaden Ivey,8:37,0,2,.000,0,0,,1,2,.500,0,0,0,0,0,0,0,0,1,-3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Alec Burks,17:57,8,11,.727,4,6,.667,3,3,1.000,0,1,1,0,0,0,1,3,23,-4
James Wiseman,8:19,2,2,1.000,0,0,,0,0,,2,3,5,0,0,0,1,0,4,+7
Killian Hayes,6:49,0,2,.000,0,0,,0,0,,0,2,2,3,0,0,0,0,0,+5
