,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dejounte Murray,34:20,13,19,.684,2,3,.667,2,2,1.000,0,1,1,2,0,0,1,0,30,-20
Saddiq Bey,30:06,2,7,.286,1,6,.167,4,4,1.000,3,1,4,2,0,0,1,1,9,-22
Jalen Johnson,29:02,5,11,.455,1,4,.250,1,1,1.000,1,7,8,3,1,0,0,1,12,-26
Trae Young,28:00,4,18,.222,1,11,.091,4,5,.800,0,2,2,6,2,0,3,2,13,-28
Clint Capela,19:27,4,9,.444,0,0,,1,2,.500,5,2,7,0,0,1,1,2,9,-22
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bogdan Bogdanović,23:22,3,14,.214,1,9,.111,9,10,.900,0,4,4,3,2,0,3,2,16,-18
Onyeka Okongwu,20:47,1,1,1.000,0,0,,1,2,.500,4,2,6,1,0,1,0,1,3,-8
Garrison Mathews,19:27,2,3,.667,2,3,.667,0,0,,1,2,3,2,0,0,1,1,6,-9
Trent Forrest,14:23,2,4,.500,0,1,.000,2,2,1.000,0,2,2,2,1,0,2,0,6,-11
Bruno Fernando,7:02,2,2,1.000,0,0,,2,2,1.000,0,2,2,0,0,1,0,1,6,-2
AJ Griffin,7:02,1,3,.333,1,3,.333,0,0,,0,0,0,0,0,0,2,0,3,-2
Seth Lundy,7:02,1,2,.500,1,2,.500,0,0,,0,0,0,0,0,0,0,0,3,-2
Wesley Matthews,Did Not Play
Patty Mills,Did Not Play
Team Totals,240,40,93,.430,10,42,.238,26,30,.867,14,25,39,21,6,3,14,11,116,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dejounte Murray,8:23,2,4,.500,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,5,-7
Saddiq Bey,8:23,1,2,.500,1,2,.500,0,0,,1,0,1,0,0,0,0,1,3,-7
Jalen Johnson,9:13,2,5,.400,1,2,.500,0,0,,0,2,2,1,1,0,0,0,5,-10
Trae Young,9:23,0,5,.000,0,3,.000,1,2,.500,0,2,2,3,1,0,1,1,1,-10
Clint Capela,8:23,1,5,.200,0,0,,0,0,,2,0,2,0,0,0,0,0,2,-7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bogdan Bogdanović,6:14,0,3,.000,0,2,.000,5,6,.833,0,2,2,2,0,0,1,1,5,-11
Onyeka Okongwu,3:37,0,0,,0,0,,0,0,,2,0,2,0,0,0,0,0,0,-7
Garrison Mathews,3:37,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,-7
Trent Forrest,2:47,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-4
Bruno Fernando, 
AJ Griffin, 
Seth Lundy, 
Wesley Matthews,Did Not Play
Patty Mills,Did Not Play
Team Totals,60,7,25,.280,4,11,.364,6,8,.750,5,6,11,6,2,0,2,3,24,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dejounte Murray,8:59,5,6,.833,1,1,1.000,1,1,1.000,0,0,0,0,0,0,1,0,12,-5
Saddiq Bey,8:59,1,3,.333,0,2,.000,2,2,1.000,1,0,1,1,0,0,0,0,4,-5
Jalen Johnson,8:10,2,3,.667,0,1,.000,0,0,,0,0,0,0,0,0,0,0,4,-11
Trae Young,8:10,2,7,.286,0,3,.000,0,0,,0,0,0,1,1,0,1,0,4,-11
Clint Capela,5:35,1,1,1.000,0,0,,1,2,.500,1,1,2,0,0,0,0,1,3,-6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bogdan Bogdanović,6:51,1,3,.333,0,1,.000,0,0,,0,1,1,1,2,0,0,1,2,-4
Onyeka Okongwu,6:25,0,0,,0,0,,1,2,.500,0,1,1,0,0,1,0,1,1,-4
