,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Marcus Smart,39:09,9,16,.563,8,14,.571,3,4,.750,1,1,2,5,1,0,3,2,29,+13
Desmond Bane,37:00,8,14,.571,5,8,.625,3,4,.750,0,5,5,13,1,0,3,2,24,+11
Ja Morant,34:37,7,17,.412,3,7,.429,4,5,.800,2,5,7,7,1,1,2,3,21,+15
Bismack Biyombo,31:15,3,3,1.000,0,0,,0,0,,1,9,10,1,0,0,2,2,6,+17
Jaren Jackson Jr.,29:30,11,14,.786,5,6,.833,4,4,1.000,0,9,9,1,0,3,3,5,31,+1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Luke Kennard,20:28,0,4,.000,0,3,.000,0,0,,1,2,3,4,1,0,0,0,0,0
Ziaire Williams,20:19,6,11,.545,2,6,.333,1,1,1.000,0,1,1,1,1,0,2,2,15,+10
Xavier Tillman Sr.,11:48,0,1,.000,0,0,,1,2,.500,1,4,5,1,2,0,1,3,1,+6
Santi Aldama,9:14,0,0,,0,0,,0,0,,0,0,0,0,1,0,1,0,0,-3
David Roddy,6:40,0,2,.000,0,1,.000,0,0,,0,2,2,0,0,0,0,1,0,0
John Konchar,Did Not Play
Derrick Rose,Did Not Dress
Team Totals,240,44,82,.537,23,45,.511,16,20,.800,6,38,44,33,8,4,17,20,127,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Marcus Smart,10:10,3,6,.500,2,4,.500,0,0,,0,1,1,1,0,0,0,1,8,-8
Desmond Bane,10:10,1,3,.333,0,1,.000,0,0,,0,0,0,3,0,0,1,1,2,-8
Ja Morant,9:17,4,5,.800,1,1,1.000,2,3,.667,0,2,2,2,0,0,0,1,11,+2
Bismack Biyombo,7:56,2,2,1.000,0,0,,0,0,,0,2,2,0,0,0,1,0,4,+1
Jaren Jackson Jr.,10:48,2,3,.667,0,0,,0,0,,0,2,2,0,0,0,1,0,4,-10
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Luke Kennard,4:33,0,2,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,-12
Ziaire Williams,1:50,0,0,,0,0,,0,0,,0,1,1,1,0,0,1,0,0,-1
Xavier Tillman Sr., 
Santi Aldama,5:16,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-9
David Roddy, 
John Konchar,Did Not Play
Derrick Rose,Did Not Dress
Team Totals,60,12,21,.571,3,7,.429,2,3,.667,0,8,8,8,0,0,5,3,29,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Marcus Smart,8:18,3,4,.750,3,4,.750,2,2,1.000,0,0,0,0,0,0,2,1,11,+9
Desmond Bane,7:53,2,3,.667,2,2,1.000,0,0,,0,3,3,4,1,0,0,0,6,+12
Ja Morant,6:15,0,2,.000,0,2,.000,0,0,,0,0,0,1,0,0,2,2,0,+1
Bismack Biyombo,4:20,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+4
Jaren Jackson Jr.,6:56,3,3,1.000,1,1,1.000,2,2,1.000,0,6,6,0,0,2,1,0,9,+9
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Luke Kennard,7:51,0,1,.000,0,1,.000,0,0,,1,1,2,0,0,0,0,0,0,+5
Ziaire Williams,4:07,1,3,.333,0,2,.000,1,1,1.000,0,0,0,0,0,0,1,1,3,-4
Xavier Tillman Sr.,7:40,0,1,.000,0,0,,0,0,,1,4,5,1,1,0,1,1,0,+4
Santi Aldama, 
David Roddy,6:40,0,2,.000,0,1,.000,0,0,,0,2,2,0,0,0,0,1,0,0
John Konchar,Did Not Play
Derrick Rose,Did Not Dress
Team Totals,60,9,19,.474,6,13,.462,5,5,1.000,2,16,18,6,2,2,7,6,29,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Marcus Smart,18:28,6,10,.600,5,8,.625,2,2,1.000,0,1,1,1,0,0,2,2,19,+1
Desmond Bane,18:03,3,6,.500,2,3,.667,0,0,,0,3,3,7,1,0,1,1,8,+4
Ja Morant,15:32,4,7,.571,1,3,.333,2,3,.667,0,2,2,3,0,0,2,3,11,+3
Bismack Biyombo,12:16,2,2,1.000,0,0,,0,0,,0,2,2,0,0,0,1,0,4,+5
Jaren Jackson Jr.,17:44,5,6,.833,1,1,1.000,2,2,1.000,0,8,8,0,0,2,2,0,13,-1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Luke Kennard,12:24,0,3,.000,0,2,.000,0,0,,1,1,2,1,0,0,0,0,0,-7
Ziaire Williams,5:57,1,3,.333,0,2,.000,1,1,1.000,0,1,1,1,0,0,2,1,3,-5
Xavier Tillman Sr.,7:40,0,1,.000,0,0,,0,0,,1,4,5,1,1,0,1,1,0,+4
Santi Aldama,5:16,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-9
David Roddy,6:40,0,2,.000,0,1,.000,0,0,,0,2,2,0,0,0,0,1,0,0
John Konchar,Did Not Play
Derrick Rose,Did Not Dress
Team Totals,120,21,40,.525,9,20,.450,7,8,.875,2,24,26,14,2,2,12,9,58,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Marcus Smart,8:41,1,4,.250,1,4,.250,0,0,,0,0,0,1,0,0,1,0,3,-2
Desmond Bane,10:17,2,5,.400,1,3,.333,1,2,.500,0,2,2,5,0,0,1,0,6,-2
Ja Morant,9:06,3,6,.500,2,2,1.000,2,2,1.000,1,2,3,1,0,0,0,0,10,+2
Bismack Biyombo,11:07,1,1,1.000,0,0,,0,0,,1,2,3,1,0,0,1,2,2,0
Jaren Jackson Jr.,8:48,4,6,.667,3,4,.750,2,2,1.000,0,1,1,1,0,1,1,4,13,-4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Luke Kennard,4:44,0,0,,0,0,,0,0,,0,0,0,2,1,0,0,0,0,+2
Ziaire Williams,3:19,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2,+3
Xavier Tillman Sr., 
Santi Aldama,3:58,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,+6
David Roddy, 
John Konchar,Did Not Play
Derrick Rose,Did Not Dress
Team Totals,60,12,24,.500,7,14,.500,5,6,.833,2,7,9,11,2,1,4,6,36,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Marcus Smart,12:00,2,2,1.000,2,2,1.000,1,2,.500,1,0,1,3,1,0,0,0,7,+14
Desmond Bane,8:40,3,3,1.000,2,2,1.000,2,2,1.000,0,0,0,1,0,0,1,1,10,+9
Ja Morant,9:59,0,4,.000,0,2,.000,0,0,,1,1,2,3,1,1,0,0,0,+10
Bismack Biyombo,7:52,0,0,,0,0,,0,0,,0,5,5,0,0,0,0,0,0,+12
Jaren Jackson Jr.,2:58,2,2,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,1,5,+6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Luke Kennard,3:20,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,0,0,+5
Ziaire Williams,11:03,4,6,.667,2,3,.667,0,0,,0,0,0,0,1,0,0,1,10,+12
Xavier Tillman Sr.,4:08,0,0,,0,0,,1,2,.500,0,0,0,0,1,0,0,2,1,+2
Santi Aldama, 
David Roddy, 
John Konchar,Did Not Play
Derrick Rose,Did Not Dress
Team Totals,60,11,18,.611,7,11,.636,4,6,.667,2,7,9,8,4,1,1,5,33,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Marcus Smart,20:41,3,6,.500,3,6,.500,1,2,.500,1,0,1,4,1,0,1,0,10,+12
Desmond Bane,18:57,5,8,.625,3,5,.600,3,4,.750,0,2,2,6,0,0,2,1,16,+7
Ja Morant,19:05,3,10,.300,2,4,.500,2,2,1.000,2,3,5,4,1,1,0,0,10,+12
Bismack Biyombo,18:59,1,1,1.000,0,0,,0,0,,1,7,8,1,0,0,1,2,2,+12
Jaren Jackson Jr.,11:46,6,8,.750,4,5,.800,2,2,1.000,0,1,1,1,0,1,1,5,18,+2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Luke Kennard,8:04,0,1,.000,0,1,.000,0,0,,0,1,1,3,1,0,0,0,0,+7
Ziaire Williams,14:22,5,8,.625,2,4,.500,0,0,,0,0,0,0,1,0,0,1,12,+15
Xavier Tillman Sr.,4:08,0,0,,0,0,,1,2,.500,0,0,0,0,1,0,0,2,1,+2
Santi Aldama,3:58,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,+6
David Roddy, 
John Konchar,Did Not Play
Derrick Rose,Did Not Dress
Team Totals,120,23,42,.548,14,25,.560,9,12,.750,4,14,18,19,6,2,5,11,69,
,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Marcus Smart,39:09,.816,.813,.875,.250,3.7,2.7,3.1,18.6,1.2,0.0,14.5,23.6,138,117,5.2
Desmond Bane,37:00,.761,.750,.571,.286,0.0,14.1,8.2,50.2,1.3,0.0,16.0,22.6,149,115,9.6
Ja Morant,34:37,.547,.500,.412,.294,8.4,15.1,12.3,28.3,1.4,2.4,9.4,27.3,122,112,-0.4
Bismack Biyombo,31:15,1.000,1.000,.000,.000,4.7,30.1,19.4,3.9,0.0,0.0,40.0,7.1,117,115,-3.1
Jaren Jackson Jr.,29:30,.984,.964,.429,.286,0.0,31.8,18.5,6.2,0.0,8.6,16.0,28.3,146,107,13.2
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Luke Kennard,20:28,.000,.000,.750,.000,7.1,10.2,8.9,21.3,2.3,0.0,0.0,8.7,88,113,-7.3
Ziaire Williams,20:19,.656,.636,.545,.091,0.0,5.1,3.0,7.9,2.4,0.0,14.9,29.5,104,114,-4.3
Xavier Tillman Sr.,11:48,.266,.000,.000,2.000,12.3,35.4,25.7,9.2,8.1,0.0,34.7,10.9,83,95,-2.5
Santi Aldama,9:14,,,,,0.0,0.0,0.0,0.0,5.2,0.0,100.0,4.8,0,109,-6.5
David Roddy,6:40,.000,.000,.500,.000,0.0,31.3,18.2,0.0,0.0,0.0,0.0,13.4,0,114,-22.2
John Konchar,Did Not Play
Derrick Rose,Did Not Dress
Team Totals,240,.699,.677,.549,.244,18.2,82.6,55.7,75.0,8.0,7.0,15.8,100.0,126.7,112.8,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Davis,40:58,13,22,.591,0,3,.000,5,7,.714,3,3,6,4,0,2,4,4,31,-10
Austin Reaves,40:00,8,14,.571,0,3,.000,3,4,.750,0,7,7,12,2,0,1,4,19,-23
LeBron James,38:50,11,24,.458,4,9,.444,6,10,.600,2,3,5,7,5,0,4,0,32,-8
Taurean Prince,34:53,3,9,.333,3,7,.429,1,2,.500,1,1,2,2,2,1,1,3,10,-19
Cam Reddish,32:00,3,8,.375,2,3,.667,0,0,,1,1,2,0,1,0,0,0,8,-20
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Max Christie,20:16,1,3,.333,0,1,.000,0,0,,0,3,3,0,1,0,2,2,2,+1
Jarred Vanderbilt,16:44,0,0,,0,0,,0,0,,1,4,5,1,1,0,0,1,0,+3
Christian Wood,16:19,3,5,.600,1,2,.500,4,4,1.000,0,5,5,0,1,0,1,0,11,+6
Alex Fudge,Did Not Play
Jaxson Hayes,Did Not Play
D'Moi Hodge,Did Not Play
Jalen Hood-Schifino,Did Not Play
Maxwell Lewis,Did Not Play
Team Totals,240,42,85,.494,10,28,.357,19,27,.704,8,27,35,26,13,3,13,14,113,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Davis,12:00,5,7,.714,0,0,,2,2,1.000,1,0,1,1,0,1,1,1,12,+9
Austin Reaves,8:34,2,5,.400,0,1,.000,1,1,1.000,0,3,3,3,1,0,0,2,5,+1
LeBron James,10:10,5,7,.714,4,4,1.000,0,0,,0,0,0,4,2,0,1,0,14,+8
Taurean Prince,7:27,0,1,.000,0,1,.000,0,0,,1,0,1,1,0,0,0,0,0,-3
Cam Reddish,6:44,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Max Christie,5:16,0,0,,0,0,,0,0,,0,1,1,0,1,0,0,0,0,+9
Jarred Vanderbilt,5:16,0,0,,0,0,,0,0,,0,2,2,1,1,0,0,0,0,+9
Christian Wood,4:33,3,3,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,7,+12
Alex Fudge,Did Not Play
Jaxson Hayes,Did Not Play
D'Moi Hodge,Did Not Play
Jalen Hood-Schifino,Did Not Play
Maxwell Lewis,Did Not Play
Team Totals,60,15,25,.600,5,7,.714,3,3,1.000,2,7,9,10,5,1,2,3,38,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Davis,8:18,2,6,.333,0,2,.000,0,1,.000,2,0,2,1,0,0,1,1,4,-9
Austin Reaves,10:20,2,4,.500,0,1,.000,0,1,.000,0,3,3,4,1,0,1,0,4,-8
LeBron James,9:24,2,8,.250,0,1,.000,0,0,,1,0,1,0,0,0,0,0,4,-3
Taurean Prince,8:36,2,5,.400,2,3,.667,0,0,,0,0,0,0,2,0,0,1,6,-9
Cam Reddish,8:36,1,2,.500,1,2,.500,0,0,,0,0,0,0,1,0,0,0,3,-9
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Max Christie,7:40,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-4
Jarred Vanderbilt,3:24,0,0,,0,0,,0,0,,1,1,2,0,0,0,0,1,0,+1
Christian Wood,3:42,0,1,.000,0,0,,0,0,,0,2,2,0,1,0,0,0,0,+1
Alex Fudge,Did Not Play
Jaxson Hayes,Did Not Play
D'Moi Hodge,Did Not Play
Jalen Hood-Schifino,Did Not Play
Maxwell Lewis,Did Not Play
Team Totals,60,9,28,.321,3,10,.300,0,2,.000,4,7,11,5,5,0,2,3,21,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Davis,20:18,7,13,.538,0,2,.000,2,3,.667,3,0,3,2,0,1,2,2,16,0
Austin Reaves,18:54,4,9,.444,0,2,.000,1,2,.500,0,6,6,7,2,0,1,2,9,-7
LeBron James,19:34,7,15,.467,4,5,.800,0,0,,1,0,1,4,2,0,1,0,18,+5
Taurean Prince,16:03,2,6,.333,2,4,.500,0,0,,1,0,1,1,2,0,0,1,6,-12
Cam Reddish,15:20,1,4,.250,1,2,.500,0,0,,0,0,0,0,1,0,0,0,3,-9
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Max Christie,12:56,0,2,.000,0,1,.000,0,0,,0,2,2,0,1,0,0,0,0,+5
Jarred Vanderbilt,8:40,0,0,,0,0,,0,0,,1,3,4,1,1,0,0,1,0,+10
Christian Wood,8:15,3,4,.750,1,1,1.000,0,0,,0,3,3,0,1,0,0,0,7,+13
Alex Fudge,Did Not Play
Jaxson Hayes,Did Not Play
D'Moi Hodge,Did Not Play
Jalen Hood-Schifino,Did Not Play
Maxwell Lewis,Did Not Play
Team Totals,120,24,53,.453,8,17,.471,3,5,.600,6,14,20,15,10,1,4,6,59,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Davis,12:00,3,5,.600,0,0,,3,4,.750,0,2,2,2,0,0,1,1,9,-1
Austin Reaves,9:06,3,3,1.000,0,0,,1,1,1.000,0,1,1,3,0,0,0,1,7,-2
LeBron James,7:16,2,5,.400,0,2,.000,4,4,1.000,0,2,2,1,2,0,0,0,8,+1
Taurean Prince,10:10,1,2,.500,1,2,.500,1,2,.500,0,1,1,0,0,1,1,1,4,+2
Cam Reddish,7:16,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,3,+1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Max Christie,4:44,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,1,2,-2
Jarred Vanderbilt,4:44,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Christian Wood,4:44,0,0,,0,0,,2,2,1.000,0,2,2,0,0,0,1,0,2,-2
Alex Fudge,Did Not Play
Jaxson Hayes,Did Not Play
D'Moi Hodge,Did Not Play
Jalen Hood-Schifino,Did Not Play
Maxwell Lewis,Did Not Play
Team Totals,60,11,17,.647,2,5,.400,11,13,.846,0,9,9,6,2,1,4,4,35,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Davis,8:40,3,4,.750,0,1,.000,0,0,,0,1,1,0,0,1,1,1,6,-9
Austin Reaves,12:00,1,2,.500,0,1,.000,1,1,1.000,0,0,0,2,0,0,0,1,3,-14
LeBron James,12:00,2,4,.500,0,2,.000,2,6,.333,1,1,2,2,1,0,3,0,6,-14
Taurean Prince,8:40,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,1,0,-9
Cam Reddish,9:24,1,3,.333,0,0,,0,0,,1,0,1,0,0,0,0,0,2,-12
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Max Christie,2:36,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,1,0,-2
Jarred Vanderbilt,3:20,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-5
Christian Wood,3:20,0,1,.000,0,1,.000,2,2,1.000,0,0,0,0,0,0,0,0,2,-5
Alex Fudge,Did Not Play
Jaxson Hayes,Did Not Play
D'Moi Hodge,Did Not Play
Jalen Hood-Schifino,Did Not Play
Maxwell Lewis,Did Not Play
Team Totals,60,7,15,.467,0,6,.000,5,9,.556,2,4,6,5,1,1,5,4,19,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Davis,20:40,6,9,.667,0,1,.000,3,4,.750,0,3,3,2,0,1,2,2,15,-10
