,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Paul George,29:39,9,15,.600,6,10,.600,0,0,,0,7,7,1,0,1,2,2,24,+22
Kawhi Leonard,29:35,7,15,.467,2,4,.500,3,4,.750,2,7,9,2,1,1,2,1,19,+6
James Harden,29:00,2,7,.286,1,6,.167,3,3,1.000,0,3,3,13,0,0,1,2,8,+18
Ivica Zubac,23:25,6,7,.857,0,0,,3,4,.750,0,8,8,2,0,2,1,3,15,+18
Terance Mann,16:33,2,3,.667,2,3,.667,2,2,1.000,1,2,3,1,1,0,0,2,8,+11
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Norman Powell,25:00,5,13,.385,3,6,.500,0,0,,0,3,3,2,1,0,0,1,13,+36
Russell Westbrook,21:52,3,6,.500,1,3,.333,1,2,.500,2,3,5,5,2,2,4,2,8,+7
Amir Coffey,20:54,2,4,.500,0,2,.000,0,0,,1,2,3,0,1,0,2,1,4,0
Daniel Theis,17:24,1,3,.333,0,1,.000,0,0,,2,3,5,0,0,0,1,1,2,+13
Mason Plumlee,7:11,2,2,1.000,0,0,,4,5,.800,1,1,2,0,0,0,0,1,8,-15
Brandon Boston Jr.,6:29,1,3,.333,0,0,,0,0,,1,1,2,1,0,0,1,1,2,-12
Kobe Brown,6:29,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-12
Bones Hyland,6:29,0,3,.000,0,0,,0,0,,0,0,0,1,0,1,0,1,0,-12
P.J. Tucker,Did Not Play
Team Totals,240,40,82,.488,15,36,.417,16,20,.800,10,40,50,28,6,7,14,18,111,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Paul George,12:00,3,5,.600,1,2,.500,0,0,,0,1,1,0,0,0,0,0,7,0
Kawhi Leonard,8:33,1,5,.200,0,2,.000,0,0,,1,2,3,1,1,0,0,0,2,-8
James Harden,9:27,0,3,.000,0,3,.000,3,3,1.000,0,0,0,1,0,0,1,1,3,-6
Ivica Zubac,5:14,1,2,.500,0,0,,1,2,.500,0,3,3,0,0,0,0,1,3,+1
Terance Mann,5:14,1,2,.500,1,2,.500,0,0,,1,0,1,0,0,0,0,1,3,+1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Norman Powell,3:27,2,3,.667,1,2,.500,0,0,,0,0,0,1,0,0,0,0,5,+8
Russell Westbrook,6:46,1,1,1.000,0,0,,1,2,.500,1,0,1,2,2,1,0,0,3,-1
Amir Coffey,2:33,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+6
Daniel Theis,6:46,0,1,.000,0,1,.000,0,0,,0,3,3,0,0,0,0,1,0,-1
Mason Plumlee, 
