,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Immanuel Quickley,37:30,6,17,.353,4,12,.333,4,4,1.000,0,5,5,8,0,0,3,1,20,-3
Pascal Siakam,37:25,6,11,.545,0,0,,6,7,.857,1,3,4,9,2,1,2,3,18,+5
Scottie Barnes,35:03,8,15,.533,4,8,.500,0,0,,0,4,4,6,1,2,5,2,20,-23
RJ Barrett,27:13,4,8,.500,2,4,.500,4,4,1.000,1,3,4,2,0,1,0,2,14,-19
Jakob Poeltl,22:31,7,10,.700,0,0,,0,0,,1,5,6,2,0,3,3,6,14,+12
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dennis Schröder,31:54,7,11,.636,0,4,.000,4,5,.800,1,1,2,3,1,1,0,1,18,+12
Chris Boucher,27:41,5,9,.556,1,5,.200,3,5,.600,3,6,9,1,1,1,0,2,14,+1
Jontay Porter,13:26,3,4,.750,2,3,.667,2,2,1.000,1,2,3,0,0,1,1,2,10,-5
Jalen McDaniels,7:17,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,1,2,-5
Garrett Temple,Did Not Play
Gary Trent Jr.,Did Not Dress
Thaddeus Young,Did Not Play
Team Totals,240,47,87,.540,13,37,.351,23,27,.852,8,29,37,31,5,10,14,20,130,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Immanuel Quickley,9:35,0,3,.000,0,2,.000,2,2,1.000,0,2,2,0,0,0,0,0,2,-3
Pascal Siakam,9:27,2,5,.400,0,0,,2,2,1.000,1,0,1,1,1,0,0,0,6,-3
Scottie Barnes,10:42,2,4,.500,1,2,.500,0,0,,0,2,2,1,0,0,1,0,5,-9
RJ Barrett,11:02,2,2,1.000,1,1,1.000,2,2,1.000,1,2,3,1,0,1,0,0,7,-11
Jakob Poeltl,5:16,0,2,.000,0,0,,0,0,,1,1,2,0,0,2,2,2,0,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dennis Schröder,3:43,1,1,1.000,0,0,,3,3,1.000,0,0,0,0,0,0,0,0,5,-6
Chris Boucher,0:23,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Jontay Porter,6:20,0,1,.000,0,1,.000,2,2,1.000,0,0,0,0,0,0,1,1,2,-7
Jalen McDaniels,3:31,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-4
Garrett Temple,Did Not Play
Gary Trent Jr.,Did Not Dress
Thaddeus Young,Did Not Play
Team Totals,60,7,19,.368,2,7,.286,11,11,1.000,3,7,10,3,1,3,4,4,27,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Immanuel Quickley,7:48,2,3,.667,1,2,.500,0,0,,0,2,2,2,0,0,1,1,5,-8
Pascal Siakam,8:14,0,2,.000,0,0,,0,0,,0,2,2,3,1,0,0,0,0,-10
Scottie Barnes,7:26,1,2,.500,1,1,1.000,0,0,,0,1,1,1,0,0,2,0,3,-14
RJ Barrett,7:26,1,3,.333,0,2,.000,2,2,1.000,0,1,1,1,0,0,0,1,4,-14
Jakob Poeltl,6:21,3,4,.750,0,0,,0,0,,0,0,0,0,0,0,0,0,6,+1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dennis Schröder,8:46,3,5,.600,0,2,.000,0,0,,0,0,0,1,0,0,0,0,6,0
Chris Boucher,10:13,1,3,.333,1,3,.333,1,2,.500,0,3,3,0,1,0,0,1,4,-9
Jontay Porter, 
Jalen McDaniels,3:46,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,-1
Garrett Temple,Did Not Play
Gary Trent Jr.,Did Not Dress
Thaddeus Young,Did Not Play
Team Totals,60,12,23,.522,3,10,.300,3,4,.750,0,9,9,8,2,0,3,3,30,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Immanuel Quickley,17:23,2,6,.333,1,4,.250,2,2,1.000,0,4,4,2,0,0,1,1,7,-11
Pascal Siakam,17:41,2,7,.286,0,0,,2,2,1.000,1,2,3,4,2,0,0,0,6,-13
Scottie Barnes,18:08,3,6,.500,2,3,.667,0,0,,0,3,3,2,0,0,3,0,8,-23
RJ Barrett,18:28,3,5,.600,1,3,.333,4,4,1.000,1,3,4,2,0,1,0,1,11,-25
Jakob Poeltl,11:37,3,6,.500,0,0,,0,0,,1,1,2,0,0,2,2,2,6,-1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dennis Schröder,12:29,4,6,.667,0,2,.000,3,3,1.000,0,0,0,1,0,0,0,0,11,-6
Chris Boucher,10:36,1,3,.333,1,3,.333,1,2,.500,0,3,3,0,1,0,0,1,4,-9
Jontay Porter,6:20,0,1,.000,0,1,.000,2,2,1.000,0,0,0,0,0,0,1,1,2,-7
Jalen McDaniels,7:17,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,1,2,-5
Garrett Temple,Did Not Play
Gary Trent Jr.,Did Not Dress
Thaddeus Young,Did Not Play
Team Totals,120,19,42,.452,5,17,.294,14,15,.933,3,16,19,11,3,3,7,7,57,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Immanuel Quickley,8:07,1,3,.333,1,2,.500,0,0,,0,0,0,1,0,0,1,0,3,+3
Pascal Siakam,12:00,3,3,1.000,0,0,,4,5,.800,0,0,0,4,0,0,1,0,10,+10
Scottie Barnes,8:24,3,5,.600,1,2,.500,0,0,,0,0,0,2,1,1,1,0,7,+3
RJ Barrett,5:51,1,3,.333,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,+8
Jakob Poeltl,6:17,2,2,1.000,0,0,,0,0,,0,1,1,2,0,1,0,2,4,+1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dennis Schröder,10:19,3,3,1.000,0,0,,0,0,,1,0,1,2,1,1,0,1,6,+11
Chris Boucher,5:25,1,2,.500,0,1,.000,0,0,,0,2,2,0,0,0,0,0,2,+7
Jontay Porter,3:35,2,2,1.000,1,1,1.000,0,0,,0,2,2,0,0,0,0,0,5,+7
Jalen McDaniels, 
Garrett Temple,Did Not Play
Gary Trent Jr.,Did Not Dress
Thaddeus Young,Did Not Play
Team Totals,60,16,23,.696,4,7,.571,4,5,.800,1,5,6,11,2,3,3,3,40,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Immanuel Quickley,12:00,3,8,.375,2,6,.333,2,2,1.000,0,1,1,5,0,0,1,0,10,+5
Pascal Siakam,7:44,1,1,1.000,0,0,,0,0,,0,1,1,1,0,1,1,3,2,+8
Scottie Barnes,8:31,2,4,.500,1,3,.333,0,0,,0,1,1,2,0,1,1,2,5,-3
RJ Barrett,2:54,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-2
Jakob Poeltl,4:37,2,2,1.000,0,0,,0,0,,0,3,3,0,0,0,1,2,4,+12
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dennis Schröder,9:06,0,2,.000,0,2,.000,1,2,.500,0,1,1,0,0,0,0,0,1,+7
Chris Boucher,11:39,3,4,.750,0,1,.000,2,3,.667,3,1,4,1,0,1,0,1,8,+3
Jontay Porter,3:29,1,1,1.000,1,1,1.000,0,0,,1,0,1,0,0,1,0,1,3,-5
Jalen McDaniels, 
Garrett Temple,Did Not Play
Gary Trent Jr.,Did Not Dress
Thaddeus Young,Did Not Play
Team Totals,60,12,22,.545,4,13,.308,5,7,.714,4,8,12,9,0,4,4,10,33,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Immanuel Quickley,20:07,4,11,.364,3,8,.375,2,2,1.000,0,1,1,6,0,0,2,0,13,+8
Pascal Siakam,19:44,4,4,1.000,0,0,,4,5,.800,0,1,1,5,0,1,2,3,12,+18
Scottie Barnes,16:55,5,9,.556,2,5,.400,0,0,,0,1,1,4,1,2,2,2,12,0
RJ Barrett,8:45,1,3,.333,1,1,1.000,0,0,,0,0,0,0,0,0,0,1,3,+6
Jakob Poeltl,10:54,4,4,1.000,0,0,,0,0,,0,4,4,2,0,1,1,4,8,+13
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dennis Schröder,19:25,3,5,.600,0,2,.000,1,2,.500,1,1,2,2,1,1,0,1,7,+18
Chris Boucher,17:04,4,6,.667,0,2,.000,2,3,.667,3,3,6,1,0,1,0,1,10,+10
Jontay Porter,7:04,3,3,1.000,2,2,1.000,0,0,,1,2,3,0,0,1,0,1,8,+2
Jalen McDaniels, 
Garrett Temple,Did Not Play
Gary Trent Jr.,Did Not Dress
Thaddeus Young,Did Not Play
