,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Lauri Markkanen,34:59,12,19,.632,5,9,.556,4,5,.800,4,9,13,1,0,1,1,2,33,+8
Simone Fontecchio,32:51,3,9,.333,1,6,.167,0,0,,1,6,7,2,1,0,4,1,7,+6
John Collins,27:52,9,10,.900,0,0,,1,2,.500,1,4,5,2,0,1,1,1,19,+7
Collin Sexton,27:07,9,14,.643,1,3,.333,3,4,.750,1,2,3,10,0,0,5,3,22,+7
Kris Dunn,23:14,0,1,.000,0,1,.000,0,0,,0,5,5,1,1,2,1,3,0,+8
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jordan Clarkson,30:39,5,14,.357,0,6,.000,8,9,.889,0,5,5,6,1,0,5,0,18,+1
Walker Kessler,19:07,4,4,1.000,0,0,,2,2,1.000,1,3,4,0,1,0,0,2,10,+5
Keyonte George,16:01,2,4,.500,0,2,.000,2,2,1.000,0,2,2,3,0,0,2,2,6,+5
Kelly Olynyk,15:09,2,3,.667,1,1,1.000,0,0,,0,1,1,4,0,0,3,3,5,+5
Ochai Agbaji,13:01,0,2,.000,0,2,.000,0,0,,1,2,3,1,0,0,1,1,0,+3
Talen Horton-Tucker,Did Not Play
Luka Šamanić,Did Not Play
Omer Yurtseven,Did Not Play
Team Totals,240,46,80,.575,8,30,.267,20,24,.833,9,39,48,30,4,4,23,18,120,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Lauri Markkanen,9:15,4,6,.667,1,1,1.000,1,1,1.000,2,3,5,0,0,0,0,1,10,+3
Simone Fontecchio,9:15,1,3,.333,1,3,.333,0,0,,1,2,3,1,1,0,1,0,3,+3
John Collins,6:00,3,3,1.000,0,0,,0,0,,0,1,1,1,0,1,1,0,6,+3
Collin Sexton,6:13,1,2,.500,0,0,,2,2,1.000,0,0,0,2,0,0,2,1,4,+1
Kris Dunn,6:13,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,1,0,+1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jordan Clarkson,5:47,2,4,.500,0,1,.000,1,1,1.000,0,0,0,2,0,0,0,0,5,+3
Walker Kessler,6:00,2,2,1.000,0,0,,0,0,,0,1,1,0,0,0,0,1,4,+1
Keyonte George,5:47,0,0,,0,0,,0,0,,0,2,2,0,0,0,2,0,0,+3
Kelly Olynyk,2:45,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,0,0,+1
Ochai Agbaji,2:45,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+1
Talen Horton-Tucker,Did Not Play
Luka Šamanić,Did Not Play
Omer Yurtseven,Did Not Play
Team Totals,60,13,20,.650,2,5,.400,4,4,1.000,3,10,13,8,1,1,7,4,32,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Lauri Markkanen,8:01,2,3,.667,0,1,.000,2,2,1.000,0,2,2,0,0,0,0,1,6,-1
Simone Fontecchio,6:28,0,1,.000,0,1,.000,0,0,,0,2,2,1,0,0,1,0,0,0
John Collins,8:01,4,5,.800,0,0,,1,2,.500,0,1,1,0,0,0,0,1,9,-1
Collin Sexton,6:28,2,4,.500,0,1,.000,0,0,,0,0,0,3,0,0,1,1,4,0
Kris Dunn,8:29,0,1,.000,0,1,.000,0,0,,0,2,2,0,1,1,1,0,0,+1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
