,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anfernee Simons,45:23,13,25,.520,5,10,.500,7,8,.875,0,4,4,11,0,0,2,2,38,+7
Jerami Grant,42:27,11,24,.458,3,7,.429,2,2,1.000,0,2,2,1,1,1,0,2,27,0
Duop Reath,40:46,5,10,.500,3,4,.750,2,3,.667,3,10,13,1,1,3,1,4,15,+4
Scoot Henderson,29:33,3,8,.375,2,3,.667,2,2,1.000,1,2,3,4,0,0,2,2,10,-12
Toumani Camara,28:31,1,4,.250,0,2,.000,3,4,.750,1,5,6,1,1,0,2,4,5,0
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Shaedon Sharpe,40:10,7,14,.500,3,6,.500,4,7,.571,0,1,1,1,2,1,0,2,21,+14
Malcolm Brogdon,21:41,5,8,.625,4,6,.667,4,4,1.000,1,2,3,2,0,0,0,0,18,+17
Ibou Badji,9:20,0,0,,0,0,,0,0,,2,1,3,0,0,0,0,3,0,+3
Kris Murray,7:09,0,2,.000,0,0,,0,0,,1,2,3,0,0,0,2,1,0,+2
Justin Minaya,Did Not Play
Rayan Rupert,Did Not Play
Jabari Walker,Did Not Play
Team Totals,265,45,95,.474,20,38,.526,24,30,.800,9,29,38,21,5,5,9,20,134,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anfernee Simons,12:00,3,7,.429,0,1,.000,0,0,,0,2,2,3,0,0,0,1,6,-4
Jerami Grant,8:23,3,5,.600,0,0,,0,0,,0,2,2,0,0,0,0,0,6,-7
Duop Reath,6:02,0,4,.000,0,1,.000,0,0,,1,0,1,0,0,0,1,2,0,-5
Scoot Henderson,8:23,1,2,.500,1,1,1.000,0,0,,0,1,1,1,0,0,0,0,3,-7
Toumani Camara,7:23,0,0,,0,0,,3,4,.750,0,0,0,0,1,0,0,1,3,-3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Shaedon Sharpe,6:44,1,2,.500,1,1,1.000,0,0,,0,0,0,0,1,0,0,0,3,+3
Malcolm Brogdon,3:37,1,1,1.000,1,1,1.000,2,2,1.000,0,0,0,0,0,0,0,0,5,+3
Ibou Badji,3:51,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,2,0,-3
Kris Murray,3:37,0,0,,0,0,,0,0,,0,1,1,0,0,0,2,1,0,+3
Justin Minaya,Did Not Play
Rayan Rupert,Did Not Play
Jabari Walker,Did Not Play
Team Totals,60,9,21,.429,3,5,.600,5,6,.833,2,6,8,4,2,0,3,7,26,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anfernee Simons,7:39,3,4,.750,1,1,1.000,0,0,,0,0,0,1,0,0,1,0,7,+2
Jerami Grant,9:00,2,6,.333,1,2,.500,0,0,,0,0,0,0,1,0,0,1,5,+4
Duop Reath,8:00,1,1,1.000,1,1,1.000,1,2,.500,0,2,2,1,1,1,0,0,4,-3
Scoot Henderson,9:10,1,3,.333,1,2,.500,0,0,,0,1,1,0,0,0,1,2,3,+1
Toumani Camara,5:25,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,1,0,0,+3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Shaedon Sharpe,9:35,1,5,.200,0,2,.000,3,4,.750,0,0,0,1,0,0,0,1,5,-3
Malcolm Brogdon,4:21,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,0,0,0
Ibou Badji,4:00,0,0,,0,0,,0,0,,1,1,2,0,0,0,0,0,0,+5
Kris Murray,2:50,0,2,.000,0,0,,0,0,,1,1,2,0,0,0,0,0,0,+1
Justin Minaya,Did Not Play
Rayan Rupert,Did Not Play
Jabari Walker,Did Not Play
Team Totals,60,8,23,.348,4,10,.400,4,6,.667,2,7,9,4,2,1,3,4,24,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anfernee Simons,19:39,6,11,.545,1,2,.500,0,0,,0,2,2,4,0,0,1,1,13,-2
Jerami Grant,17:23,5,11,.455,1,2,.500,0,0,,0,2,2,0,1,0,0,1,11,-3
Duop Reath,14:02,1,5,.200,1,2,.500,1,2,.500,1,2,3,1,1,1,1,2,4,-8
Scoot Henderson,17:33,2,5,.400,2,3,.667,0,0,,0,2,2,1,0,0,1,2,6,-6
Toumani Camara,12:48,0,1,.000,0,1,.000,3,4,.750,0,1,1,0,1,0,1,1,3,0
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Shaedon Sharpe,16:19,2,7,.286,1,3,.333,3,4,.750,0,0,0,1,1,0,0,1,8,0
Malcolm Brogdon,7:58,1,2,.500,1,2,.500,2,2,1.000,0,1,1,1,0,0,0,0,5,+3
Ibou Badji,7:51,0,0,,0,0,,0,0,,2,1,3,0,0,0,0,2,0,+2
Kris Murray,6:27,0,2,.000,0,0,,0,0,,1,2,3,0,0,0,2,1,0,+4
Justin Minaya,Did Not Play
Rayan Rupert,Did Not Play
Jabari Walker,Did Not Play
Team Totals,120,17,44,.386,7,15,.467,9,12,.750,4,13,17,8,4,1,6,11,50,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anfernee Simons,8:44,2,5,.400,2,4,.500,0,0,,0,0,0,0,0,0,0,0,6,-6
Jerami Grant,12:00,4,6,.667,2,3,.667,2,2,1.000,0,0,0,1,0,0,0,1,12,-6
Duop Reath,9:49,2,3,.667,2,2,1.000,0,0,,0,2,2,0,0,0,0,0,6,-5
Scoot Henderson,12:00,1,3,.333,0,0,,2,2,1.000,1,0,1,3,0,0,1,0,4,-6
Toumani Camara,5:09,1,2,.500,0,0,,0,0,,1,3,4,0,0,0,1,3,2,-5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Shaedon Sharpe,6:51,2,3,.667,1,2,.500,0,1,.000,0,0,0,0,0,0,0,1,5,-1
Malcolm Brogdon,3:16,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,0
Ibou Badji,1:29,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,+1
Kris Murray,0:42,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Justin Minaya,Did Not Play
Rayan Rupert,Did Not Play
Jabari Walker,Did Not Play
Team Totals,60,12,24,.500,7,12,.583,4,5,.800,2,5,7,4,0,0,2,6,35,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anfernee Simons,12:00,4,8,.500,2,4,.500,3,4,.750,0,1,1,4,0,0,1,1,13,+8
Jerami Grant,8:04,0,4,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,+2
Duop Reath,11:55,2,2,1.000,0,0,,1,1,1.000,2,3,5,0,0,1,0,0,5,+10
Scoot Henderson, 
Toumani Camara,10:34,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,0,0,+5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Shaedon Sharpe,12:00,3,4,.750,1,1,1.000,0,0,,0,1,1,0,0,1,0,0,7,+8
Malcolm Brogdon,5:27,1,1,1.000,1,1,1.000,2,2,1.000,1,1,2,1,0,0,0,0,5,+7
Ibou Badji, 
Kris Murray, 
Justin Minaya,Did Not Play
Rayan Rupert,Did Not Play
Jabari Walker,Did Not Play
Team Totals,60,10,20,.500,4,8,.500,6,7,.857,3,7,10,6,0,2,1,1,30,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anfernee Simons,20:44,6,13,.462,4,8,.500,3,4,.750,0,1,1,4,0,0,1,1,19,+2
Jerami Grant,20:04,4,10,.400,2,4,.500,2,2,1.000,0,0,0,1,0,0,0,1,12,-4
Duop Reath,21:44,4,5,.800,2,2,1.000,1,1,1.000,2,5,7,0,0,1,0,0,11,+5
Scoot Henderson,12:00,1,3,.333,0,0,,2,2,1.000,1,0,1,3,0,0,1,0,4,-6
Toumani Camara,15:43,1,3,.333,0,1,.000,0,0,,1,4,5,1,0,0,1,3,2,0
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Shaedon Sharpe,18:51,5,7,.714,2,3,.667,0,1,.000,0,1,1,0,0,1,0,1,12,+7
Malcolm Brogdon,8:43,1,3,.333,1,2,.500,2,2,1.000,1,1,2,1,0,0,0,0,5,+7
Ibou Badji,1:29,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,+1
Kris Murray,0:42,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Justin Minaya,Did Not Play
Rayan Rupert,Did Not Play
Jabari Walker,Did Not Play
Team Totals,120,22,44,.500,11,20,.550,10,12,.833,5,12,17,10,0,2,3,7,65,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anfernee Simons,5:00,1,1,1.000,0,0,,4,4,1.000,0,1,1,3,0,0,0,0,6,+7
Jerami Grant,5:00,2,3,.667,0,1,.000,0,0,,0,0,0,0,0,1,0,0,4,+7
Duop Reath,5:00,0,0,,0,0,,0,0,,0,3,3,0,0,1,0,2,0,+7
Scoot Henderson, 
Toumani Camara, 
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Shaedon Sharpe,5:00,0,0,,0,0,,1,2,.500,0,0,0,0,1,0,0,0,1,+7
Malcolm Brogdon,5:00,3,3,1.000,2,2,1.000,0,0,,0,0,0,0,0,0,0,0,8,+7
Ibou Badji, 
Kris Murray, 
Justin Minaya,Did Not Play
Rayan Rupert,Did Not Play
Jabari Walker,Did Not Play
Team Totals,25,6,7,.857,2,3,.667,5,6,.833,0,4,4,3,1,2,0,2,19,
,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Anfernee Simons,45:23,.666,.620,.400,.320,0.0,12.3,5.7,43.1,0.0,0.0,6.6,30.4,142,126,8.1
Jerami Grant,42:27,.543,.521,.292,.083,0.0,6.6,3.0,4.0,1.2,2.3,0.0,26.5,114,123,-2.6
Duop Reath,40:46,.663,.650,.400,.300,8.9,34.2,20.6,3.4,1.2,7.2,8.1,13.7,136,114,1.9
Scoot Henderson,29:33,.563,.500,.375,.250,4.1,9.4,6.6,18.1,0.0,0.0,18.4,16.7,115,126,-5.5
Toumani Camara,28:31,.434,.250,.500,1.000,4.2,24.5,13.6,4.3,1.8,0.0,25.8,12.3,83,119,-9.5
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Shaedon Sharpe,40:10,.615,.607,.429,.500,0.0,3.5,1.6,3.7,2.5,2.4,0.0,19.2,128,120,1.1
Malcolm Brogdon,21:41,.922,.875,.750,.500,5.6,12.9,8.9,14.9,0.0,0.0,0.0,20.4,193,126,15.2
Ibou Badji,9:20,,,,,25.8,14.9,20.8,0.0,0.0,0.0,,0.0,237,125,-10.0
Kris Murray,7:09,.000,.000,.000,.000,16.8,39.0,27.1,0.0,0.0,0.0,50.0,25.3,23,120,-31.6
Justin Minaya,Did Not Play
Rayan Rupert,Did Not Play
Jabari Walker,Did Not Play
Team Totals,265,.619,.579,.400,.316,20.5,76.3,46.3,46.7,4.8,9.3,7.7,100.0,127.8,121.2,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Mikal Bridges,44:06,15,26,.577,4,8,.500,8,8,1.000,0,4,4,3,0,0,3,0,42,-2
Nic Claxton,36:15,8,8,1.000,0,0,,0,2,.000,2,9,11,3,2,4,5,5,16,-2
Dorian Finney-Smith,35:30,3,8,.375,3,7,.429,0,0,,2,3,5,2,1,0,1,3,9,+5
Cameron Johnson,33:30,5,11,.455,3,8,.375,4,5,.800,1,5,6,3,1,1,0,3,17,-3
Spencer Dinwiddie,27:36,1,6,.167,1,4,.250,2,2,1.000,1,2,3,5,0,0,1,0,5,+3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dennis Smith Jr.,29:20,3,8,.375,0,1,.000,4,4,1.000,0,2,2,10,2,1,1,6,10,-19
Royce O'Neale,18:07,3,5,.600,2,4,.500,0,0,,0,3,3,1,1,0,2,3,8,-8
Cam Thomas,17:53,4,9,.444,1,3,.333,0,0,,0,3,3,0,0,0,1,0,9,-5
Day'Ron Sharpe,16:35,4,7,.571,0,0,,3,4,.750,3,3,6,2,0,1,0,3,11,-5
Lonnie Walker IV,5:45,0,3,.000,0,2,.000,0,0,,0,1,1,0,0,0,0,2,0,+1
Trendon Watford,0:23,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,0
Harry Giles,Did Not Play
Team Totals,265,46,91,.505,14,37,.378,21,25,.840,9,35,44,29,7,7,15,25,127,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Mikal Bridges,12:00,3,6,.500,2,4,.500,5,5,1.000,0,2,2,1,0,0,1,0,13,+4
Nic Claxton,8:23,3,3,1.000,0,0,,0,0,,0,2,2,1,0,2,1,0,6,+7
Dorian Finney-Smith,6:49,0,2,.000,0,2,.000,0,0,,0,0,0,1,0,0,0,0,0,+6
Cameron Johnson,8:05,1,2,.500,0,1,.000,0,0,,0,1,1,0,0,0,0,2,2,+1
Spencer Dinwiddie,6:49,0,1,.000,0,1,.000,0,0,,0,2,2,3,0,0,1,0,0,+6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dennis Smith Jr.,5:11,0,1,.000,0,0,,0,0,,0,0,0,2,2,0,0,2,0,-2
Royce O'Neale,5:11,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,0,0,-2
Cam Thomas,3:55,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,+3
Day'Ron Sharpe,3:37,3,4,.750,0,0,,3,4,.750,2,0,2,0,0,0,0,0,9,-3
Lonnie Walker IV, 
Trendon Watford, 
Harry Giles,Did Not Play
Team Totals,60,10,20,.500,2,9,.222,8,9,.889,2,9,11,9,2,2,3,4,30,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
