,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
RJ Barrett,36:10,13,20,.650,5,8,.625,6,8,.750,0,6,6,6,1,0,0,3,37,+26
Jakob Poeltl,30:52,6,8,.750,0,0,,2,5,.400,3,8,11,5,0,0,2,3,14,+21
Pascal Siakam,30:10,7,11,.636,2,3,.667,0,0,,1,5,6,6,0,2,1,0,16,+5
Immanuel Quickley,26:03,4,10,.400,1,4,.250,0,0,,1,4,5,10,1,0,0,0,9,+4
Scottie Barnes,23:40,3,11,.273,0,4,.000,0,0,,1,1,2,3,1,1,2,1,6,+3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dennis Schröder,27:47,6,10,.600,1,3,.333,0,1,.000,0,3,3,4,0,0,0,5,13,+14
Gary Trent Jr.,26:24,6,11,.545,2,5,.400,0,0,,0,1,1,1,2,1,0,1,14,+10
Chris Boucher,16:03,7,7,1.000,3,3,1.000,0,0,,2,7,9,1,1,1,0,0,17,+17
Jontay Porter,11:39,1,3,.333,0,2,.000,0,0,,1,1,2,1,1,1,0,1,2,-10
Thaddeus Young,3:44,1,2,.500,1,1,1.000,0,0,,0,0,0,0,0,0,1,0,3,-5
Garrett Temple,3:44,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,0,2,-5
Jalen McDaniels,3:44,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-5
Team Totals,240,55,94,.585,15,33,.455,8,14,.571,9,36,45,38,7,6,7,14,133,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
RJ Barrett,5:29,4,5,.800,1,1,1.000,0,0,,0,1,1,0,1,0,0,0,9,+12
Jakob Poeltl,8:45,2,3,.667,0,0,,0,0,,1,1,2,2,0,0,1,0,4,+12
Pascal Siakam,12:00,4,6,.667,1,2,.500,0,0,,1,1,2,1,0,0,1,0,9,+8
Immanuel Quickley,8:51,2,3,.667,1,2,.500,0,0,,0,2,2,6,1,0,0,0,5,+12
Scottie Barnes,8:44,2,3,.667,0,0,,0,0,,0,0,0,1,1,0,0,0,4,+8
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dennis Schröder,6:31,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,1,0,-4
Gary Trent Jr.,6:31,2,3,.667,1,2,.500,0,0,,0,1,1,0,1,0,0,1,5,-4
Chris Boucher, 
Jontay Porter,3:09,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,1,0,0,0,-4
Thaddeus Young, 
Garrett Temple, 
Jalen McDaniels, 
Team Totals,60,16,25,.640,4,9,.444,0,0,,2,6,8,11,4,1,2,2,36,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
RJ Barrett,12:00,6,8,.750,4,5,.800,1,2,.500,0,2,2,3,0,0,0,1,17,+19
Jakob Poeltl,9:11,2,2,1.000,0,0,,1,3,.333,1,5,6,0,0,0,0,1,5,+20
Pascal Siakam,6:10,0,2,.000,0,0,,0,0,,0,3,3,3,0,0,0,0,0,+10
Immanuel Quickley,6:10,1,3,.333,0,2,.000,0,0,,1,2,3,3,0,0,0,0,2,+10
Scottie Barnes,6:44,1,5,.200,0,2,.000,0,0,,1,1,2,1,0,1,0,1,2,+10
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dennis Schröder,8:05,2,2,1.000,1,1,1.000,0,0,,0,1,1,2,0,0,0,1,5,+8
