,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bradley Beal,34:48,7,15,.467,0,2,.000,1,2,.500,0,3,3,2,2,0,2,4,15,-7
Kevin Durant,34:40,10,17,.588,3,6,.500,7,8,.875,0,7,7,2,0,1,3,2,30,-14
Devin Booker,34:00,8,14,.571,2,6,.333,2,2,1.000,0,0,0,5,0,0,6,4,20,-31
Grayson Allen,30:51,1,3,.333,1,3,.333,5,5,1.000,0,3,3,2,0,0,1,1,8,-22
Jusuf Nurkić,21:22,3,8,.375,1,2,.500,1,2,.500,1,2,3,2,1,0,0,1,8,-14
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Eric Gordon,24:36,3,8,.375,2,7,.286,4,4,1.000,0,1,1,2,0,0,1,1,12,-17
Josh Okogie,17:45,2,3,.667,0,1,.000,0,0,,1,0,1,2,3,0,0,2,4,-12
Drew Eubanks,16:22,0,1,.000,0,0,,0,0,,2,2,4,0,0,2,0,2,0,-5
Chimezie Metu,7:56,1,1,1.000,0,0,,2,2,1.000,0,2,2,0,0,1,0,1,4,-7
Jordan Goodwin,5:12,2,3,.667,0,0,,0,0,,0,0,0,0,0,0,0,0,4,-3
Saben Lee,5:12,0,1,.000,0,0,,2,2,1.000,1,0,1,0,0,0,1,0,2,-3
Yuta Watanabe,5:12,0,2,.000,0,2,.000,1,2,.500,0,0,0,0,0,0,0,1,1,-3
Keita Bates-Diop,2:04,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,1,3,+3
Team Totals,240,38,77,.494,10,30,.333,25,29,.862,5,20,25,17,6,4,14,20,111,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bradley Beal,9:08,2,4,.500,0,0,,1,2,.500,0,1,1,1,2,0,1,0,5,-3
Kevin Durant,9:16,3,5,.600,1,1,1.000,0,0,,0,2,2,1,0,0,0,0,7,+1
Devin Booker,12:00,3,5,.600,1,3,.333,0,0,,0,0,0,1,0,0,2,1,7,-3
Grayson Allen,9:16,1,2,.500,1,2,.500,3,3,1.000,0,0,0,1,0,0,0,1,6,+1
Jusuf Nurkić,9:16,2,2,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,4,+1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Eric Gordon,5:36,0,2,.000,0,2,.000,2,2,1.000,0,1,1,1,0,0,0,0,2,-4
Josh Okogie, 
Drew Eubanks,2:44,0,0,,0,0,,0,0,,0,1,1,0,0,1,0,0,0,-4
Chimezie Metu,2:44,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-4
Jordan Goodwin, 
Saben Lee, 
Yuta Watanabe, 
Keita Bates-Diop, 
Team Totals,60,11,20,.550,3,8,.375,6,7,.857,0,6,6,5,2,1,3,3,31,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bradley Beal,9:45,3,6,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,2,6,+2
Kevin Durant,8:40,4,6,.667,1,2,.500,4,5,.800,0,3,3,1,0,0,0,1,13,+4
Devin Booker,5:35,1,3,.333,0,1,.000,0,0,,0,0,0,0,0,0,0,1,2,-11
Grayson Allen,8:05,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-9
Jusuf Nurkić,6:48,1,2,.500,1,1,1.000,1,2,.500,0,0,0,2,1,0,0,0,4,-12
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Eric Gordon,7:15,1,3,.333,1,3,.333,2,2,1.000,0,0,0,1,0,0,0,0,5,-5
Josh Okogie,8:40,1,2,.500,0,1,.000,0,0,,1,0,1,2,2,0,0,1,2,-1
Drew Eubanks,5:12,0,1,.000,0,0,,0,0,,2,0,2,0,0,0,0,1,0,+7
Chimezie Metu, 
Jordan Goodwin, 
Saben Lee, 
Yuta Watanabe, 
Keita Bates-Diop, 
Team Totals,60,11,23,.478,3,9,.333,7,9,.778,3,3,6,6,3,0,0,6,32,
,Basic Box Score Stats
