,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Lauri Markkanen,31:57,5,15,.333,4,10,.400,7,8,.875,4,10,14,2,1,2,0,1,21,+8
Simone Fontecchio,31:34,2,6,.333,1,5,.200,0,0,,0,3,3,1,1,1,1,4,5,+4
John Collins,26:50,8,15,.533,3,7,.429,0,0,,0,3,3,1,1,0,3,3,19,+6
Kris Dunn,24:13,2,2,1.000,1,1,1.000,0,0,,1,3,4,13,1,2,1,1,5,+11
Collin Sexton,18:13,8,13,.615,3,6,.500,0,0,,0,0,0,3,1,0,0,0,19,+1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jordan Clarkson,31:07,7,14,.500,2,3,.667,5,5,1.000,1,3,4,6,0,1,1,0,21,+13
Keyonte George,22:27,7,13,.538,4,9,.444,1,1,1.000,0,6,6,4,0,0,2,0,19,+7
Walker Kessler,21:10,3,4,.750,0,0,,2,4,.500,2,4,6,0,1,2,0,1,8,+10
Kelly Olynyk,17:26,4,6,.667,2,2,1.000,3,4,.750,2,4,6,3,0,0,2,4,13,+9
Ochai Agbaji,15:03,1,2,.500,0,1,.000,0,0,,0,1,1,0,0,0,0,1,2,+11
Talen Horton-Tucker,Did Not Play
Luka Šamanić,Did Not Play
Omer Yurtseven,Did Not Play
Team Totals,240,47,90,.522,20,44,.455,18,22,.818,10,37,47,33,6,8,10,15,132,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Lauri Markkanen,9:58,2,6,.333,2,4,.500,0,0,,3,4,7,1,1,1,0,0,6,+11
Simone Fontecchio,9:06,1,1,1.000,0,0,,0,0,,0,2,2,1,0,1,1,1,2,+11
John Collins,6:49,3,7,.429,1,3,.333,0,0,,0,0,0,0,0,0,0,1,7,+8
Kris Dunn,6:49,1,1,1.000,1,1,1.000,0,0,,0,2,2,4,0,1,0,0,3,+8
Collin Sexton,6:49,3,5,.600,3,5,.600,0,0,,0,0,0,1,1,0,0,0,9,+8
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jordan Clarkson,5:11,1,3,.333,1,1,1.000,0,0,,0,1,1,4,0,0,0,0,3,+10
Keyonte George,5:11,2,2,1.000,2,2,1.000,0,0,,0,3,3,1,0,0,1,0,6,+10
Walker Kessler,5:11,1,2,.500,0,0,,0,0,,1,1,2,0,0,2,0,1,2,+10
Kelly Olynyk,2:02,1,2,.500,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,3,+7
Ochai Agbaji,2:54,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+7
Talen Horton-Tucker,Did Not Play
Luka Šamanić,Did Not Play
Omer Yurtseven,Did Not Play
Team Totals,60,15,29,.517,11,17,.647,0,0,,4,14,18,12,2,5,2,3,41,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Lauri Markkanen,6:24,1,3,.333,1,3,.333,2,2,1.000,1,1,2,1,0,0,0,0,5,+6
Simone Fontecchio,5:01,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,0,0,+5
John Collins,5:01,2,2,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,5,+5
Kris Dunn,4:21,0,0,,0,0,,0,0,,0,0,0,3,0,1,1,1,0,+6
Collin Sexton,0:40,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,-1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jordan Clarkson,12:00,3,6,.500,1,2,.500,2,2,1.000,1,2,3,2,0,0,0,0,9,+13
Keyonte George,6:59,1,3,.333,1,3,.333,0,0,,0,1,1,2,0,0,0,0,3,+8
Walker Kessler,6:59,1,1,1.000,0,0,,1,2,.500,1,1,2,0,1,0,0,0,3,+8
Kelly Olynyk,6:59,3,4,.750,1,1,1.000,0,0,,2,2,4,1,0,0,1,2,7,+8
Ochai Agbaji,5:36,1,2,.500,0,1,.000,0,0,,0,1,1,0,0,0,0,0,2,+7
Talen Horton-Tucker,Did Not Play
Luka Šamanić,Did Not Play
Omer Yurtseven,Did Not Play
Team Totals,60,13,24,.542,5,13,.385,5,6,.833,5,8,13,9,1,1,2,3,36,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Lauri Markkanen,16:22,3,9,.333,3,7,.429,2,2,1.000,4,5,9,2,1,1,0,0,11,+17
Simone Fontecchio,14:07,1,3,.333,0,2,.000,0,0,,0,2,2,1,0,1,1,1,2,+16
John Collins,11:50,5,9,.556,2,4,.500,0,0,,0,0,0,0,0,0,0,1,12,+13
Kris Dunn,11:10,1,1,1.000,1,1,1.000,0,0,,0,2,2,7,0,2,1,1,3,+14
Collin Sexton,7:29,4,6,.667,3,5,.600,0,0,,0,0,0,1,1,0,0,0,11,+7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jordan Clarkson,17:11,4,9,.444,2,3,.667,2,2,1.000,1,3,4,6,0,0,0,0,12,+23
Keyonte George,12:10,3,5,.600,3,5,.600,0,0,,0,4,4,3,0,0,1,0,9,+18
Walker Kessler,12:10,2,3,.667,0,0,,1,2,.500,2,2,4,0,1,2,0,1,5,+18
Kelly Olynyk,9:01,4,6,.667,2,2,1.000,0,0,,2,3,5,1,0,0,1,2,10,+15
Ochai Agbaji,8:30,1,2,.500,0,1,.000,0,0,,0,1,1,0,0,0,0,0,2,+14
Talen Horton-Tucker,Did Not Play
Luka Šamanić,Did Not Play
Omer Yurtseven,Did Not Play
Team Totals,120,28,53,.528,16,30,.533,5,6,.833,9,22,31,21,3,6,4,6,77,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Lauri Markkanen,6:46,0,3,.000,0,1,.000,0,0,,0,1,1,0,0,1,0,0,0,-13
Simone Fontecchio,8:38,0,2,.000,0,2,.000,0,0,,0,1,1,0,1,0,0,0,0,-16
John Collins,6:11,1,3,.333,1,2,.500,0,0,,0,2,2,1,0,0,1,2,3,-11
Kris Dunn,6:11,0,0,,0,0,,0,0,,1,0,1,3,0,0,0,0,0,-11
Collin Sexton,5:28,4,6,.667,0,0,,0,0,,0,0,0,0,0,0,0,0,8,-8
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jordan Clarkson,5:49,0,2,.000,0,0,,2,2,1.000,0,0,0,0,0,1,0,0,2,-10
Keyonte George,6:32,2,4,.500,0,1,.000,0,0,,0,1,1,0,0,0,1,0,4,-13
