,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Desmond Bane,39:17,11,27,.407,2,9,.222,8,9,.889,2,7,9,4,0,0,2,3,32,+17
Vince Williams Jr.,29:37,2,8,.250,2,5,.400,0,0,,2,4,6,6,3,0,3,5,6,0
Luke Kennard,23:03,5,7,.714,3,4,.750,1,1,1.000,1,4,5,4,1,0,2,2,14,-3
Marcus Smart,21:08,9,16,.563,4,8,.500,1,1,1.000,0,4,4,1,2,0,1,0,23,+16
Bismack Biyombo,18:09,1,2,.500,0,0,,0,0,,1,1,2,4,0,0,2,2,2,+3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Xavier Tillman Sr.,27:48,6,9,.667,0,1,.000,2,4,.500,6,5,11,2,0,2,3,3,14,+17
Ziaire Williams,26:35,6,9,.667,2,5,.400,0,0,,1,3,4,0,1,0,1,1,14,+12
David Roddy,25:11,3,7,.429,1,2,.500,4,4,1.000,2,3,5,3,0,0,2,2,11,+11
John Konchar,25:06,1,3,.333,0,2,.000,2,2,1.000,3,4,7,3,0,1,0,0,4,+18
Gregory Jackson II,2:03,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-3
Jake LaRavia,2:03,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-3
Santi Aldama,Did Not Dress
Team Totals,240,44,91,.484,14,37,.378,18,21,.857,18,36,54,27,7,3,16,18,120,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Desmond Bane,12:00,4,11,.364,0,2,.000,4,4,1.000,2,2,4,3,0,0,0,1,12,+7
Vince Williams Jr.,6:51,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,1,2,0,0
Luke Kennard,6:51,1,1,1.000,1,1,1.000,0,0,,1,1,2,1,0,0,0,0,3,0
Marcus Smart,9:02,3,5,.600,2,3,.667,0,0,,0,1,1,1,1,0,0,0,8,+7
Bismack Biyombo,9:02,1,2,.500,0,0,,0,0,,0,1,1,2,0,0,0,1,2,+7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Xavier Tillman Sr.,2:58,0,0,,0,0,,0,0,,1,2,3,0,0,0,1,0,0,0
Ziaire Williams,5:09,2,2,1.000,0,0,,0,0,,0,1,1,0,0,0,1,0,4,+7
David Roddy,2:58,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,0
John Konchar,5:09,0,1,.000,0,1,.000,0,0,,0,2,2,0,0,1,0,0,0,+7
Gregory Jackson II, 
Jake LaRavia, 
Santi Aldama,Did Not Dress
Team Totals,60,11,24,.458,3,9,.333,4,4,1.000,4,11,15,8,1,1,3,4,29,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Desmond Bane,6:21,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,1,1,2,+3
Vince Williams Jr.,6:07,1,2,.500,1,1,1.000,0,0,,1,2,3,3,2,0,0,1,3,+3
Luke Kennard,5:08,2,3,.667,1,2,.500,1,1,1.000,0,1,1,2,0,0,0,1,6,+3
Marcus Smart,7:44,3,7,.429,0,2,.000,0,0,,0,2,2,0,1,0,0,0,6,+6
Bismack Biyombo, 
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Xavier Tillman Sr.,12:00,3,4,.750,0,1,.000,1,2,.500,2,1,3,1,0,1,0,2,7,+8
Ziaire Williams,6:00,2,5,.400,0,3,.000,0,0,,1,0,1,0,0,0,0,0,4,+3
David Roddy,12:00,3,3,1.000,1,1,1.000,4,4,1.000,0,1,1,1,0,0,0,1,11,+8
John Konchar,4:40,0,0,,0,0,,0,0,,0,0,0,2,0,0,0,0,0,+6
Gregory Jackson II, 
Jake LaRavia, 
