,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Scottie Barnes,40:10,11,20,.550,3,7,.429,1,2,.500,1,2,3,6,0,2,2,6,26,0
RJ Barrett,35:28,10,13,.769,1,3,.333,2,3,.667,1,9,10,5,2,0,3,4,23,+10
Pascal Siakam,32:04,10,17,.588,3,5,.600,2,3,.667,0,4,4,3,0,1,1,2,25,-4
Thaddeus Young,28:53,5,9,.556,0,1,.000,0,0,,1,4,5,4,3,1,0,4,10,+7
Immanuel Quickley,26:03,8,14,.571,4,6,.667,1,3,.333,1,4,5,5,0,0,1,6,21,+2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dennis Schröder,29:37,3,6,.500,2,3,.667,2,2,1.000,1,1,2,6,0,0,2,2,10,-2
Gary Trent Jr.,23:39,5,10,.500,4,6,.667,0,0,,0,1,1,1,0,0,0,1,14,-6
Chris Boucher,14:02,1,3,.333,0,2,.000,0,0,,0,7,7,1,2,0,3,1,2,-4
Jontay Porter,10:04,0,2,.000,0,2,.000,0,0,,0,0,0,3,1,0,0,0,0,-8
Jalen McDaniels,Did Not Play
Otto Porter Jr.,Did Not Play
Garrett Temple,Did Not Play
Team Totals,240,53,94,.564,17,35,.486,8,13,.615,5,32,37,34,8,4,12,26,131,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Scottie Barnes,10:23,3,5,.600,1,3,.333,0,0,,1,1,2,1,0,0,0,0,7,-5
RJ Barrett,9:01,1,3,.333,0,1,.000,0,0,,0,2,2,0,0,0,1,0,2,0
Pascal Siakam,10:46,4,8,.500,0,1,.000,0,1,.000,0,2,2,2,0,1,0,0,8,-5
Thaddeus Young,7:24,1,2,.500,0,1,.000,0,0,,0,2,2,1,0,0,0,1,2,-1
Immanuel Quickley,9:01,1,2,.500,0,1,.000,0,0,,0,1,1,1,0,0,0,1,2,0
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dennis Schröder,2:59,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,1,0,3,-4
Gary Trent Jr.,4:36,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-3
Chris Boucher,1:14,0,1,.000,0,1,.000,0,0,,0,0,0,0,1,0,0,0,0,+1
Jontay Porter,4:36,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-3
Jalen McDaniels,Did Not Play
Otto Porter Jr.,Did Not Play
Garrett Temple,Did Not Play
Team Totals,60,11,23,.478,2,9,.222,0,1,.000,1,9,10,6,1,1,2,2,24,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Scottie Barnes,7:20,2,3,.667,1,1,1.000,0,0,,0,0,0,0,0,0,0,2,5,+3
RJ Barrett,12:00,6,7,.857,0,1,.000,2,3,.667,1,2,3,1,0,0,0,0,14,+6
Pascal Siakam,5:29,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+10
Thaddeus Young,7:17,1,3,.333,0,0,,0,0,,1,2,3,1,1,1,0,0,2,+7
Immanuel Quickley,6:55,3,6,.500,1,2,.500,1,3,.333,1,3,4,3,0,0,0,2,8,+2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dennis Schröder,10:32,0,2,.000,0,1,.000,0,0,,0,1,1,2,0,0,0,0,0,+5
Gary Trent Jr.,3:56,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,0,0,+1
Chris Boucher,6:31,0,1,.000,0,1,.000,0,0,,0,4,4,1,1,0,3,0,0,-4
Jontay Porter, 
Jalen McDaniels,Did Not Play
Otto Porter Jr.,Did Not Play
Garrett Temple,Did Not Play
Team Totals,60,12,24,.500,2,8,.250,3,6,.500,3,12,15,8,2,1,3,4,29,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Scottie Barnes,17:43,5,8,.625,2,4,.500,0,0,,1,1,2,1,0,0,0,2,12,-2
RJ Barrett,21:01,7,10,.700,0,2,.000,2,3,.667,1,4,5,1,0,0,1,0,16,+6
Pascal Siakam,16:15,4,8,.500,0,1,.000,0,1,.000,0,2,2,2,0,1,0,0,8,+5
Thaddeus Young,14:41,2,5,.400,0,1,.000,0,0,,1,4,5,2,1,1,0,1,4,+6
Immanuel Quickley,15:56,4,8,.500,1,3,.333,1,3,.333,1,4,5,4,0,0,0,3,10,+2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dennis Schröder,13:31,1,3,.333,1,2,.500,0,0,,0,1,1,2,0,0,1,0,3,+1
Gary Trent Jr.,8:32,0,3,.000,0,2,.000,0,0,,0,1,1,0,0,0,0,0,0,-2
Chris Boucher,7:45,0,2,.000,0,2,.000,0,0,,0,4,4,1,2,0,3,0,0,-3
Jontay Porter,4:36,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-3
Jalen McDaniels,Did Not Play
Otto Porter Jr.,Did Not Play
Garrett Temple,Did Not Play
Team Totals,120,23,47,.489,4,17,.235,3,7,.429,4,21,25,14,3,2,5,6,53,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Scottie Barnes,10:30,1,3,.333,1,2,.500,0,0,,0,0,0,2,0,0,2,1,3,+7
RJ Barrett,8:44,2,2,1.000,1,1,1.000,0,0,,0,3,3,3,1,0,1,1,5,+5
Pascal Siakam,10:06,1,4,.250,0,1,.000,2,2,1.000,0,2,2,1,0,0,1,0,4,-8
Thaddeus Young,7:54,2,2,1.000,0,0,,0,0,,0,0,0,1,1,0,0,2,4,0
Immanuel Quickley,8:16,4,5,.800,3,3,1.000,0,0,,0,0,0,1,0,0,0,1,11,+2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dennis Schröder,4:06,1,1,1.000,0,0,,2,2,1.000,0,0,0,1,0,0,1,1,4,-1
Gary Trent Jr.,6:40,2,2,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,1,5,-7
Chris Boucher, 
Jontay Porter,3:44,0,1,.000,0,1,.000,0,0,,0,0,0,1,1,0,0,0,0,-3
Jalen McDaniels,Did Not Play
Otto Porter Jr.,Did Not Play
Garrett Temple,Did Not Play
Team Totals,60,13,20,.650,6,9,.667,4,4,1.000,0,5,5,10,3,0,5,7,36,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Scottie Barnes,11:57,5,9,.556,0,1,.000,1,2,.500,0,1,1,3,0,2,0,3,11,-5
RJ Barrett,5:43,1,1,1.000,0,0,,0,0,,0,2,2,1,1,0,1,3,2,-1
