,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Keegan Murray,31:36,11,18,.611,3,7,.429,0,0,,0,6,6,3,0,1,0,2,25,+5
De'Aaron Fox,28:14,8,14,.571,3,7,.429,0,2,.000,0,1,1,3,1,1,1,0,19,+25
Domantas Sabonis,27:58,9,13,.692,1,2,.500,5,6,.833,1,9,10,7,0,1,2,2,24,-4
Harrison Barnes,22:18,2,4,.500,2,4,.500,0,0,,1,1,2,1,0,0,1,0,6,-3
Kevin Huerter,0:41,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Malik Monk,29:48,6,13,.462,1,5,.200,7,7,1.000,0,4,4,4,0,2,1,0,20,+17
Trey Lyles,21:11,2,4,.500,2,4,.500,2,4,.500,1,4,5,2,0,0,1,1,8,+27
Juan Toscano-Anderson,16:41,1,4,.250,0,1,.000,0,0,,1,2,3,0,0,1,0,2,2,+20
Alex Len,15:31,4,6,.667,0,0,,0,0,,4,6,10,1,1,1,1,2,8,+28
Colby Jones,13:54,0,2,.000,0,2,.000,0,0,,1,0,1,0,0,0,0,0,0,+1
Chris Duarte,13:45,0,2,.000,0,0,,0,0,,1,1,2,2,0,0,0,2,0,+5
Keon Ellis,9:21,1,3,.333,1,3,.333,0,0,,0,1,1,1,0,1,0,2,3,+4
JaVale McGee,4:31,2,5,.400,0,0,,4,4,1.000,4,3,7,0,0,0,2,0,8,+1
Davion Mitchell,4:31,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,+1
Sasha Vezenkov,Did Not Play
Team Totals,240,46,89,.517,13,35,.371,18,23,.783,14,39,53,24,2,8,9,15,123,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Keegan Murray,12:00,5,7,.714,2,3,.667,0,0,,0,3,3,1,0,1,0,0,12,+5
De'Aaron Fox,8:01,4,6,.667,2,4,.500,0,0,,0,1,1,1,0,0,0,0,10,+3
Domantas Sabonis,10:33,3,3,1.000,0,0,,3,4,.750,0,2,2,2,0,0,1,1,9,-3
Harrison Barnes,5:57,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-2
Kevin Huerter,0:41,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Malik Monk,6:03,1,2,.500,0,0,,0,0,,0,0,0,2,0,0,0,0,2,+7
Trey Lyles,6:03,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,1,0,0,+7
Juan Toscano-Anderson, 
Alex Len,1:27,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,+8
Colby Jones,1:24,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+3
Chris Duarte,7:51,0,1,.000,0,0,,0,0,,0,0,0,2,0,0,0,1,0,-1
Keon Ellis, 
JaVale McGee, 
Davion Mitchell, 
Sasha Vezenkov,Did Not Play
Team Totals,60,13,20,.650,4,8,.500,3,4,.750,0,9,9,8,0,1,3,3,33,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Keegan Murray,7:36,4,6,.667,1,2,.500,0,0,,0,2,2,2,0,0,0,0,9,-3
De'Aaron Fox,8:42,1,3,.333,1,2,.500,0,0,,0,0,0,2,0,1,0,0,3,+9
Domantas Sabonis,8:40,3,4,.750,1,1,1.000,2,2,1.000,0,4,4,3,0,1,0,1,9,-3
Harrison Barnes,7:36,1,2,.500,1,2,.500,0,0,,0,0,0,0,0,0,0,0,3,-3
Kevin Huerter, 
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Malik Monk,10:27,2,3,.667,1,1,1.000,1,1,1.000,0,2,2,2,0,0,0,0,6,+4
Trey Lyles,4:24,2,2,1.000,2,2,1.000,0,0,,0,0,0,0,0,0,0,0,6,+10
Juan Toscano-Anderson,4:24,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,+10
Alex Len,3:20,1,1,1.000,0,0,,0,0,,1,0,1,1,0,0,1,2,2,+10
Colby Jones,4:51,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,0,0,+1
Chris Duarte, 
Keon Ellis, 
JaVale McGee, 
Davion Mitchell, 
Sasha Vezenkov,Did Not Play
Team Totals,60,14,24,.583,7,12,.583,3,3,1.000,1,8,9,10,0,2,1,4,38,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Keegan Murray,19:36,9,13,.692,3,5,.600,0,0,,0,5,5,3,0,1,0,0,21,+2
De'Aaron Fox,16:43,5,9,.556,3,6,.500,0,0,,0,1,1,3,0,1,0,0,13,+12
Domantas Sabonis,19:13,6,7,.857,1,1,1.000,5,6,.833,0,6,6,5,0,1,1,2,18,-6
Harrison Barnes,13:33,1,2,.500,1,2,.500,0,0,,0,1,1,0,0,0,1,0,3,-5
Kevin Huerter,0:41,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Malik Monk,16:30,3,5,.600,1,1,1.000,1,1,1.000,0,2,2,4,0,0,0,0,8,+11
Trey Lyles,10:27,2,3,.667,2,3,.667,0,0,,0,1,1,0,0,0,1,0,6,+17
Juan Toscano-Anderson,4:24,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,+10
Alex Len,4:47,1,1,1.000,0,0,,0,0,,1,1,2,1,0,0,1,2,2,+18
Colby Jones,6:15,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,0,0,+4
Chris Duarte,7:51,0,1,.000,0,0,,0,0,,0,0,0,2,0,0,0,1,0,-1
Keon Ellis, 
JaVale McGee, 
Davion Mitchell, 
Sasha Vezenkov,Did Not Play
Team Totals,120,27,44,.614,11,20,.550,6,7,.857,1,17,18,18,0,3,4,7,71,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Keegan Murray,12:00,2,5,.400,0,2,.000,0,0,,0,1,1,0,0,0,0,2,4,+3
De'Aaron Fox,8:51,2,4,.500,0,1,.000,0,0,,0,0,0,0,0,0,1,0,4,+7
Domantas Sabonis,8:45,3,6,.500,0,1,.000,0,0,,1,3,4,2,0,0,1,0,6,+2
Harrison Barnes,8:45,1,2,.500,1,2,.500,0,0,,1,0,1,1,0,0,0,0,3,+2
Kevin Huerter, 
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Malik Monk,5:48,2,4,.500,0,2,.000,2,2,1.000,0,0,0,0,0,0,0,0,6,-3
Trey Lyles,3:15,0,0,,0,0,,1,2,.500,1,1,2,0,0,0,0,1,1,+1
Juan Toscano-Anderson,0:17,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Alex Len,3:15,0,0,,0,0,,0,0,,0,3,3,0,0,0,0,0,0,+1
Colby Jones,3:08,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-4
