,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Zion Williamson,29:42,8,12,.667,0,0,,3,5,.600,1,4,5,7,1,0,4,2,19,+23
CJ McCollum,26:15,5,13,.385,2,7,.286,2,2,1.000,0,3,3,8,2,1,0,0,14,+22
Herbert Jones,23:21,4,7,.571,4,7,.571,0,0,,1,4,5,4,1,2,1,1,12,+10
Brandon Ingram,22:39,5,12,.417,1,3,.333,2,2,1.000,1,4,5,1,1,0,2,4,13,+7
Jonas Valančiūnas,21:10,9,13,.692,2,3,.667,1,2,.500,4,5,9,2,2,1,0,4,21,+18
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Trey Murphy III,24:14,6,13,.462,4,11,.364,0,0,,3,1,4,6,0,1,0,2,16,+38
Dyson Daniels,22:29,3,4,.750,1,2,.500,1,2,.500,0,3,3,3,1,0,1,2,8,+25
Jordan Hawkins,21:11,5,9,.556,4,5,.800,0,0,,0,1,1,2,0,0,0,1,14,+25
Larry Nance Jr.,18:55,1,1,1.000,1,1,1.000,3,4,.750,1,4,5,1,2,1,1,0,6,+17
Naji Marshall,13:23,5,6,.833,0,0,,2,2,1.000,0,3,3,2,1,0,1,1,12,+1
Cody Zeller,7:55,3,3,1.000,0,0,,0,0,,2,1,3,1,0,0,1,2,6,+1
Jeremiah Robinson-Earl,6:03,0,0,,0,0,,0,0,,0,1,1,0,0,1,0,0,0,-5
E.J. Liddell,2:43,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-2
Jose Alvarado,Did Not Play
Team Totals,240,54,94,.574,19,40,.475,14,19,.737,13,34,47,37,11,7,11,19,141,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Zion Williamson,7:04,1,1,1.000,0,0,,0,0,,0,0,0,2,0,0,1,0,2,+15
CJ McCollum,6:51,2,3,.667,1,2,.500,0,0,,0,2,2,3,0,0,0,0,5,+15
Herbert Jones,7:54,3,4,.750,3,4,.750,0,0,,0,0,0,2,1,1,0,0,9,+11
Brandon Ingram,10:22,3,6,.500,0,2,.000,0,0,,1,2,3,1,1,0,1,1,6,+15
Jonas Valančiūnas,6:31,2,4,.500,2,3,.667,0,0,,1,2,3,1,2,0,0,1,6,+12
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Trey Murphy III,6:34,2,4,.500,0,2,.000,0,0,,2,0,2,3,0,0,0,1,4,+8
Dyson Daniels,5:09,1,1,1.000,1,1,1.000,1,2,.500,0,0,0,0,0,0,0,0,4,+4
Jordan Hawkins,4:06,3,3,1.000,2,2,1.000,0,0,,0,1,1,0,0,0,0,1,8,+8
Larry Nance Jr.,5:29,0,0,,0,0,,2,2,1.000,0,1,1,1,1,0,0,0,2,+7
Naji Marshall, 
Cody Zeller, 
Jeremiah Robinson-Earl, 
E.J. Liddell, 
Jose Alvarado,Did Not Play
Team Totals,60,17,26,.654,9,16,.562,3,4,.750,4,8,12,13,5,1,2,4,46,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Zion Williamson,10:00,2,3,.667,0,0,,0,0,,1,2,3,2,1,0,1,0,4,-5
CJ McCollum,8:56,2,6,.333,1,3,.333,2,2,1.000,0,0,0,1,1,0,0,0,7,-2
Herbert Jones,6:32,0,1,.000,0,1,.000,0,0,,1,0,1,2,0,0,0,1,0,-6
Brandon Ingram,6:32,0,2,.000,0,0,,2,2,1.000,0,1,1,0,0,0,0,1,2,-6
Jonas Valančiūnas,2:48,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,1,0,-1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Trey Murphy III,5:28,1,4,.250,1,4,.250,0,0,,0,0,0,1,0,0,0,1,3,0
Dyson Daniels,3:04,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,1,2,-4
Jordan Hawkins,2:00,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,-1
Larry Nance Jr.,9:12,1,1,1.000,1,1,1.000,1,2,.500,1,1,2,0,1,0,1,0,4,-5
Naji Marshall,5:28,0,0,,0,0,,2,2,1.000,0,1,1,0,0,0,0,0,2,0
Cody Zeller, 
Jeremiah Robinson-Earl, 
E.J. Liddell, 
Jose Alvarado,Did Not Play
Team Totals,60,8,20,.400,4,10,.400,7,8,.875,3,5,8,7,3,0,3,5,27,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Zion Williamson,17:04,3,4,.750,0,0,,0,0,,1,2,3,4,1,0,2,0,6,+10
CJ McCollum,15:47,4,9,.444,2,5,.400,2,2,1.000,0,2,2,4,1,0,0,0,12,+13
Herbert Jones,14:26,3,5,.600,3,5,.600,0,0,,1,0,1,4,1,1,0,1,9,+5
Brandon Ingram,16:54,3,8,.375,0,2,.000,2,2,1.000,1,3,4,1,1,0,1,2,8,+9
Jonas Valančiūnas,9:19,2,5,.400,2,3,.667,0,0,,1,2,3,2,2,0,0,2,6,+11
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Trey Murphy III,12:02,3,8,.375,1,6,.167,0,0,,2,0,2,4,0,0,0,2,7,+8
Dyson Daniels,8:13,2,2,1.000,1,1,1.000,1,2,.500,0,0,0,0,0,0,1,1,6,0
Jordan Hawkins,6:06,4,4,1.000,3,3,1.000,0,0,,0,1,1,0,0,0,0,1,11,+7
Larry Nance Jr.,14:41,1,1,1.000,1,1,1.000,3,4,.750,1,2,3,1,2,0,1,0,6,+2
Naji Marshall,5:28,0,0,,0,0,,2,2,1.000,0,1,1,0,0,0,0,0,2,0
Cody Zeller, 
Jeremiah Robinson-Earl, 
E.J. Liddell, 
Jose Alvarado,Did Not Play
Team Totals,120,25,46,.543,13,26,.500,10,12,.833,7,13,20,20,8,1,5,9,73,
,Basic Box Score Stats
