,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Myles Turner,25:56,5,9,.556,0,3,.000,2,3,.667,2,5,7,4,2,2,3,2,12,+9
Andrew Nembhard,22:40,4,6,.667,2,2,1.000,0,0,,0,4,4,6,2,0,4,2,10,+4
Aaron Nesmith,21:25,5,6,.833,3,3,1.000,0,0,,1,3,4,0,1,0,1,3,13,+1
Bruce Brown,21:09,5,9,.556,2,3,.667,0,0,,0,1,1,4,0,0,2,0,12,+8
Jalen Smith,19:15,3,7,.429,0,0,,0,0,,3,4,7,0,0,0,0,1,6,+11
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bennedict Mathurin,27:17,6,9,.667,0,1,.000,3,5,.600,1,0,1,3,0,0,5,2,15,+16
T.J. McConnell,25:20,3,5,.600,0,0,,0,0,,0,4,4,14,3,1,5,0,6,+14
Buddy Hield,23:14,7,11,.636,4,6,.667,0,0,,0,3,3,2,0,3,2,3,18,+14
Obi Toppin,20:33,7,7,1.000,0,0,,4,4,1.000,2,5,7,4,0,0,1,4,18,+10
Isaiah Jackson,18:22,6,7,.857,0,0,,0,0,,1,4,5,2,4,3,2,3,12,+11
Oscar Tshiebwe,3:42,2,2,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,4,-2
Kendall Brown,3:42,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-2
Jordan Nwora,3:42,0,1,.000,0,0,,0,0,,0,1,1,2,0,0,0,0,0,-2
Ben Sheppard,3:42,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
James Johnson,Did Not Play
Team Totals,240,53,79,.671,11,18,.611,9,12,.750,10,35,45,41,12,9,25,21,126,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Myles Turner,7:14,3,3,1.000,0,0,,0,1,.000,0,2,2,1,1,1,1,0,6,+8
Andrew Nembhard,3:49,0,0,,0,0,,0,0,,0,0,0,4,0,0,1,2,0,+2
Aaron Nesmith,5:00,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,2,3,+1
Bruce Brown,6:00,3,3,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,1,0,7,+4
Jalen Smith,7:14,2,3,.667,0,0,,0,0,,1,2,3,0,0,0,0,0,4,+8
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bennedict Mathurin,7:00,3,4,.750,0,0,,0,0,,0,0,0,0,0,0,1,0,6,+3
T.J. McConnell,8:11,0,0,,0,0,,0,0,,0,0,0,6,0,0,1,0,0,+2
Buddy Hield,6:00,1,1,1.000,0,0,,0,0,,0,2,2,1,0,1,1,0,2,0
Obi Toppin,4:46,1,1,1.000,0,0,,0,0,,0,2,2,0,0,0,0,1,2,-4
Isaiah Jackson,4:46,2,3,.667,0,0,,0,0,,0,0,0,2,1,0,1,0,4,-4
Oscar Tshiebwe, 
Kendall Brown, 
Jordan Nwora, 
Ben Sheppard, 
James Johnson,Did Not Play
Team Totals,60,16,19,.842,2,2,1.000,0,1,.000,1,10,11,14,2,2,7,5,34,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Myles Turner,6:04,0,3,.000,0,2,.000,0,0,,2,1,3,2,0,1,1,0,0,-6
Andrew Nembhard,6:04,1,2,.500,0,0,,0,0,,0,2,2,1,0,0,0,0,2,-6
Aaron Nesmith,7:20,3,4,.750,1,1,1.000,0,0,,1,0,1,0,1,0,1,1,7,-10
Bruce Brown,6:04,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,0,2,-6
Jalen Smith,4:38,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,1,0,-6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bennedict Mathurin,7:22,3,5,.600,0,1,.000,0,1,.000,0,0,0,2,0,0,1,1,6,+8
T.J. McConnell,5:56,2,3,.667,0,0,,0,0,,0,1,1,3,1,1,1,0,4,+8
Buddy Hield,6:01,1,3,.333,1,2,.500,0,0,,0,1,1,0,0,1,0,0,3,+10
Obi Toppin,4:34,2,2,1.000,0,0,,2,2,1.000,1,1,2,1,0,0,0,2,6,+10
Isaiah Jackson,5:56,2,2,1.000,0,0,,0,0,,1,2,3,0,2,1,0,1,4,+8
