,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Paolo Banchero,36:22,8,19,.421,0,4,.000,4,7,.571,2,7,9,8,0,2,2,4,20,-7
Caleb Houstan,34:39,5,13,.385,4,12,.333,0,0,,1,2,3,2,1,0,3,0,14,-13
Goga Bitadze,22:11,4,6,.667,0,1,.000,0,0,,2,7,9,2,2,0,1,2,8,-1
Jalen Suggs,19:41,4,8,.500,1,3,.333,0,0,,1,3,4,0,0,0,1,3,9,-9
Chuma Okeke,19:00,2,6,.333,1,5,.200,0,0,,1,3,4,2,0,0,0,1,5,-3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Black,33:08,5,8,.625,0,1,.000,3,6,.500,0,4,4,1,1,1,1,2,13,-9
Cole Anthony,24:35,6,11,.545,1,3,.333,1,2,.500,2,2,4,2,1,1,2,4,14,-6
Moritz Wagner,18:13,2,6,.333,0,3,.000,0,0,,0,4,4,2,0,1,3,1,4,-9
Trevelin Queen,17:05,3,6,.500,0,3,.000,1,1,1.000,0,4,4,1,0,3,2,2,7,+4
Jonathan Isaac,15:06,0,1,.000,0,0,,6,8,.750,2,3,5,1,0,0,0,3,6,-7
Wendell Carter Jr.,Did Not Dress
Admiral Schofield,Did Not Play
Team Totals,240,39,84,.464,7,35,.200,15,24,.625,11,39,50,21,5,8,15,22,100,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Paolo Banchero,9:24,1,4,.250,0,1,.000,0,0,,0,3,3,1,0,0,0,1,2,+1
Caleb Houstan,10:44,2,7,.286,2,7,.286,0,0,,1,0,1,1,1,0,2,0,6,-4
Goga Bitadze,9:24,1,2,.500,0,1,.000,0,0,,1,4,5,1,1,0,0,1,2,+1
Jalen Suggs,5:40,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,0,2,-3
Chuma Okeke,5:40,1,3,.333,1,3,.333,0,0,,0,1,1,0,0,0,0,0,3,-3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Black,6:20,2,2,1.000,0,0,,0,0,,0,0,0,1,0,0,0,1,4,+1
Cole Anthony,1:16,0,0,,0,0,,0,0,,0,0,0,1,1,0,0,0,0,+2
Moritz Wagner,2:36,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-3
Trevelin Queen,6:20,1,2,.500,0,1,.000,0,0,,0,1,1,1,0,0,0,1,2,+1
Jonathan Isaac,2:36,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-3
Wendell Carter Jr.,Did Not Dress
Admiral Schofield,Did Not Play
Team Totals,60,9,24,.375,3,14,.214,0,0,,2,10,12,6,3,0,2,4,21,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
