,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Miles Bridges,37:46,8,17,.471,1,7,.143,3,3,1.000,1,6,7,1,1,0,3,0,20,-16
Terry Rozier,34:36,8,23,.348,4,11,.364,6,6,1.000,2,3,5,7,0,0,1,2,26,-18
LaMelo Ball,30:29,9,24,.375,3,13,.231,0,0,,2,8,10,5,3,0,2,3,21,+8
Nick Richards,26:44,1,5,.200,0,0,,0,0,,0,8,8,0,0,0,1,4,2,-15
Cody Martin,22:48,1,3,.333,1,2,.500,0,0,,2,0,2,2,0,2,3,1,3,-8
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
P.J. Washington,28:25,2,7,.286,1,5,.200,0,2,.000,2,4,6,1,1,0,1,3,5,-4
Nick Smith Jr.,16:17,2,5,.400,0,2,.000,0,0,,0,2,2,0,0,0,2,0,4,-19
Ish Smith,12:28,0,1,.000,0,0,,1,2,.500,1,1,2,0,0,0,0,0,1,-6
Nathan Mensah,11:10,1,1,1.000,0,0,,0,0,,2,0,2,0,0,0,0,3,2,0
JT Thor,9:37,0,6,.000,0,0,,0,0,,4,0,4,1,0,1,0,1,0,-10
Bryce McGowens,5:20,1,2,.500,0,1,.000,0,0,,1,1,2,0,0,0,0,0,2,+1
James Bouknight,2:10,0,1,.000,0,0,,1,2,.500,0,0,0,0,0,0,0,0,1,+1
Leaky Black,2:10,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+1
Brandon Miller,Did Not Dress
Team Totals,240,33,95,.347,10,41,.244,11,15,.733,17,33,50,17,5,3,13,17,87,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Miles Bridges,12:00,4,6,.667,0,2,.000,0,0,,1,2,3,0,0,0,1,0,8,-10
Terry Rozier,9:32,1,6,.167,0,3,.000,0,0,,1,0,1,2,0,0,1,1,2,-9
LaMelo Ball,8:06,0,3,.000,0,2,.000,0,0,,0,4,4,1,0,0,0,0,0,-6
