,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jeremy Sochan,38:05,8,16,.500,2,4,.500,5,5,1.000,3,5,8,4,2,2,4,4,23,-4
Devin Vassell,30:27,2,11,.182,0,5,.000,0,0,,1,3,4,4,0,1,0,0,4,-4
Tre Jones,30:11,3,8,.375,0,1,.000,0,0,,0,1,1,12,3,0,3,0,6,+5
Victor Wembanyama,27:05,12,18,.667,1,5,.200,1,1,1.000,2,11,13,2,2,5,3,2,26,-2
Julian Champagnie,20:05,5,8,.625,5,8,.625,0,0,,0,1,1,1,1,0,0,1,15,+5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Keldon Johnson,26:10,1,11,.091,0,5,.000,3,5,.600,2,4,6,0,1,0,5,4,5,-4
Dominick Barlow,16:48,1,4,.250,0,0,,2,4,.500,0,7,7,1,1,0,0,2,4,-6
Doug McDermott,15:16,2,5,.400,2,5,.400,0,0,,0,1,1,0,0,0,0,1,6,+2
Blake Wesley,12:38,1,4,.250,0,2,.000,1,2,.500,1,1,2,3,0,0,1,0,3,-6
Cedi Osman,11:59,1,5,.200,1,5,.200,0,0,,0,1,1,0,0,0,1,3,3,-11
Malaki Branham,9:51,2,4,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,1,4,-21
Sandro Mamukelashvili,1:24,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-4
Mamadi Diakite,Did Not Play
Devonte' Graham,Did Not Play
Team Totals,240,38,95,.400,11,42,.262,12,17,.706,9,35,44,27,10,8,17,18,99,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jeremy Sochan,8:43,3,3,1.000,1,1,1.000,0,0,,0,2,2,0,0,0,1,1,7,-11
Devin Vassell,7:53,1,6,.167,0,3,.000,0,0,,0,0,0,2,0,1,0,0,2,-8
Tre Jones,7:38,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-8
Victor Wembanyama,5:31,0,1,.000,0,0,,0,0,,0,1,1,0,1,3,1,0,0,-11
Julian Champagnie,5:31,0,2,.000,0,2,.000,0,0,,0,1,1,1,0,0,0,0,0,-11
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Keldon Johnson,6:29,0,2,.000,0,1,.000,1,2,.500,0,1,1,0,0,0,1,0,1,-8
Dominick Barlow,6:29,1,1,1.000,0,0,,1,2,.500,0,4,4,0,0,0,0,0,3,-8
Doug McDermott, 
Blake Wesley,3:17,0,0,,0,0,,0,0,,0,0,0,2,0,0,0,0,0,-8
Cedi Osman,4:07,1,3,.333,1,3,.333,0,0,,0,0,0,0,0,0,0,1,3,-11
Malaki Branham,4:21,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-11
Sandro Mamukelashvili, 
Mamadi Diakite,Did Not Play
Devonte' Graham,Did Not Play
Team Totals,60,6,21,.286,2,11,.182,2,4,.500,0,9,9,5,1,4,4,2,16,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jeremy Sochan,9:41,2,5,.400,1,3,.333,3,3,1.000,1,0,1,0,0,1,2,1,8,-11
Devin Vassell,8:10,0,2,.000,0,1,.000,0,0,,1,2,3,1,0,0,0,0,0,-9
Tre Jones,6:30,1,3,.333,0,1,.000,0,0,,0,0,0,1,1,0,1,0,2,-6
Victor Wembanyama,6:14,0,3,.000,0,2,.000,0,0,,1,2,3,0,1,0,0,0,0,-9
Julian Champagnie, 
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Keldon Johnson,6:41,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,3,0,0,-8
Dominick Barlow,4:22,0,2,.000,0,0,,1,2,.500,0,2,2,0,1,0,0,1,1,-3
Doug McDermott,8:09,1,2,.500,1,2,.500,0,0,,0,1,1,0,0,0,0,0,3,-11
Blake Wesley,1:24,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-4
Cedi Osman,1:55,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-5
Malaki Branham,5:30,2,3,.667,0,0,,0,0,,0,0,0,0,0,0,0,1,4,-10
Sandro Mamukelashvili,1:24,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-4
Mamadi Diakite,Did Not Play
Devonte' Graham,Did Not Play
Team Totals,60,6,24,.250,2,11,.182,4,5,.800,3,8,11,2,3,1,6,3,18,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jeremy Sochan,18:24,5,8,.625,2,4,.500,3,3,1.000,1,2,3,0,0,1,3,2,15,-22
Devin Vassell,16:03,1,8,.125,0,4,.000,0,0,,1,2,3,3,0,1,0,0,2,-17
Tre Jones,14:08,1,5,.200,0,1,.000,0,0,,0,0,0,1,1,0,2,0,2,-14
Victor Wembanyama,11:45,0,4,.000,0,2,.000,0,0,,1,3,4,0,2,3,1,0,0,-20
Julian Champagnie,5:31,0,2,.000,0,2,.000,0,0,,0,1,1,1,0,0,0,0,0,-11
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Keldon Johnson,13:10,0,4,.000,0,1,.000,1,2,.500,0,2,2,0,0,0,4,0,1,-16
Dominick Barlow,10:51,1,3,.333,0,0,,2,4,.500,0,6,6,0,1,0,0,1,4,-11
Doug McDermott,8:09,1,2,.500,1,2,.500,0,0,,0,1,1,0,0,0,0,0,3,-11
Blake Wesley,4:41,0,1,.000,0,1,.000,0,0,,0,0,0,2,0,0,0,0,0,-12
Cedi Osman,6:02,1,3,.333,1,3,.333,0,0,,0,0,0,0,0,0,0,1,3,-16
Malaki Branham,9:51,2,4,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,1,4,-21
Sandro Mamukelashvili,1:24,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-4
Mamadi Diakite,Did Not Play
Devonte' Graham,Did Not Play
Team Totals,120,12,45,.267,4,22,.182,6,9,.667,3,17,20,7,4,5,10,5,34,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jeremy Sochan,7:41,0,3,.000,0,0,,2,2,1.000,2,1,3,1,1,0,0,1,2,+8
Devin Vassell,6:03,1,2,.500,0,0,,0,0,,0,0,0,1,0,0,0,0,2,+10
Tre Jones,6:03,1,2,.500,0,0,,0,0,,0,1,1,5,1,0,1,0,2,+10
Victor Wembanyama,6:03,4,4,1.000,0,0,,0,0,,1,3,4,0,0,0,0,0,8,+10
Julian Champagnie,10:16,5,6,.833,5,6,.833,0,0,,0,0,0,0,1,0,0,0,15,+12
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Keldon Johnson,6:03,0,3,.000,0,3,.000,1,2,.500,0,1,1,0,1,0,0,1,1,+10
Dominick Barlow,5:57,0,1,.000,0,0,,0,0,,0,1,1,1,0,0,0,1,0,+5
Doug McDermott, 
