,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Zion Williamson,32:22,12,17,.706,0,0,,6,11,.545,0,1,1,3,1,0,3,2,30,+6
Brandon Ingram,32:05,3,14,.214,0,4,.000,6,8,.750,0,5,5,5,1,0,1,3,12,-19
Herbert Jones,29:16,4,5,.800,1,1,1.000,1,1,1.000,1,2,3,3,0,0,0,2,10,-14
CJ McCollum,29:00,9,17,.529,3,7,.429,2,2,1.000,0,6,6,4,1,0,0,5,23,+15
Jonas Valančiūnas,19:28,2,5,.400,0,0,,2,2,1.000,4,2,6,2,0,2,3,4,6,-22
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Larry Nance Jr.,26:26,5,11,.455,1,4,.250,3,3,1.000,1,7,8,2,3,0,1,1,14,+16
Trey Murphy III,22:28,2,5,.400,1,4,.250,9,12,.750,0,3,3,0,1,0,0,0,14,-10
Jordan Hawkins,20:46,3,4,.750,1,2,.500,2,2,1.000,0,1,1,0,1,0,0,3,9,+8
Dyson Daniels,18:59,1,2,.500,0,1,.000,0,0,,2,1,3,2,0,0,0,3,2,-20
Naji Marshall,9:07,0,1,.000,0,0,,0,0,,0,1,1,0,1,0,1,5,0,+15
Jose Alvarado,Did Not Play
Cody Zeller,Did Not Play
Team Totals,240,41,81,.506,7,23,.304,31,41,.756,8,29,37,21,9,2,9,28,120,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Zion Williamson,6:45,1,3,.333,0,0,,1,2,.500,0,0,0,0,1,0,1,0,3,-8
Brandon Ingram,10:05,0,5,.000,0,1,.000,4,4,1.000,0,2,2,1,1,0,0,1,4,-13
Herbert Jones,6:26,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-9
CJ McCollum,4:21,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,2,2,-5
Jonas Valančiūnas,6:26,0,2,.000,0,0,,0,0,,1,1,2,1,0,1,1,1,0,-9
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Larry Nance Jr.,5:34,1,3,.333,0,1,.000,0,0,,0,1,1,0,0,0,0,0,2,-7
Trey Murphy III,7:10,0,1,.000,0,1,.000,4,4,1.000,0,0,0,0,0,0,0,0,4,-11
Jordan Hawkins,5:34,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,2,-7
Dyson Daniels,7:39,0,0,,0,0,,0,0,,1,0,1,1,0,0,0,1,0,-11
Naji Marshall, 
Jose Alvarado,Did Not Play
Cody Zeller,Did Not Play
Team Totals,60,3,17,.176,0,3,.000,11,12,.917,2,5,7,3,2,1,2,5,17,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Zion Williamson,7:51,5,5,1.000,0,0,,2,3,.667,0,1,1,2,0,0,1,0,12,+18
Brandon Ingram,5:58,1,2,.500,0,1,.000,1,2,.500,0,1,1,1,0,0,0,0,3,0
Herbert Jones,8:21,1,1,1.000,0,0,,0,0,,0,1,1,1,0,0,0,0,2,+1
CJ McCollum,6:38,3,3,1.000,1,1,1.000,2,2,1.000,0,1,1,1,1,0,0,1,9,+18
Jonas Valančiūnas,4:25,1,1,1.000,0,0,,2,2,1.000,0,1,1,1,0,0,1,1,4,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Larry Nance Jr.,5:46,2,3,.667,1,2,.500,0,0,,0,2,2,1,1,0,1,0,5,+16
Trey Murphy III,6:14,1,2,.500,1,2,.500,2,2,1.000,0,2,2,0,1,0,0,0,5,0
Jordan Hawkins,5:46,1,1,1.000,0,0,,0,0,,0,0,0,0,1,0,0,0,2,+16
Dyson Daniels,5:22,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,1,0,-2
Naji Marshall,3:39,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,3,0,+15
Jose Alvarado,Did Not Play
Cody Zeller,Did Not Play
Team Totals,60,15,19,.789,3,7,.429,9,11,.818,0,10,10,7,5,0,3,6,42,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Zion Williamson,14:36,6,8,.750,0,0,,3,5,.600,0,1,1,2,1,0,2,0,15,+10
Brandon Ingram,16:03,1,7,.143,0,2,.000,5,6,.833,0,3,3,2,1,0,0,1,7,-13
Herbert Jones,14:47,1,2,.500,0,0,,0,0,,0,1,1,1,0,0,0,0,2,-8
CJ McCollum,10:59,4,5,.800,1,1,1.000,2,2,1.000,0,2,2,1,1,0,0,3,11,+13
Jonas Valančiūnas,10:51,1,3,.333,0,0,,2,2,1.000,1,2,3,2,0,1,2,2,4,-11
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Larry Nance Jr.,11:20,3,6,.500,1,3,.333,0,0,,0,3,3,1,1,0,1,0,7,+9
Trey Murphy III,13:24,1,3,.333,1,3,.333,6,6,1.000,0,2,2,0,1,0,0,0,9,-11
Jordan Hawkins,11:20,1,1,1.000,0,0,,2,2,1.000,0,0,0,0,1,0,0,0,4,+9
Dyson Daniels,13:01,0,1,.000,0,1,.000,0,0,,1,1,2,1,0,0,0,2,0,-13
Naji Marshall,3:39,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,3,0,+15
Jose Alvarado,Did Not Play
Cody Zeller,Did Not Play
Team Totals,120,18,36,.500,3,10,.300,20,23,.870,2,15,17,10,7,1,5,11,59,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Zion Williamson,8:25,3,6,.500,0,0,,2,3,.667,0,0,0,0,0,0,1,0,8,0
Brandon Ingram,9:30,1,3,.333,0,0,,1,2,.500,0,2,2,3,0,0,1,2,3,+6
Herbert Jones,8:02,2,2,1.000,1,1,1.000,1,1,1.000,0,1,1,0,0,0,0,1,6,+8
CJ McCollum,7:39,3,5,.600,2,2,1.000,0,0,,0,2,2,1,0,0,0,0,8,+6
Jonas Valančiūnas,5:55,1,1,1.000,0,0,,0,0,,2,0,2,0,0,1,0,2,2,-1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Larry Nance Jr.,6:05,1,3,.333,0,0,,1,1,1.000,0,1,1,0,2,0,0,0,3,+8
Trey Murphy III,6:05,1,1,1.000,0,0,,3,4,.750,0,1,1,0,0,0,0,0,5,+8
Jordan Hawkins,3:58,1,2,.500,1,2,.500,0,0,,0,1,1,0,0,0,0,3,3,-1
Dyson Daniels,4:21,1,1,1.000,0,0,,0,0,,1,0,1,1,0,0,0,0,2,+1
Naji Marshall, 
Jose Alvarado,Did Not Play
Cody Zeller,Did Not Play
Team Totals,60,14,24,.583,4,5,.800,8,11,.727,3,8,11,5,2,1,2,8,40,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Zion Williamson,9:21,3,3,1.000,0,0,,1,3,.333,0,0,0,1,0,0,0,2,7,-4
Brandon Ingram,6:32,1,4,.250,0,2,.000,0,0,,0,0,0,0,0,0,0,0,2,-12
Herbert Jones,6:27,1,1,1.000,0,0,,0,0,,1,0,1,2,0,0,0,1,2,-14
CJ McCollum,10:22,2,7,.286,0,4,.000,0,0,,0,2,2,2,0,0,0,2,4,-4
Jonas Valančiūnas,2:42,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,1,0,0,-10
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Larry Nance Jr.,9:01,1,2,.500,0,1,.000,2,2,1.000,1,3,4,1,0,0,0,1,4,-1
Trey Murphy III,2:59,0,1,.000,0,1,.000,0,2,.000,0,0,0,0,0,0,0,0,0,-7
Jordan Hawkins,5:28,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,0
Dyson Daniels,1:37,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-8
Naji Marshall,5:28,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,1,2,0,0
Jose Alvarado,Did Not Play
Cody Zeller,Did Not Play
Team Totals,60,9,21,.429,0,8,.000,3,7,.429,3,6,9,6,0,0,2,9,21,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Zion Williamson,17:46,6,9,.667,0,0,,3,6,.500,0,0,0,1,0,0,1,2,15,-4
Brandon Ingram,16:02,2,7,.286,0,2,.000,1,2,.500,0,2,2,3,0,0,1,2,5,-6
Herbert Jones,14:29,3,3,1.000,1,1,1.000,1,1,1.000,1,1,2,2,0,0,0,2,8,-6
CJ McCollum,18:01,5,12,.417,2,6,.333,0,0,,0,4,4,3,0,0,0,2,12,+2
Jonas Valančiūnas,8:37,1,2,.500,0,0,,0,0,,3,0,3,0,0,1,1,2,2,-11
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Larry Nance Jr.,15:06,2,5,.400,0,1,.000,3,3,1.000,1,4,5,1,2,0,0,1,7,+7
Trey Murphy III,9:04,1,2,.500,0,1,.000,3,6,.500,0,1,1,0,0,0,0,0,5,+1
Jordan Hawkins,9:26,2,3,.667,1,2,.500,0,0,,0,1,1,0,0,0,0,3,5,-1
Dyson Daniels,5:58,1,1,1.000,0,0,,0,0,,1,0,1,1,0,0,0,1,2,-7
Naji Marshall,5:28,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,1,2,0,0
Jose Alvarado,Did Not Play
Cody Zeller,Did Not Play
Team Totals,120,23,45,.511,4,13,.308,11,18,.611,6,14,20,11,2,1,4,17,61,
,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Zion Williamson,32:22,.687,.706,.000,.647,0.0,3.5,1.9,19.2,1.5,0.0,12.1,34.1,122,136,3.7
Brandon Ingram,32:05,.342,.214,.286,.571,0.0,17.8,9.5,20.5,1.6,0.0,5.4,25.6,85,131,-10.1
Herbert Jones,29:16,.919,.900,.200,.200,4.4,7.8,6.2,14.3,0.0,0.0,0.0,8.3,192,138,3.6
CJ McCollum,29:00,.643,.618,.412,.118,0.0,23.6,12.6,25.4,1.7,0.0,0.0,27.4,137,128,6.9
Jonas Valančiūnas,19:28,.510,.400,.000,.400,26.7,11.7,18.7,13.7,0.0,11.7,33.8,20.3,101,131,-7.5
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Larry Nance Jr.,26:26,.568,.500,.364,.273,4.9,30.3,18.4,11.4,5.7,0.0,7.5,22.4,117,116,5.4
Trey Murphy III,22:28,.681,.500,.800,2.400,0.0,15.3,8.1,0.0,2.2,0.0,0.0,20.3,148,130,3.5
Jordan Hawkins,20:46,.922,.875,.500,.500,0.0,5.5,2.9,0.0,2.4,0.0,0.0,10.4,187,133,2.3
Dyson Daniels,18:59,.500,.500,.500,.000,13.7,6.0,9.6,13.1,0.0,0.0,0.0,4.7,155,139,-3.7
Naji Marshall,9:07,.000,.000,.000,.000,0.0,12.5,6.7,0.0,5.5,0.0,50.0,9.7,0,122,-20.7
Jose Alvarado,Did Not Play
Cody Zeller,Did Not Play
