,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Damian Lillard,25:26,7,20,.350,1,5,.200,2,3,.667,1,1,2,5,2,0,1,1,17,-26
Brook Lopez,24:33,5,7,.714,1,3,.333,0,0,,0,4,4,1,1,3,2,2,11,-34
Andre Jackson Jr.,23:18,3,4,.750,0,1,.000,0,0,,2,6,8,0,0,0,1,2,6,-26
Malik Beasley,22:12,1,6,.167,0,3,.000,0,0,,1,4,5,1,0,0,0,3,2,-27
Khris Middleton,19:52,1,10,.100,0,3,.000,0,0,,0,2,2,2,0,1,3,3,2,-40
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
MarJon Beauchamp,22:52,0,3,.000,0,0,,0,0,,1,2,3,2,0,0,1,1,0,-12
Bobby Portis,21:11,6,11,.545,1,4,.250,3,4,.750,2,4,6,3,1,0,1,0,16,-8
Jae Crowder,19:00,5,13,.385,4,10,.400,1,2,.500,0,1,1,0,1,0,0,1,15,-3
Pat Connaughton,13:58,3,4,.750,2,3,.667,0,0,,0,1,1,1,0,1,0,0,8,-3
Cameron Payne,13:20,5,9,.556,2,5,.400,1,1,1.000,0,0,0,1,1,0,0,0,13,-4
A.J. Green,13:17,1,5,.200,1,4,.250,0,0,,1,1,2,1,0,0,0,2,3,+2
Chris Livingston,8:38,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,2,0,-6
Robin Lopez,6:52,1,2,.500,0,1,.000,0,0,,1,0,1,1,0,0,0,0,2,-2
Thanasis Antetokounmpo,5:31,0,0,,0,0,,0,0,,0,0,0,1,0,1,1,1,0,-11
Team Totals,240,38,95,.400,12,42,.286,7,10,.700,9,27,36,19,6,6,10,18,95,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Damian Lillard,12:00,3,10,.300,1,2,.500,0,0,,1,1,2,3,1,0,1,0,7,-10
Brook Lopez,9:01,1,2,.500,0,1,.000,0,0,,0,1,1,0,1,1,0,0,2,-17
Andre Jackson Jr.,4:19,0,1,.000,0,1,.000,0,0,,2,0,2,0,0,0,1,1,0,-18
Malik Beasley,9:01,1,4,.250,0,2,.000,0,0,,0,2,2,0,0,0,0,1,2,-17
Khris Middleton,6:38,0,4,.000,0,1,.000,0,0,,0,1,1,1,0,0,1,1,0,-18
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
MarJon Beauchamp,2:59,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,+7
Bobby Portis,7:41,2,4,.500,1,2,.500,0,0,,0,1,1,1,1,0,0,0,5,+8
Jae Crowder,2:59,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,+7
Pat Connaughton,5:22,2,2,1.000,2,2,1.000,0,0,,0,0,0,0,0,1,0,0,6,+8
Cameron Payne, 
A.J. Green, 
Chris Livingston, 
Robin Lopez, 
Thanasis Antetokounmpo, 
Team Totals,60,9,27,.333,4,11,.364,0,0,,3,7,10,6,3,2,3,3,22,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Damian Lillard,5:53,1,4,.250,0,1,.000,1,1,1.000,0,0,0,1,0,0,0,0,3,-3
Brook Lopez,7:59,1,1,1.000,1,1,1.000,0,0,,0,3,3,0,0,0,0,0,3,-4
Andre Jackson Jr.,6:15,1,1,1.000,0,0,,0,0,,0,2,2,0,0,0,0,1,2,-3
Malik Beasley,7:59,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-4
Khris Middleton,8:02,0,3,.000,0,2,.000,0,0,,0,0,0,1,0,1,1,2,0,-16
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
MarJon Beauchamp,4:01,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,-11
Bobby Portis,5:45,0,0,,0,0,,1,2,.500,0,1,1,1,0,0,0,0,1,-12
Jae Crowder,4:01,1,4,.250,0,3,.000,0,0,,0,0,0,0,0,0,0,0,2,-11
Pat Connaughton,4:01,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-11
Cameron Payne,6:04,3,6,.500,1,4,.250,1,1,1.000,0,0,0,1,0,0,0,0,8,0
A.J. Green, 
Chris Livingston, 
Robin Lopez, 
Thanasis Antetokounmpo, 
Team Totals,60,7,23,.304,2,13,.154,3,4,.750,1,7,8,4,0,1,1,3,19,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Damian Lillard,17:53,4,14,.286,1,3,.333,1,1,1.000,1,1,2,4,1,0,1,0,10,-13
Brook Lopez,17:00,2,3,.667,1,2,.500,0,0,,0,4,4,0,1,1,0,0,5,-21
Andre Jackson Jr.,10:34,1,2,.500,0,1,.000,0,0,,2,2,4,0,0,0,1,2,2,-21
Malik Beasley,17:00,1,6,.167,0,3,.000,0,0,,0,3,3,0,0,0,0,1,2,-21
Khris Middleton,14:40,0,7,.000,0,3,.000,0,0,,0,1,1,2,0,1,2,3,0,-34
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
MarJon Beauchamp,7:00,0,1,.000,0,0,,0,0,,1,0,1,1,0,0,0,0,0,-4
Bobby Portis,13:26,2,4,.500,1,2,.500,1,2,.500,0,2,2,2,1,0,0,0,6,-4
Jae Crowder,7:00,1,4,.250,0,3,.000,0,0,,0,1,1,0,0,0,0,0,2,-4
Pat Connaughton,9:23,2,3,.667,2,3,.667,0,0,,0,0,0,0,0,1,0,0,6,-3
Cameron Payne,6:04,3,6,.500,1,4,.250,1,1,1.000,0,0,0,1,0,0,0,0,8,0
A.J. Green, 
Chris Livingston, 
Robin Lopez, 
Thanasis Antetokounmpo, 
Team Totals,120,16,50,.320,6,24,.250,3,4,.750,4,14,18,10,3,3,4,6,41,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Damian Lillard,7:33,3,6,.500,0,2,.000,1,2,.500,0,0,0,1,1,0,0,1,7,-13
Brook Lopez,7:33,3,4,.750,0,1,.000,0,0,,0,0,0,1,0,2,2,2,6,-13
Andre Jackson Jr.,3:33,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-7
Malik Beasley,5:12,0,0,,0,0,,0,0,,1,1,2,1,0,0,0,2,0,-6
Khris Middleton,5:12,1,3,.333,0,0,,0,0,,0,1,1,0,0,0,1,0,2,-6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
MarJon Beauchamp,7:10,0,1,.000,0,0,,0,0,,0,2,2,1,0,0,1,0,0,-10
Bobby Portis,4:27,3,4,.750,0,1,.000,2,2,1.000,0,2,2,0,0,0,1,0,8,-3
Jae Crowder, 
Pat Connaughton,1:17,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,+1
Cameron Payne,4:27,1,2,.500,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,-3
A.J. Green,1:17,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,+1
Chris Livingston,6:48,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-10
Robin Lopez, 
Thanasis Antetokounmpo,5:31,0,0,,0,0,,0,0,,0,0,0,1,0,1,1,1,0,-11
Team Totals,60,11,21,.524,1,5,.200,3,4,.750,1,8,9,6,1,3,6,8,26,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Damian Lillard, 
Brook Lopez, 
Andre Jackson Jr.,9:11,2,2,1.000,0,0,,0,0,,0,3,3,0,0,0,0,0,4,+2
Malik Beasley, 
Khris Middleton, 
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
MarJon Beauchamp,8:42,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,+2
Bobby Portis,3:18,1,3,.333,0,1,.000,0,0,,2,0,2,1,0,0,0,0,2,-1
Jae Crowder,12:00,4,9,.444,4,7,.571,1,2,.500,0,0,0,0,1,0,0,1,13,+1
Pat Connaughton,3:18,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,-1
Cameron Payne,2:49,1,1,1.000,0,0,,0,0,,0,0,0,0,1,0,0,0,2,-1
A.J. Green,12:00,1,5,.200,1,4,.250,0,0,,1,1,2,1,0,0,0,1,3,+1
Chris Livingston,1:50,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,+4
Robin Lopez,6:52,1,2,.500,0,1,.000,0,0,,1,0,1,1,0,0,0,0,2,-2
Thanasis Antetokounmpo, 
Team Totals,60,11,24,.458,5,13,.385,1,2,.500,4,5,9,3,2,0,0,4,28,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Damian Lillard,7:33,3,6,.500,0,2,.000,1,2,.500,0,0,0,1,1,0,0,1,7,-13
Brook Lopez,7:33,3,4,.750,0,1,.000,0,0,,0,0,0,1,0,2,2,2,6,-13
Andre Jackson Jr.,12:44,2,2,1.000,0,0,,0,0,,0,4,4,0,0,0,0,0,4,-5
Malik Beasley,5:12,0,0,,0,0,,0,0,,1,1,2,1,0,0,0,2,0,-6
Khris Middleton,5:12,1,3,.333,0,0,,0,0,,0,1,1,0,0,0,1,0,2,-6
